episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi,top1_pair_frequency,pair_selection_entropy
1,200,60.3938392022333,2.1395726512346367,24.61,0.0,1.0,1.0,1.0,0,0,3.158845318555832,0.035,0.0402,0.065,3.2675678395025765
2,200,53.775206164171635,2.1250969284958443,17.185,0.15,0.85,1.0,0.85,0,30,2.3371307170391082,0.07,0.08304999999999998,0.23,2.9261574934958157
3,200,58.23354866196542,2.0561916227320243,21.28,0.06,0.94,1.0,0.94,0,12,2.736927195191383,0.06,0.058550000000000005,0.165,3.094720020389939
4,200,61.17386456903059,2.098858021157536,22.605,0.0,1.0,1.0,1.0,0,0,3.024839088320732,0.045,0.04340000000000001,0.07,3.2097265415333234
5,200,61.42275094780906,2.0651359261669544,24.785,0.0,1.0,1.0,1.0,0,0,3.14213267326355,0.07,0.04205,0.075,3.249356732308697
6,200,60.593662912853716,2.0685486919022025,20.715,0.02,0.98,1.0,0.98,0,4,2.746669179499149,0.125,0.0539,0.125,3.1147853731441213
7,200,60.93085157524251,2.115669369471924,22.765,0.0,1.0,1.0,1.0,0,0,3.061301906108856,0.045,0.043300000000000005,0.075,3.2274565060377958
8,200,49.11525068558461,2.167161330326218,19.04,0.18,0.82,1.0,0.82,0,36,2.4439755660295486,0.055,0.08255000000000001,0.24,2.993961771080261
9,200,62.81875596039622,1.9973330191236929,21.025,0.0,1.0,1.0,1.0,0,0,2.876445919275284,0.085,0.055700000000000006,0.105,3.0646205079394297
10,200,61.50724256360084,2.109659441258357,22.28,0.0,1.0,1.0,1.0,0,0,3.00546047270298,0.06,0.04670000000000002,0.09,3.19712368864064
11,200,54.77520502639167,2.1850074867215783,19.895,0.09,0.91,1.0,0.91,0,18,2.67255751401186,0.19,0.06555,0.19,3.049797896734247
12,200,61.51523771195567,2.069492298359874,23.475,0.0,1.0,1.0,1.0,0,0,3.0954321628808974,0.05,0.042150000000000014,0.07,3.237935386304628
13,200,60.235949892726076,2.058692845324577,19.46,0.035,0.965,1.0,0.965,0,7,2.6583605271577837,0.045,0.05990000000000001,0.165,3.087500742159344
14,200,63.1144101969983,1.9681864859094176,23.17,0.0,1.0,1.0,1.0,0,0,3.097172863483429,0.025,0.0437,0.06,3.1916346251844505
15,200,60.41483682267672,2.121096242800669,23.875,0.005,0.995,1.0,0.995,0,1,2.9999600052833557,0.07,0.04510000000000001,0.09,3.2103358723810924
16,200,62.709218245601825,2.0238773527133476,24.085,0.0,1.0,1.0,1.0,0,0,3.1300432932376863,0.065,0.043800000000000006,0.065,3.210420745633349
17,200,61.14708650495666,2.1855904030656332,20.42,0.0,1.0,1.0,1.0,0,0,2.743090206980705,0.07,0.05755000000000002,0.155,3.100438950644372
18,200,52.968118751813996,2.0701133725071053,18.105,0.15,0.85,1.0,0.85,0,30,2.435812784731388,0.225,0.08045000000000001,0.225,2.9445062253405054
19,200,61.356828718762316,2.0126574326611535,18.825,0.02,0.98,1.0,0.98,0,4,2.5997028568387033,0.065,0.06265,0.165,3.0526651425856466
20,200,50.36225308204381,2.026012998495796,17.465,0.195,0.805,1.0,0.805,0,39,2.3498250108957293,0.075,0.09854999999999998,0.26,2.8358653865154633
21,200,61.92867582105084,2.0681559498084896,23.27,0.0,1.0,1.0,1.0,0,0,3.025753662586212,0.04,0.042550000000000004,0.095,3.2456229573959705
22,200,61.5421031191844,2.0650053606463836,22.57,0.0,1.0,1.0,1.0,0,0,2.9407890677452087,0.03,0.049750000000000016,0.13,3.177537463650948
23,200,61.558429833759185,2.0634953931414084,24.645,0.0,1.0,1.0,1.0,0,0,3.168266625404358,0.035,0.0436,0.075,3.209958790798606
24,200,61.79456972737326,2.0673721359322634,23.23,0.0,1.0,1.0,1.0,0,0,3.0714499914646147,0.01,0.046650000000000004,0.09,3.17999784703964
