step,huber_loss,correlation,mae,rmse
0,0.4153667092323303,0.06918970204203756,0.78623366355896,0.9922548532485962
100,0.4135019779205322,0.0905967368175828,0.7838667631149292,0.989727258682251
500,0.4124886989593506,0.106238716549126,0.7821264266967773,0.9883687496185303
1000,0.41238051652908325,0.10910808853082542,0.7823731899261475,0.9886972904205322
2000,0.4097824692726135,0.13113601735182484,0.7794162631034851,0.9853283762931824
