episode,task_id,action_index,raw_gae_advantage,actor_used_advantage,value_prediction,gae_return_target,effective_set_size
1,1,4,298.72412109375,0.4491952359676361,0.14345622062683105,298.8675842285156,28
1,2,18,319.2987365722656,0.7504300475120544,0.16896337270736694,319.46771240234375,28
1,3,24,314.9043273925781,0.6860910654067993,0.14876613020896912,315.0531005859375,26
1,4,20,262.0503845214844,-0.08774824440479279,0.1733529269695282,262.2237243652344,28
1,5,6,367.6151123046875,1.4578344821929932,0.14523747563362122,367.7603454589844,28
1,6,25,276.0121154785156,0.11666671931743622,0.1797579526901245,276.1918640136719,28
1,7,8,266.351806640625,-0.02477073296904564,0.18692165613174438,266.5387268066406,28
1,8,5,245.329833984375,-0.3325553238391876,0.14341303706169128,245.47325134277344,14
1,9,7,235.25730895996094,-0.48002806305885315,0.14580091834068298,235.40310668945312,28
1,10,27,264.74884033203125,-0.04823990538716316,0.13709217309951782,264.88592529296875,28
1,11,23,218.74195861816406,-0.7218307852745056,0.17620190978050232,218.9181671142578,6
1,12,22,274.04925537109375,0.08792830258607864,0.15466062724590302,274.20391845703125,26
1,13,19,426.0082702636719,2.3127739429473877,0.1542142927646637,426.1624755859375,28
1,14,4,387.12445068359375,1.7434724569320679,0.16956020891666412,387.29400634765625,28
1,15,16,358.13836669921875,1.3190845251083374,0.15850161015987396,358.296875,28
1,16,10,279.51129150390625,0.16789846122264862,0.15479783713817596,279.66607666015625,28
1,17,19,238.4031524658203,-0.43396949768066406,0.15126147866249084,238.55441284179688,28
1,18,5,203.2762451171875,-0.9482656717300415,0.16682738065719604,203.4430694580078,28
1,19,16,239.5394744873047,-0.4173325002193451,0.17402446269989014,239.7135009765625,28
1,20,12,227.54513549804688,-0.5929427146911621,0.1646910011768341,227.70982360839844,16
1,21,18,177.85984802246094,-1.3203895092010498,0.17273607850074768,178.03257751464844,28
1,22,19,237.52684020996094,-0.4467996656894684,0.18510234355926514,237.71194458007812,28
1,23,6,306.7572326660156,0.5668087601661682,0.15074904263019562,306.9079895019531,28
1,24,22,243.50564575195312,-0.35926342010498047,0.1824614703655243,243.6881103515625,28
1,25,25,232.65228271484375,-0.5181685090065002,0.17717215418815613,232.82945251464844,10
1,26,11,217.1118621826172,-0.7456972002983093,0.15981782972812653,217.2716827392578,17
1,27,24,205.37692260742188,-0.9175094962120056,0.167575404047966,205.54449462890625,28
1,28,0,177.45016479492188,-1.326387643814087,0.16561898589134216,177.61578369140625,28
1,29,1,168.6214141845703,-1.4556502103805542,0.1731722354888916,168.79458618164062,28
1,30,23,173.51626586914062,-1.3839842081069946,0.16573110222816467,173.68199157714844,8
1,31,18,248.8002166748047,-0.28174513578414917,0.16484250128269196,248.96505737304688,23
1,32,26,272.7090148925781,0.06830572336912155,0.1737809181213379,272.8827819824219,20
1,33,10,329.79058837890625,0.9040421843528748,0.15966187417507172,329.95025634765625,28
1,34,14,286.6390686035156,0.27225688099861145,0.14830633997917175,286.7873840332031,17
1,35,0,313.1719055175781,0.6607265472412109,0.16517138481140137,313.3370666503906,28
1,36,26,288.3920593261719,0.2979225814342499,0.13141505420207977,288.5234680175781,28
1,37,4,396.0578918457031,1.8742676973342896,0.14419856667518616,396.20208740234375,28
1,38,19,319.27618408203125,0.7500998377799988,0.15144695341587067,319.4276428222656,28
1,39,16,280.71502685546875,0.18552246689796448,0.15590429306030273,280.8709411621094,14
1,40,1,242.00527954101562,-0.3812304139137268,0.18493689596652985,242.19021606445312,28
1,41,22,258.83404541015625,-0.13483895361423492,0.15374134480953217,258.98779296875,28
1,42,5,306.3876647949219,0.5613978505134583,0.16750730574131012,306.55517578125,28
1,43,11,259.2243957519531,-0.12912379205226898,0.16205112636089325,259.3864440917969,28
1,44,19,239.34124755859375,-0.4202347695827484,0.1686992049217224,239.50994873046875,28
1,45,19,218.90020751953125,-0.7195138335227966,0.1667684018611908,219.0669708251953,28
1,46,27,205.36520385742188,-0.9176810383796692,0.18111556768417358,205.54632568359375,5
1,47,26,172.8195037841797,-1.3941855430603027,0.20031136274337769,173.0198211669922,28
1,48,18,217.98452758789062,-0.7329204082489014,0.1601538360118866,218.14468383789062,26
1,49,20,381.9957275390625,1.6683822870254517,0.16581842303276062,382.16156005859375,28
1,50,0,357.1749267578125,1.3049787282943726,0.14512944221496582,357.320068359375,28
1,51,4,318.64349365234375,0.7408365607261658,0.15190871059894562,318.79541015625,25
1,52,11,290.03289794921875,0.32194626331329346,0.1433030217885971,290.17620849609375,28
1,53,18,247.1500701904297,-0.3059050738811493,0.15061195194721222,247.30068969726562,28
1,54,13,140.53701782226562,-1.8668363094329834,0.16631096601486206,140.7033233642578,23
1,55,0,173.65408325195312,-1.381966471672058,0.15745215117931366,173.81153869628906,28
1,56,4,225.34616088867188,-0.6251381039619446,0.17751912772655487,225.523681640625,28
1,57,23,269.58416748046875,0.0225545521825552,0.15678752958774567,269.740966796875,28
1,58,7,204.65704345703125,-0.9280493259429932,0.16912046074867249,204.82615661621094,28
1,59,20,269.8743896484375,0.026803720742464066,0.1694994866847992,270.04388427734375,28
1,60,18,252.96713256835938,-0.22073695063591003,0.16331030428409576,253.1304473876953,26
1,61,25,229.05026245117188,-0.5709059834480286,0.1826280653476715,229.23289489746094,4
1,62,15,279.4904479980469,0.16759330034255981,0.14382067322731018,279.63427734375,28
1,63,23,269.66729736328125,0.02377166412770748,0.1529725044965744,269.8202819824219,28
1,64,2,209.2332763671875,-0.8610482811927795,0.1580120474100113,209.3912811279297,28
1,65,16,161.746337890625,-1.5563087463378906,0.17618979513645172,161.9225311279297,28
1,66,26,331.3636169433594,0.9270730018615723,0.15816554427146912,331.52178955078125,28
1,67,7,330.1962585449219,0.9099816083908081,0.154817134141922,330.35107421875,28
1,68,10,313.63665771484375,0.6675310134887695,0.15517179667949677,313.7918395996094,28
1,69,5,351.3055419921875,1.21904456615448,0.13558655977249146,351.4411315917969,28
1,70,26,356.82257080078125,1.299819827079773,0.15173077583312988,356.97430419921875,12
1,71,21,485.1528015136719,3.1787142753601074,0.1603550761938095,485.31317138671875,11
1,72,14,452.9288330078125,2.7069203853607178,0.15873605012893677,453.0875549316406,28
1,73,5,445.9460754394531,2.604685068130493,0.1603556126356125,446.1064453125,15
1,74,11,389.62518310546875,1.780085802078247,0.1489558070898056,389.7741394042969,28
1,75,26,350.78363037109375,1.2114031314849854,0.15221981704235077,350.93585205078125,26
1,76,19,353.8050231933594,1.255639672279358,0.15711916983127594,353.9621276855469,18
1,77,20,300.24200439453125,0.47141870856285095,0.17533352971076965,300.4173278808594,6
1,78,23,295.765625,0.4058796167373657,0.15495243668556213,295.9205627441406,28
1,79,13,296.2139892578125,0.41244417428970337,0.18120905756950378,296.39520263671875,28
1,80,26,297.64752197265625,0.4334326386451721,0.16749681532382965,297.8150329589844,15
1,81,26,282.37457275390625,0.20982003211975098,0.17912383377552032,282.5537109375,28
1,82,19,326.53497314453125,0.8563764095306396,0.14872078597545624,326.6836853027344,28
1,83,9,251.23171997070312,-0.24614527821540833,0.15718910098075867,251.388916015625,26
1,84,14,213.00650024414062,-0.8058041334152222,0.1627655327320099,213.1692657470703,28
1,85,20,238.210205078125,-0.4367944598197937,0.18312612175941467,238.39332580566406,7
1,86,19,291.5542907714844,0.3442211151123047,0.17342674732208252,291.72772216796875,19
1,87,16,317.7767333984375,0.7281462550163269,0.16582751274108887,317.94256591796875,10
1,88,17,277.03765869140625,0.13168178498744965,0.15116095542907715,277.1888122558594,27
1,89,16,197.12046813964844,-1.0383930206298828,0.1702890694141388,197.29075622558594,10
1,90,4,222.74166870117188,-0.6632707118988037,0.16046655178070068,222.90213012695312,28
1,91,12,278.35491943359375,0.15096792578697205,0.14450159668922424,278.4994201660156,28
1,92,25,214.85450744628906,-0.7787473201751709,0.15951058268547058,215.01402282714844,24
1,93,17,183.766357421875,-1.2339117527008057,0.1668424904346466,183.93319702148438,19
1,94,14,243.36216735839844,-0.36136409640312195,0.17807799577713013,243.54025268554688,18
1,95,24,265.5462341308594,-0.03656519204378128,0.19689272344112396,265.7431335449219,4
1,96,9,277.5936584472656,0.13982222974300385,0.202223539352417,277.7958679199219,28
1,97,15,410.5316162109375,2.086178779602051,0.1574077606201172,410.68902587890625,28
1,98,21,369.0422058105469,1.4787286520004272,0.15133978426456451,369.19354248046875,28
1,99,1,288.410888671875,0.29819828271865845,0.19889140129089355,288.6097717285156,28
1,100,27,329.4573974609375,0.8991639018058777,0.16265563666820526,329.62005615234375,18
1,101,6,258.7529602050781,-0.13602612912654877,0.18524405360221863,258.9382019042969,28
1,102,10,224.60122680664062,-0.6360447406768799,0.17307043075561523,224.7742919921875,28
1,103,16,196.5397186279297,-1.0468957424163818,0.17361801862716675,196.7133331298828,28
1,104,20,300.9207458496094,0.4813562035560608,0.15937185287475586,301.0801086425781,7
1,105,27,278.1094665527344,0.147374227643013,0.15178127586841583,278.2612609863281,11
1,106,12,248.59732055664062,-0.28471577167510986,0.16629360616207123,248.76361083984375,28
1,107,1,188.9675750732422,-1.1577602624893188,0.16918814182281494,189.1367645263672,28
1,108,21,195.5796661376953,-1.0609519481658936,0.1646037995815277,195.7442626953125,7
1,109,14,219.7815704345703,-0.7066097259521484,0.16106638312339783,219.94264221191406,28
1,110,11,251.37060546875,-0.24411185085773468,0.15217824280261993,251.5227813720703,14
1,111,19,214.2079620361328,-0.7882134318351746,0.15102599561214447,214.35899353027344,18
1,112,26,203.71278381347656,-0.9418743252754211,0.15411750972270966,203.8668975830078,10
1,113,27,178.96517944335938,-1.3042062520980835,0.2065712809562683,179.1717529296875,28
1,114,5,170.81802368164062,-1.4234894514083862,0.1609402447938919,170.9789581298828,14
1,115,20,200.73001098632812,-0.9855453372001648,0.1606626659631729,200.8906707763672,6
1,116,7,183.56918334960938,-1.2367985248565674,0.18223147094249725,183.7514190673828,28
1,117,16,278.80108642578125,0.15750029683113098,0.1649853140115738,278.966064453125,28
1,118,23,278.2914123535156,0.15003810822963715,0.16550424695014954,278.4569091796875,28
1,119,24,232.7560272216797,-0.5166495442390442,0.19459351897239685,232.95062255859375,3
1,120,25,244.48680114746094,-0.3448982536792755,0.1814495176076889,244.66824340820312,7
1,121,18,209.32144165039062,-0.8597574234008789,0.18649141490459442,209.5079345703125,28
1,122,18,272.2250061035156,0.06121930852532387,0.1622781604528427,272.3872985839844,28
1,123,18,261.9042053222656,-0.08988846093416214,0.16986232995986938,262.0740661621094,28
1,124,18,247.96519470214844,-0.2939707636833191,0.17682933807373047,248.14202880859375,28
1,125,11,252.7291717529297,-0.22422096133232117,0.1726159155368805,252.90179443359375,23
1,126,20,288.8433837890625,0.30453047156333923,0.16669835150241852,289.01007080078125,6
1,127,8,346.1938171386719,1.1442033052444458,0.1522092968225479,346.3460388183594,28
1,128,11,250.3060760498047,-0.25969770550727844,0.1615530252456665,250.46763610839844,21
1,129,26,297.3505859375,0.4290851950645447,0.14732713997364044,297.4979248046875,6
1,130,1,289.73907470703125,0.3176443576812744,0.1661759912967682,289.9052429199219,28
1,131,20,249.11386108398438,-0.27715304493904114,0.16168099641799927,249.27554321289062,26
1,132,24,197.64398193359375,-1.0307282209396362,0.1807231605052948,197.82470703125,28
1,133,4,241.45407104492188,-0.38930070400238037,0.15797542035579681,241.61204528808594,28
1,134,21,215.05126953125,-0.7758665084838867,0.17199546098709106,215.2232666015625,28
1,135,10,252.5544891357422,-0.22677849233150482,0.16970182955265045,252.7241973876953,23
1,136,5,231.47637939453125,-0.535385012626648,0.1283450722694397,231.60472106933594,28
1,137,9,190.52877807617188,-1.1349024772644043,0.17304345965385437,190.7018280029297,22
1,138,0,218.4810791015625,-0.7256503701210022,0.157316654920578,218.63839721679688,28
1,139,22,229.09869384765625,-0.5701969265937805,0.15296779572963715,229.2516632080078,24
1,140,16,224.41400146484375,-0.6387858986854553,0.1688447743654251,224.5828399658203,11
1,141,19,198.1434326171875,-1.0234156847000122,0.17604129016399384,198.31947326660156,28
1,142,26,221.406005859375,-0.6828262209892273,0.1397058218717575,221.54571533203125,28
1,143,20,269.8660888671875,0.026682188734412193,0.1550886482000351,270.02117919921875,26
1,144,8,276.6146240234375,0.12548810243606567,0.17092791199684143,276.7855529785156,28
1,145,23,328.98577880859375,0.892258882522583,0.1603972315788269,329.14617919921875,28
1,146,26,295.00823974609375,0.3947906792163849,0.14812737703323364,295.1563720703125,23
1,147,13,345.69854736328125,1.1369520425796509,0.15653136372566223,345.8550720214844,28
1,148,12,251.76547241210938,-0.23833055794239044,0.1649075299501419,251.9303741455078,22
1,149,22,391.0962829589844,1.8016242980957031,0.15992294251918793,391.2561950683594,23
1,150,18,368.18292236328125,1.466147780418396,0.16369590163230896,368.34661865234375,28
1,151,6,328.5687561035156,0.8861532211303711,0.16608008742332458,328.7348327636719,28
1,152,26,252.54782104492188,-0.2268761247396469,0.19267359375953674,252.74049377441406,28
1,153,19,226.25930786132812,-0.6117686033248901,0.19369399547576904,226.4530029296875,22
1,154,25,239.14991760253906,-0.42303603887557983,0.18198201060295105,239.33189392089844,11
1,155,22,197.45458984375,-1.0335010290145874,0.19291365146636963,197.6475067138672,25
1,156,10,169.8980255126953,-1.4369592666625977,0.2069728970527649,170.10499572753906,28
1,157,12,262.717041015625,-0.0779876634478569,0.16028325259685516,262.8773193359375,28
1,158,3,233.6673126220703,-0.5033073425292969,0.13858960568904877,233.805908203125,21
1,159,11,258.0516662597656,-0.14629383385181427,0.1527332216501236,258.20440673828125,18
1,160,10,316.18365478515625,0.7048218250274658,0.17181716859340668,316.35546875,28
1,161,19,369.7060241699219,1.488447666168213,0.13020722568035126,369.83624267578125,28
1,162,27,284.51629638671875,0.24117720127105713,0.1616997867822647,284.6780090332031,28
1,163,3,252.81863403320312,-0.22291113436222076,0.16009464859962463,252.97872924804688,28
1,164,14,241.66433715820312,-0.3862221837043762,0.17844268679618835,241.8427734375,18
1,165,11,247.0682373046875,-0.3071032166481018,0.19140617549419403,247.2596435546875,28
1,166,26,251.51107788085938,-0.24205517768859863,0.17059068381786346,251.68167114257812,18
1,167,27,294.0921630859375,0.38137832283973694,0.1623513102531433,294.2545166015625,5
1,168,12,265.1654968261719,-0.042139600962400436,0.1394764631986618,265.3049621582031,28
1,169,11,235.96011352539062,-0.469738245010376,0.1674269288778305,236.12753295898438,11
1,170,26,280.32861328125,0.17986494302749634,0.15995371341705322,280.4885559082031,27
