horizon,requirement,method,state_count,spearman,kendall,top1_rate,top3_rate,top5_rate,mean_regret,median_regret
5,0.9,Centered Advantage,258,0.5288434259387113,0.44612094468497543,0.3488372093023256,0.813953488372093,0.8643410852713178,6.935493221018289,2.066402575456877
5,0.9,Old Q critic,258,0.24276549995256733,0.18334035578439226,0.4728682170542636,0.49612403100775193,0.7790697674418605,8.881770146253608,0.7790174139353923
5,0.9,PPO Actor,258,0.46652787022401393,0.3888890378477349,0.5426356589147286,0.7906976744186046,0.8875968992248062,7.854894416328714,0.0
5,0.99,Centered Advantage,255,0.565640706937093,0.46611526669797326,0.45098039215686275,0.8470588235294118,0.9254901960784314,5.31080071486972,0.5927196996616715
5,0.99,Old Q critic,255,0.2261905088587422,0.17228154357883788,0.4549019607843137,0.5372549019607843,0.7647058823529411,7.475427255270248,0.9947785630315593
5,0.99,PPO Actor,255,0.4904831013636579,0.39809274168801584,0.5882352941176471,0.8156862745098039,0.9450980392156862,5.751996797003638,0.0
5,0.999,Centered Advantage,245,0.4701735812479955,0.39364382167088,0.5224489795918368,0.8122448979591836,0.889795918367347,5.9716369589445515,0.0
5,0.999,Old Q critic,245,0.14021153085783417,0.11248657450903889,0.42857142857142855,0.5918367346938775,0.8040816326530612,9.714193506795953,1.2512599422372546
5,0.999,PPO Actor,245,0.3872128747670933,0.31876717131957966,0.5714285714285714,0.8204081632653061,0.9346938775510204,7.523980169793365,0.0
5,0.9999,Centered Advantage,242,0.35051974698506294,0.29256966100554027,0.640495867768595,0.8842975206611571,0.9504132231404959,4.285878482982061,0.0
5,0.9999,Old Q critic,242,0.02276775016444269,0.01780177982746897,0.5991735537190083,0.8016528925619835,0.8966942148760331,6.269766231772434,0.0
5,0.9999,PPO Actor,242,0.3056302827826708,0.2492713806052704,0.6776859504132231,0.9008264462809917,0.9628099173553719,4.870709395477892,0.0
10,0.9,Centered Advantage,258,0.5174462172105918,0.43626241104395885,0.32945736434108525,0.7829457364341085,0.8333333333333334,6.963234930361599,2.192129226305184
10,0.9,Old Q critic,258,0.2380407890116078,0.17987057762418301,0.46511627906976744,0.4844961240310077,0.7558139534883721,8.515703765771491,0.8578501009794195
10,0.9,PPO Actor,258,0.45485284125278036,0.37905667097122137,0.5387596899224806,0.7674418604651163,0.8410852713178295,7.734105271355598,0.0
10,0.99,Centered Advantage,255,0.5449032401113407,0.44922238706356404,0.4235294117647059,0.8117647058823529,0.9019607843137255,5.69691521896727,1.726104484416453
10,0.99,Old Q critic,255,0.2158299015578475,0.16450618587580973,0.44313725490196076,0.5294117647058824,0.7450980392156863,7.858369253801811,1.0773176017452784
10,0.99,PPO Actor,255,0.4742719217182288,0.3853104980284398,0.5490196078431373,0.7764705882352941,0.9176470588235294,6.386759422301272,0.0
10,0.999,Centered Advantage,245,0.47079040156578844,0.3937186517830802,0.5224489795918368,0.8122448979591836,0.889795918367347,5.957726636261225,0.0
10,0.999,Old Q critic,245,0.13783982429299454,0.11010981517820898,0.42857142857142855,0.5877551020408164,0.8040816326530612,9.835300628668946,1.361541327386874
10,0.999,PPO Actor,245,0.3832757237628871,0.3152061000395016,0.5591836734693878,0.8081632653061225,0.9306122448979591,7.898216762570506,0.0
10,0.9999,Centered Advantage,242,0.35098145290819827,0.2928329830247222,0.6322314049586777,0.8760330578512396,0.9421487603305785,4.079998431882185,0.0
10,0.9999,Old Q critic,242,0.014600523794971926,0.009471738419249904,0.5867768595041323,0.7892561983471075,0.8842975206611571,6.309851290330253,0.0
10,0.9999,PPO Actor,242,0.3103489930280404,0.2524139256473177,0.6735537190082644,0.8925619834710744,0.9545454545454546,4.613937019190829,0.0
20,0.9,Centered Advantage,258,0.5174043710842107,0.43592693032802166,0.32945736434108525,0.7829457364341085,0.8333333333333334,6.964920960681679,2.1921292263051555
20,0.9,Old Q critic,258,0.23819390750153555,0.1799738480208533,0.46511627906976744,0.4844961240310077,0.7558139534883721,8.529823412400043,0.8578501009793911
20,0.9,PPO Actor,258,0.4550694813096595,0.37914407435384334,0.5387596899224806,0.7674418604651163,0.8410852713178295,7.759980042326446,0.0
20,0.99,Centered Advantage,255,0.5447847018112075,0.4491369784350258,0.4235294117647059,0.8117647058823529,0.9019607843137255,5.6969152189672725,1.7261044844165099
20,0.99,Old Q critic,255,0.2157284819318041,0.16442072104413247,0.44313725490196076,0.5294117647058824,0.7450980392156863,7.860328413140194,1.0773176017452215
20,0.99,PPO Actor,255,0.4740648676687428,0.3852250893999015,0.5490196078431373,0.7764705882352941,0.9176470588235294,6.388718581639656,0.0
20,0.999,Centered Advantage,245,0.4708482963152379,0.3937186517830802,0.5224489795918368,0.8122448979591836,0.889795918367347,5.952592019830907,0.0
20,0.999,Old Q critic,245,0.13760824529519675,0.10985745781599722,0.42857142857142855,0.5877551020408164,0.8040816326530612,9.856260874504814,1.361541327386817
20,0.999,PPO Actor,245,0.3829573026409151,0.31495374267728987,0.5591836734693878,0.8081632653061225,0.9306122448979591,7.9191770084063755,0.0
20,0.9999,Centered Advantage,242,0.35041116491276053,0.29240526702814396,0.6322314049586777,0.8760330578512396,0.9421487603305785,4.119184092090505,0.0
20,0.9999,Old Q critic,242,0.014030235799534227,0.009044022422671633,0.5867768595041323,0.7892561983471075,0.8842975206611571,6.376512780900039,0.0
20,0.9999,PPO Actor,242,0.30977870503260274,0.2519862096507394,0.6735537190082644,0.8925619834710744,0.9545454545454546,4.680598509760616,0.0
50,0.9,Centered Advantage,258,0.5174043710842107,0.43592693032802166,0.32945736434108525,0.7829457364341085,0.8333333333333334,6.964920960681675,2.1921292263051555
50,0.9,Old Q critic,258,0.23819390750153555,0.1799738480208533,0.46511627906976744,0.4844961240310077,0.7558139534883721,8.529823412400042,0.8578501009793627
50,0.9,PPO Actor,258,0.4550694813096595,0.37914407435384334,0.5387596899224806,0.7674418604651163,0.8410852713178295,7.759980042326444,0.0
50,0.99,Centered Advantage,255,0.5447847018112075,0.4491369784350258,0.4235294117647059,0.8117647058823529,0.9019607843137255,5.696915218967275,1.7261044844165099
50,0.99,Old Q critic,255,0.2157284819318041,0.16442072104413247,0.44313725490196076,0.5294117647058824,0.7450980392156863,7.860328413140194,1.0773176017453352
50,0.99,PPO Actor,255,0.4740648676687428,0.3852250893999015,0.5490196078431373,0.7764705882352941,0.9176470588235294,6.388718581639657,0.0
50,0.999,Centered Advantage,245,0.4708482963152379,0.3937186517830802,0.5224489795918368,0.8122448979591836,0.889795918367347,5.952592019830909,0.0
50,0.999,Old Q critic,245,0.13760824529519675,0.10985745781599722,0.42857142857142855,0.5877551020408164,0.8040816326530612,9.856260874504816,1.361541327386817
50,0.999,PPO Actor,245,0.3829573026409151,0.31495374267728987,0.5591836734693878,0.8081632653061225,0.9306122448979591,7.9191770084063755,0.0
50,0.9999,Centered Advantage,242,0.35041116491276053,0.29240526702814396,0.6322314049586777,0.8760330578512396,0.9421487603305785,4.119184092090503,0.0
50,0.9999,Old Q critic,242,0.014030235799534227,0.009044022422671633,0.5867768595041323,0.7892561983471075,0.8842975206611571,6.3765127809000335,0.0
50,0.9999,PPO Actor,242,0.30977870503260274,0.2519862096507394,0.6735537190082644,0.8925619834710744,0.9545454545454546,4.680598509760615,0.0
