phase,episodes,transition_count,raw_mean,raw_std,raw_median,raw_p05,raw_p25,raw_p75,raw_p95,raw_min,raw_max,actor_mean,actor_std,actor_median,actor_p05,actor_p25,actor_p75,actor_p95,actor_min,actor_max
early,1-100,20000,266.1282177640915,81.03980428856579,265.81629943847656,134.14795608520507,213.11375427246094,320.18109130859375,398.219937133789,-27.756404876708984,584.51708984375,1.2165144107711967e-08,0.999999998082893,-0.012440914288163185,-1.623847770690918,-0.6617692410945892,0.6762357652187347,1.6281330227851867,-3.7335734367370605,3.7830862998962402
middle,101-200,20000,254.09661444444657,83.23544075895559,252.681640625,119.52164764404297,199.6309051513672,308.572265625,392.92578124999983,-41.953983306884766,593.7966918945312,6.263032992137596e-09,0.9999999996402817,-0.01885836012661457,-1.6036601841449736,-0.6655965000391006,0.6621114760637283,1.6770859062671657,-3.7747116088867188,3.5983660221099854
late,201-300,20000,245.63193434422016,83.6158811043401,244.67833709716797,110.3019790649414,190.86627578735352,300.64093017578125,384.355953979492,-61.665122985839844,571.3860473632812,3.453545705269789e-08,1.0000000073819457,-0.011854109819978476,-1.6046065032482146,-0.6688162237405777,0.6677981168031693,1.6549780964851375,-3.7019810676574707,4.195480823516846
