episode,transitions,optimizer_steps,loss_mean,loss_last,gradient_norm_mean,target_std,update_count
1,200,4,0.41728751361370087,0.41204845905303955,0.03149654669687152,0.9999999403953552,4
2,200,4,0.4146297872066498,0.4566583037376404,0.05068351421505213,0.9999999403953552,8
3,200,4,0.42606205493211746,0.4571392238140106,0.02232158975675702,1.0,12
4,200,4,0.426461361348629,0.4150104522705078,0.04449529014527798,1.0,16
5,200,4,0.4076995998620987,0.36760905385017395,0.041809051763266325,0.9999999403953552,20
6,200,4,0.4216311424970627,0.4587193727493286,0.04236837802454829,1.0,24
7,200,4,0.41349365562200546,0.34006986021995544,0.03915600571781397,1.0,28
8,200,4,0.42757967859506607,0.3648037910461426,0.0400806674733758,1.0,32
9,200,4,0.429329514503479,0.4162003993988037,0.033417556900531054,1.0,36
10,200,4,0.4177558720111847,0.4282151460647583,0.025772116146981716,1.0,40
11,200,4,0.41544532775878906,0.39495986700057983,0.028398923110216856,1.0,44
12,200,4,0.40502409636974335,0.43293413519859314,0.02988598123192787,1.0,48
13,200,4,0.41846684366464615,0.4024048447608948,0.026412221137434244,0.9999999403953552,52
14,200,4,0.4166892543435097,0.36035802960395813,0.04174949321895838,1.0,56
15,200,4,0.4313826933503151,0.4793379008769989,0.030036131385713816,0.9999999403953552,60
16,200,4,0.41381119936704636,0.36435577273368835,0.04565560817718506,1.0,64
17,200,4,0.41976288706064224,0.4875299036502838,0.034357326570898294,1.0,68
18,200,4,0.4189658910036087,0.41643351316452026,0.03620574064552784,1.0,72
19,200,4,0.4414734020829201,0.46202436089515686,0.047551104798913,1.0,76
20,200,4,0.4219353348016739,0.4151704013347626,0.035096604377031326,1.0,80
21,200,4,0.4038819894194603,0.3798067569732666,0.049431211315095425,0.9999999403953552,84
22,200,4,0.4105851501226425,0.4360511004924774,0.034400833770632744,0.9999999403953552,88
23,200,4,0.39307214319705963,0.3375052213668823,0.03980640647932887,1.0,92
24,200,4,0.4173455834388733,0.406765878200531,0.032191805774345994,1.0,96
25,200,4,0.4252668172121048,0.4890965223312378,0.03228789288550615,1.0,100
26,200,4,0.44351769983768463,0.42455413937568665,0.05390600394457579,1.0,104
27,200,4,0.40664780139923096,0.409697026014328,0.04714490845799446,0.9999999403953552,108
28,200,4,0.4210653305053711,0.46980127692222595,0.027739373967051506,1.0,112
