horizon,load_tertile,method,state_count,spearman,kendall,top1_rate,top3_rate,top5_rate,mean_regret,median_regret
5,high,Centered Advantage,337,0.41287416549571015,0.3369530035914871,0.49851632047477745,0.7833827893175074,0.8664688427299704,6.640322047696383,0.02943346104086686
5,high,Old Q critic,337,0.005547462427579544,0.0059318999243245085,0.4094955489614243,0.5400593471810089,0.6913946587537092,11.823403186719275,4.675031953002531
5,high,PPO Actor,337,0.328380076228328,0.2643638193652803,0.5637982195845698,0.8071216617210683,0.8931750741839762,7.648386810717709,0.0
5,low,Centered Advantage,345,0.5767818171241448,0.49006256761611977,0.4782608695652174,0.9043478260869565,0.9478260869565217,4.917424637579263,0.24527858232625022
5,low,Old Q critic,345,0.3389596534473339,0.26025603164210487,0.5855072463768116,0.6840579710144927,0.9304347826086956,5.095213144870662,0.0
5,low,PPO Actor,345,0.4974876065386951,0.4172715475433281,0.6318840579710145,0.8608695652173913,0.9565217391304348,5.681599709924613,0.0
5,medium,Centered Advantage,318,0.47917159687058747,0.39835812752799477,0.48742138364779874,0.8270440251572327,0.9056603773584906,5.375927833644794,0.13843015934165237
5,medium,Old Q critic,318,0.15982971405616703,0.1212791165870246,0.46540880503144655,0.5849056603773585,0.8050314465408805,7.3982895477248665,0.9560805563172039
5,medium,PPO Actor,318,0.43984579764736526,0.35784874582498827,0.5849056603773585,0.8238993710691824,0.9465408805031447,6.219341203829878,0.0
10,high,Centered Advantage,337,0.39757242255298536,0.3252903266843075,0.4836795252225519,0.7566765578635015,0.8427299703264095,6.876477538346021,0.2381437995467195
10,high,Old Q critic,337,-0.007971302316722708,-0.005199745643411484,0.39762611275964393,0.5252225519287834,0.6706231454005934,12.05296359701974,4.954322948790548
10,high,PPO Actor,337,0.3118825672492931,0.2518597019175966,0.5341246290801187,0.7744807121661721,0.8545994065281899,8.086281217011438,0.0
10,low,Centered Advantage,345,0.5708277398080603,0.4841825680975538,0.4666666666666667,0.8869565217391304,0.9304347826086956,4.796473766935602,0.4542616730173563
10,low,Old Q critic,345,0.3347024651205188,0.25680336076209137,0.5739130434782609,0.672463768115942,0.9188405797101449,5.012893724256446,0.0
10,low,PPO Actor,345,0.494626993898258,0.4141100150492514,0.6260869565217392,0.8521739130434782,0.9391304347826087,5.59151837544828,0.0
10,medium,Centered Advantage,318,0.47440710151117693,0.3938706026122558,0.4716981132075472,0.8144654088050315,0.89937106918239,5.421617167465547,0.24874385288367762
10,medium,Old Q critic,318,0.15902511116332688,0.12030601308241673,0.46540880503144655,0.5849056603773585,0.7955974842767296,7.378211731157841,0.9560805563172323
10,medium,PPO Actor,318,0.43530240600182224,0.3534987733559921,0.5754716981132075,0.8018867924528302,0.9371069182389937,6.356943611660414,0.0
20,high,Centered Advantage,337,0.3972292050994497,0.32496533420983,0.4836795252225519,0.7566765578635015,0.8427299703264095,6.909883386492308,0.2381437995467195
20,high,Old Q critic,337,-0.00831521864767633,-0.005510661833865054,0.39762611275964393,0.5252225519287834,0.6706231454005934,12.087321828584619,4.954322948790548
20,high,PPO Actor,337,0.3112342485871278,0.2514409232590952,0.5341246290801187,0.7744807121661721,0.8545994065281899,8.129638920624723,0.0
20,low,Centered Advantage,345,0.5707873646751077,0.483947400106638,0.4666666666666667,0.8869565217391304,0.9304347826086956,4.796473766935599,0.45426167301729947
20,low,Old Q critic,345,0.3346028191646779,0.25671723027874266,0.5739130434782609,0.672463768115942,0.9188405797101449,5.052983786203593,0.0
20,low,PPO Actor,345,0.49473787015295345,0.41411330380511524,0.6260869565217392,0.8521739130434782,0.9391304347826087,5.6316084373954265,0.0
20,medium,Centered Advantage,318,0.474390426058453,0.3938521677331566,0.4716981132075472,0.8144654088050315,0.89937106918239,5.413447902504126,0.2487438528836492
20,medium,Old Q critic,318,0.15902140499999345,0.12028755377006742,0.46540880503144655,0.5849056603773585,0.7955974842767296,7.378211731157841,0.9560805563172323
20,medium,PPO Actor,318,0.43527646640869616,0.35348033847689286,0.5754716981132075,0.8018867924528302,0.9371069182389937,6.356943611660418,0.0
50,high,Centered Advantage,337,0.3972292050994497,0.32496533420983,0.4836795252225519,0.7566765578635015,0.8427299703264095,6.909883386492306,0.2381437995467195
50,high,Old Q critic,337,-0.00831521864767633,-0.005510661833865054,0.39762611275964393,0.5252225519287834,0.6706231454005934,12.087321828584619,4.954322948790548
50,high,PPO Actor,337,0.3112342485871278,0.2514409232590952,0.5341246290801187,0.7744807121661721,0.8545994065281899,8.129638920624723,0.0
50,low,Centered Advantage,345,0.5707873646751077,0.483947400106638,0.4666666666666667,0.8869565217391304,0.9304347826086956,4.796473766935598,0.45426167301729947
50,low,Old Q critic,345,0.3346028191646779,0.25671723027874266,0.5739130434782609,0.672463768115942,0.9188405797101449,5.052983786203592,0.0
50,low,PPO Actor,345,0.49473787015295345,0.41411330380511524,0.6260869565217392,0.8521739130434782,0.9391304347826087,5.631608437395424,0.0
50,medium,Centered Advantage,318,0.474390426058453,0.3938521677331566,0.4716981132075472,0.8144654088050315,0.89937106918239,5.413447902504126,0.2487438528836492
50,medium,Old Q critic,318,0.15902140499999345,0.12028755377006742,0.46540880503144655,0.5849056603773585,0.7955974842767296,7.3782117311578395,0.9560805563172323
50,medium,PPO Actor,318,0.43527646640869616,0.35348033847689286,0.5754716981132075,0.8018867924528302,0.9371069182389937,6.356943611660418,0.0
