state_id,episode,task_id,horizon,coupling,reference_advantage,load,requirement,safe_set_bin,S0_raw,S0_normalized,S1_raw,S1_normalized,S2_raw,S2_normalized,S3_raw,S3_normalized
ep001_task001,1,1,5,easy,8.697067729092282,low,0.99,16-28,87.88461303710938,1.1947705745697021,92.49838256835938,1.4601129293441772,85.79716491699219,1.1508907079696655,83.70880889892578,1.3561683893203735
ep001_task001,1,1,10,easy,8.697067729092339,low,0.99,16-28,87.88461303710938,1.1947705745697021,92.49838256835938,1.4601129293441772,85.79716491699219,1.1508907079696655,83.70880889892578,1.3561683893203735
ep001_task001,1,1,20,easy,8.697067729092339,low,0.99,16-28,87.88461303710938,1.1947705745697021,92.49838256835938,1.4601129293441772,85.79716491699219,1.1508907079696655,83.70880889892578,1.3561683893203735
ep001_task001,1,1,50,easy,8.697067729092282,low,0.99,16-28,87.88461303710938,1.1947705745697021,92.49838256835938,1.4601129293441772,85.79716491699219,1.1508907079696655,83.70880889892578,1.3561683893203735
ep001_task013,1,13,5,easy,6.861656860475648,low,0.999,16-28,155.85887145996094,2.119241237640381,133.91986083984375,2.0207457542419434,154.94091796875,2.089027166366577,127.59134674072266,1.9475985765457153
ep001_task013,1,13,10,easy,6.861656860475762,low,0.999,16-28,155.85887145996094,2.119241237640381,133.91986083984375,2.0207457542419434,154.94091796875,2.089027166366577,127.59134674072266,1.9475985765457153
ep001_task013,1,13,20,easy,6.861656860475705,low,0.999,16-28,155.85887145996094,2.119241237640381,133.91986083984375,2.0207457542419434,154.94091796875,2.089027166366577,127.59134674072266,1.9475985765457153
ep001_task013,1,13,50,easy,6.861656860475819,low,0.999,16-28,155.85887145996094,2.119241237640381,133.91986083984375,2.0207457542419434,154.94091796875,2.089027166366577,127.59134674072266,1.9475985765457153
ep001_task026,1,26,5,easy,4.010115870741174,high,0.9999,16-28,1.7020463943481445,0.02266129106283188,-17.098960876464844,-0.023269053548574448,2.2774791717529297,0.01770290546119213,-16.44157600402832,0.006383987609297037
ep001_task026,1,26,10,easy,4.010115870741174,high,0.9999,16-28,1.7020463943481445,0.02266129106283188,-17.098960876464844,-0.023269053548574448,2.2774791717529297,0.01770290546119213,-16.44157600402832,0.006383987609297037
ep001_task026,1,26,20,easy,4.010115870741174,high,0.9999,16-28,1.7020463943481445,0.02266129106283188,-17.098960876464844,-0.023269053548574448,2.2774791717529297,0.01770290546119213,-16.44157600402832,0.006383987609297037
ep001_task026,1,26,50,easy,4.010115870741174,high,0.9999,16-28,1.7020463943481445,0.02266129106283188,-17.098960876464844,-0.023269053548574448,2.2774791717529297,0.01770290546119213,-16.44157600402832,0.006383987609297037
ep001_task038,1,38,5,easy,0.1614599055063195,low,0.99,16-28,-38.20366668701172,-0.5200686454772949,-42.372406005859375,-0.3653409779071808,-39.064453125,-0.5432208776473999,-48.58418273925781,-0.42682042717933655
