group,n_pairs,mean_s0_distance,mean_effective_mask_hamming,effective_mask_alias_rate,mean_safe_mask_hamming,safe_mask_alias_rate,mean_flight_standardized_distance,flight_alias_rate,mean_return_gap,median_return_gap,p90_return_gap,mean_policy_probability_tv
all S0-near pairs,3965,0.0,2.771500630517024,0.5102143757881463,2.77124842370744,0.5104665825977301,4.228947016621634,0.2756620428751576,97.78817058983319,78.7072950402569,208.9125442927471,0.13406646
effective-mask alias,2023,0.0,5.432031636183885,1.0,5.430054374691053,0.9990113692535838,4.329332902491572,0.2792881858625803,101.2000447182384,82.89295266302742,217.46371495711313,0.262765
in-flight alias,1093,0.0,2.906678865507777,0.5169258920402562,2.910338517840805,0.5169258920402562,15.340593395097123,1.0,100.59508803560635,78.61723274374651,225.3285483245177,0.16734856
neither alias,1414,0.0,0.0,0.0,0.0007072135785007072,0.0007072135785007072,0.0,0.0,94.57148572165731,75.8138247126488,204.958832510382,0.0
both aliases,565,0.0,5.623008849557523,1.0,5.626548672566372,0.9964601769911504,15.500414374649248,1.0,107.38425860114839,84.9243882294727,233.24188714454328,0.32373807
