group,n_pairs,mean_s0_distance,mean_effective_mask_hamming,effective_mask_alias_rate,mean_safe_mask_hamming,safe_mask_alias_rate,mean_flight_standardized_distance,flight_alias_rate,mean_return_gap,median_return_gap,p90_return_gap,mean_policy_probability_tv
A_mask_only,1458,0.0,5.3580246913580245,1.0,5.3539094650205765,1.0,0.0003472839942571762,0.0,98.80355579927809,81.85370182287147,207.7123269070657,0.23913687
B_flight_only,528,0.0,0.0,0.0,0.003787878787878788,0.003787878787878788,15.169572839326378,1.0,93.33016119937291,74.13257883549932,201.25768920063547,0.0
C_both,565,0.0,5.623008849557523,1.0,5.626548672566372,0.9964601769911504,15.500414374649248,1.0,107.38425860114839,84.9243882294727,233.24188714454328,0.32373807
D_neither,1414,0.0,0.0,0.0,0.0007072135785007072,0.0007072135785007072,0.0,0.0,94.57148572165731,75.8138247126488,204.958832510382,0.0
