dataset_index,neighbor_index,episode,neighbor_episode,task_id,neighbor_task_id,s0_distance,pair_reliability_distance,effective_mask_hamming,safe_mask_hamming,policy_probability_tv,flight_standardized_distance,inflight_workload_standardized_distance,backlog_observation_distance,return_gap,mask_alias,flight_alias,close_s0_neighbor,flight_queue_change_gap,next_task_backlog_gap,realized_latency_gap
31,11345,1,57,32,146,0.13964015348877157,0.01698234656838324,3,3,0.08371924,0.0,0.0,0.03746145,59.529439391320466,True,False,False,6.055352519541959,5.715424606503943,0.29430889924492476
32,11828,1,60,33,29,0.2445271249166443,0.022683736299935583,1,1,0.014410483,0.0,0.0,0.13317181,69.45569986577033,True,False,False,0.3043236750521725,1.2475074689413077,0.3732436257748972
33,43957,1,220,34,158,0.26826716551924473,0.0037495063188667556,6,6,0.104420684,4.43347434916068,2.228397660509086,0.23949513,32.84305029736555,True,True,False,5.439132354351466,4.739489450552753,0.9095069692306978
34,27234,1,137,35,35,0.3054115920065054,0.0052219171059564,0,0,0.014369506,0.0,0.0,0.30541158,188.80648723571448,False,False,False,2.630680068748889,0.0,0.44929319790497146
35,28435,1,143,36,36,0.0,0.0034201117918772994,0,0,0.0,0.0,0.0,0.0,14.569773425051153,False,False,True,1.6741051101963011,1.6741051101963011,0.15341104302547137
36,27236,1,137,37,37,0.0,0.0002936377641548437,0,0,0.0,8.646300027618208,3.716446698734447,0.0,91.7006184080679,False,True,True,0.0,0.0,0.01940273921675839
37,49237,1,247,38,38,0.0,0.010137232052803105,1,1,0.011857994,8.668861988153363,1.0976221879529962,0.0,295.057754517871,True,True,True,0.10674208982214206,0.10674208982214206,0.11715952845197819
38,40638,1,204,39,39,0.07072950915280314,0.0047273810168016435,8,8,0.1820053,0.0,0.0,0.07072951,81.17220290098595,True,False,False,1.1161124896773649,1.5216112966568243,0.0
39,44239,1,222,40,40,0.09375738944573425,0.01757790612384075,0,0,0.00756047,10.704122814173934,5.611026941747583,0.09375739,151.06820098546717,False,True,False,8.059520772722845,8.659553243713118,0.0
40,23840,1,120,41,41,0.0,0.00047026276352161946,0,0,0.0,0.0,0.0,0.0,214.19052715300455,False,False,True,0.0,0.0,0.10455223235241817
41,35241,1,177,42,42,0.0,0.007517599957675853,0,0,0.0,0.0,0.0,0.0,122.96375610230018,False,False,True,1.501594304065715,1.501594304065715,0.1522142121325487
42,12442,1,63,43,43,0.0,0.0015956376442221184,0,0,0.0,0.0,0.0,0.0,162.643019532723,False,False,True,0.49575026606538364,0.49575026606538364,0.29695013498984224
43,12643,1,64,44,44,0.13145250692184485,0.013203501742029061,1,1,0.010928707,0.0,0.0,0.13145252,50.11635317268434,True,False,False,2.596134386749431,1.6484350917627881,0.0490617692117894
44,1244,1,7,45,45,0.0722105598729414,0.0003097336286448497,0,0,0.002611646,0.0,0.0,0.072210565,122.05255134419804,False,False,False,2.474463459767402,2.5104083048303876,0.40334888004537106
45,11445,1,58,46,46,0.0,0.01583970076708161,5,5,0.7894198,0.0,0.0,0.0,184.86768747041125,True,False,True,1.6847878568640184,1.6847878568640184,0.0
46,8646,1,44,47,47,0.0072335822733923215,0.02437618207735103,0,0,0.0004726015,0.0,0.0,0.0072335824,192.39099202544446,False,False,False,3.8248403475756527,3.886749581424547,0.7572879492963693
47,13447,1,68,48,48,0.1501131187664276,0.006537433818274364,7,7,0.07363974,0.0,0.0,0.15011312,22.364588711402178,True,False,False,0.1413369805703013,0.0,0.0
48,56848,1,285,49,49,0.0,0.012796122446730713,0,0,0.0,0.0,0.0,0.0,70.61985618694342,False,False,True,3.452493161558274,3.452493161558274,0.0
49,49249,1,247,50,50,0.0,0.0030694843667779677,2,2,0.020914106,0.0,0.0,0.0,26.375238335046674,True,False,True,0.39531516617146656,0.39531516617146656,0.0
50,7274,1,37,51,75,0.08684056239763392,0.020215682946448932,7,7,0.11033735,0.0,0.0,0.07403811,71.72214169392984,True,False,False,2.59039768365673,2.463423316075242,0.2291442615389343
51,52651,1,264,52,52,0.041980383320202756,0.0010639863833920879,0,0,0.002740019,0.0,0.0,0.041980382,137.9588310899935,False,False,False,0.39536434891479644,0.0,0.0
52,40452,1,203,53,53,0.0,0.00023804966905736037,0,0,0.0,0.0,0.0,0.0,32.47739855311107,False,False,True,0.0,0.0,0.0024186211913246325
53,35853,1,180,54,54,0.0,0.010810832341033201,4,4,0.070109725,0.0,0.0,0.0,132.1527066121074,True,False,True,1.6257965660112026,1.6257965660112026,0.1872617662144478
54,34654,1,174,55,55,0.1515213517086147,0.00886010244897086,0,0,0.009893911,0.0,0.0,0.15152135,96.05008860962141,False,False,False,0.5975854612956637,0.4590327391592133,0.0922598353991333
55,1855,1,10,56,56,0.0832294656861622,0.029388018136679423,2,2,0.023052039,0.0,0.0,0.08322947,45.187628986513346,True,False,False,5.194976011690435,4.735943272531221,0.09305687695919573
56,36456,1,183,57,57,0.0,0.002781954186653888,0,0,0.0,11.73411707207679,9.220026378805168,0.0,54.281314567744516,False,True,True,2.9464439035418337,2.9464439035418337,1.94701643247204
57,13657,1,69,58,58,0.0,0.0073016836187301684,0,0,0.0,0.0,0.0,0.0,293.2162683939239,False,False,True,0.9827281298249946,0.9827281298249946,0.40396429763843855
58,29258,1,147,59,59,0.011136283064019299,0.014448087700820776,0,0,0.00071425363,0.0,0.0,0.011136283,64.7763707667171,False,False,False,1.2910409749727487,1.2117123985744949,2.842170943040401e-14
59,59059,1,296,60,60,0.16645624165035586,0.006244294430093311,4,4,0.07259839,8.011655799404462,4.587877536342236,0.16645624,85.93279808055962,True,True,False,0.16735195206613973,0.0,0.0037277735670073753
60,59060,1,296,61,61,0.0,0.021690679810762385,6,6,0.78944474,0.0,0.0,0.0,201.9740820953348,True,False,True,0.0,0.0,0.09781666470198047
61,1261,1,7,62,62,0.0,0.002321738196885552,3,3,0.030534437,0.0,0.0,0.0,24.82553144011706,True,False,True,0.0,0.0,0.0
62,19062,1,96,63,63,0.0,0.0013471910369840287,1,1,0.009252876,0.0,0.0,0.0,59.92268049853715,True,False,True,0.31791065665995666,0.31791065665995666,0.05171990678390159
63,11263,1,57,64,64,0.0,0.003895556611614755,0,0,0.0,0.0,0.0,0.0,68.77053029380136,False,False,True,0.0,0.0,0.2853555698505801
64,35264,1,177,65,65,0.0,0.02125922269796411,2,2,0.018188244,0.0,0.0,0.0,176.63040191654812,True,False,True,2.763813270236867,2.763813270236867,2.842170943040401e-14
65,3265,1,17,66,66,0.10241304132536942,0.0012625520670372238,0,0,0.0066538835,0.0,0.0,0.10241304,172.57631652910288,False,False,False,2.7467986259312704,1.9059816710181474,0.0
66,52666,1,264,67,67,0.18230829737434262,0.0066124081135286155,0,0,0.0097977165,0.0,0.0,0.1823083,2.5161780988252644,False,False,False,0.5255901514553876,0.25323680228067946,0.25404711109376876
67,54467,1,273,68,68,0.14069993793814148,0.002622736336239244,0,0,0.009598743,22.09006465071913,4.532140038811387,0.14069994,78.4350803136897,False,True,False,2.301100011858992,1.2785766086560544,0.09078185554619722
68,48468,1,243,69,69,0.0,0.009418068603480562,1,1,0.013672856,0.0,0.0,0.0,51.02491917418615,True,False,True,0.683907176740424,0.683907176740424,0.0
69,41869,1,210,70,70,0.005954951047897339,0.013559643914533572,10,10,0.63556904,10.926782342470625,4.110276924633164,0.005954951,140.87685202121895,True,True,False,0.5344737817778481,0.5015830601769552,0.0
70,36470,1,183,71,71,0.0829448228874636,0.008502816405293875,6,6,0.42421466,9.023125189562668,4.532140038811387,0.082944825,23.777468066583253,True,True,False,2.541979940106505,3.029625296330675,0.18291853202669017
71,48471,1,243,72,72,0.17142658659745558,0.007209456635652413,1,1,0.01529135,0.0,0.0,0.1714266,86.7552483617863,True,False,False,1.8705092294683592,0.407942899304225,0.19043115019294987
72,42472,1,213,73,73,0.0,0.004813305716304566,5,5,0.11813265,0.0,0.0,0.0,67.201395909783,True,False,True,1.0636192547190118,1.0636192547190118,1.4210854715202004e-14
73,19873,1,100,74,74,0.0005611330270767212,0.0018444669715468483,0,0,5.0701667e-05,6.939001345199134,3.354329855906081,0.000561133,128.88010545253604,False,True,False,0.07332639180050171,0.07692584457400164,0.017064785135886495
74,20274,1,102,75,75,0.0,0.005160511811259089,5,5,0.05761398,0.0,0.0,0.0,1.294053874965698,True,False,True,1.044392388147306,1.044392388147306,0.22769647878388355
75,1275,1,7,76,76,0.05265629291534424,0.0026520651612722025,8,8,0.18033083,0.0,0.0,0.052656293,78.60190067509305,True,False,False,0.43178715141274826,0.730821579533113,0.0
76,29076,1,146,77,77,0.04638651566308612,0.007222109118618106,3,3,0.20738748,0.0,0.0,0.046386518,167.6097201867329,True,False,False,3.3810903299377815,3.035471738303279,0.0
77,35877,1,180,78,78,0.0,0.0015746620036324159,0,0,0.0,0.0,0.0,0.0,12.1882416783846,False,False,True,0.0,0.0,0.3744897429667162
78,57678,1,289,79,79,0.0,0.052065171484730124,0,0,0.0,0.0,0.0,0.0,72.1509420324164,False,False,True,1.1805621591252153,1.1805621591252153,0.08555181590415373
79,46279,1,232,80,80,0.04821014404296875,0.0048065448303484136,11,11,0.4334226,0.0,0.0,0.048210144,238.23929966914545,True,False,False,2.2133705465960625,1.9089119740644755,0.0
80,48480,1,243,81,81,0.06901281308208532,0.04672915958025726,2,2,0.020553166,11.565910409074476,3.8273396347735815,0.06901281,36.26060748969843,True,True,False,0.5392703886861738,0.021870854813384355,0.05219008073765963
81,56681,1,284,82,82,0.0,0.0002248737147756958,0,0,0.0,0.0,0.0,0.0,74.64718091741724,False,False,True,0.18723611366474796,0.18723611366474796,0.11270624057655709
82,44482,1,223,83,83,0.0,0.006805900701281127,6,6,0.05713156,0.0,0.0,0.0,96.7835188959142,True,False,True,0.0,0.0,0.0
83,7283,1,37,84,84,0.0,0.037979525118725724,0,0,0.0,0.0,0.0,0.0,35.85918946579227,False,False,True,0.0,0.0,0.0
84,3284,1,17,85,85,0.0,0.017482805773369303,9,9,0.8332266,0.0,0.0,0.0,18.874730991381682,True,False,True,3.92382861484778,3.92382861484778,0.06758585859884647
85,13685,1,69,86,86,0.052554068637604784,0.021179845677640387,5,5,0.07039582,8.53679385850414,6.119316763777844,0.05255407,102.9059846323708,True,True,False,2.166270995412464,2.3545919384927143,1.4365442333490535
86,26486,1,133,87,87,0.05356953600225102,0.010737034493740619,6,6,0.2826959,18.78826053376548,9.755672584177924,0.053569537,5.7252282535471295,True,True,False,4.4998195452295855,5.081392148890087,0.1785160843889173
87,7087,1,36,88,88,0.17285254200992714,0.00023857241937577339,1,1,0.018852308,16.371292956516985,11.955887672063948,0.17285253,134.57818821403953,True,True,False,6.18774466818769,6.114673235706829,1.2515314749536515
88,12630,1,64,89,31,0.40328686227565635,0.009071816369669696,10,10,0.27778062,8.608929859801469,1.6945235712090314,0.21725485,157.52466583276066,True,True,False,5.104938567916445,4.818653796587693,0.14999222896952347
89,27377,1,137,90,178,0.22312350439589518,0.0031331840353075353,0,0,0.0105443075,0.0,0.0,0.17767544,194.15684954923734,False,False,False,3.9629870895743613,3.516064267157202,0.6313177679138278
90,40290,1,202,91,91,0.0,0.00210535727482059,0,0,0.0,0.0,0.0,0.0,94.70755026689949,False,False,True,0.05676034342796554,0.05676034342796554,0.2507484040872612
91,1891,1,10,92,92,0.0055881508507045,0.014778817247690944,10,10,0.26131195,0.0,0.0,0.0055881506,61.93079134691075,True,False,False,1.2617003377155038,1.236779919686592,0.04769051753950748
92,42692,1,214,93,93,0.1494401197789097,0.01757050821346669,4,4,0.063222736,0.0,0.0,0.14944012,78.50793601036332,True,False,False,2.4169991647212887,3.930017612921286,0.0
93,36563,1,183,94,164,0.14759395189911992,0.02568845715744899,9,9,0.1316137,13.660948831325433,8.027103861618672,0.028680816,21.890882112758106,True,True,False,8.175589237120324,7.969500938655018,0.0857408924671006
94,49260,1,247,95,61,0.22388016087447243,0.07005961717026414,5,6,0.81741905,0.0,0.0,0.20679998,52.30395928527901,True,False,False,4.785811810894721,1.3078814201169577,0.4602262327563267
95,20295,1,102,96,96,0.14734362537349716,0.023326887856512667,0,0,0.0059820376,0.0,0.0,0.14734362,77.7208090190183,False,False,False,4.667485870485559,5.803076430027755,0.14652271469353195
96,35982,1,180,97,183,0.16725927759058337,0.005015705387855446,5,5,0.070231274,5.243996632881535,2.7451957189888048,0.10405196,0.5190799569856495,True,True,False,3.6760964587394604,2.480043952747631,0.6466650577733333
97,56697,1,284,98,98,0.0,0.0002248737147756958,2,2,0.014792262,0.0,0.0,0.0,14.032152200427504,True,False,True,0.0,0.0,0.44704590669996946
98,44498,1,223,99,99,0.0,0.027509827304426384,0,0,0.0,0.0,0.0,0.0,4.657798422942449,False,False,True,0.358442642674353,0.358442642674353,0.0
99,20499,1,103,100,100,0.08648263698601615,0.002741217899920532,9,9,0.40087113,0.0,0.0,0.08648264,2.5157350735444766,True,False,False,4.34934065289111,5.775395331358121,0.0
100,55300,1,277,101,101,0.0,0.013983694761395282,0,0,0.0,6.482143132101894,2.440383097821516,0.0,20.68969746812985,False,True,True,1.606838342563238,1.606838342563238,0.43367775427182664
101,57648,1,289,102,49,0.0980485235625555,0.025146608930297062,0,0,0.0024530469,0.0,0.0,0.033853907,188.76094023984268,False,False,False,0.8627254489733072,0.624003157211682,0.7748968202046171
102,27302,1,137,103,103,0.061760533110047124,0.02270341724293657,4,4,0.03089426,0.0,0.0,0.061760534,25.68436069996261,True,False,False,1.595390712296544,2.1389180279124456,0.9517162422289687
103,11914,1,60,104,115,0.16971779972238743,0.02764575114652218,5,5,0.501277,0.0,0.0,0.15234992,33.20550975395997,True,False,False,3.67395341876005,3.0014976888290867,0.06992374763851217
104,6304,1,32,105,105,0.25642498059539687,0.00696572275423281,7,7,0.26576692,5.043723021978298,3.87110451623179,0.256425,115.64023013374111,True,True,False,1.9868830650461984,0.2674756646101686,0.8751799543073275
105,20505,1,103,106,106,0.11405673361983895,0.0054841166498252394,0,0,0.008574733,0.0,0.0,0.114056736,96.51713004127981,False,False,False,0.8232718106599963,0.5944978069201738,0.19005603272049143
106,7106,1,36,107,107,0.09800198558588062,0.01221829087396708,0,0,0.008615281,0.0,0.0,0.09800199,185.8672921602573,False,False,False,4.919760574680437,4.708020607828978,0.2238623351618685
107,14507,1,73,108,108,0.022534661021294387,0.013909139540733119,7,7,0.62587947,0.0,0.0,0.022534661,11.774757739974518,True,False,False,2.265469254355149,1.9575899341350675,0.8292778639262792
108,19784,1,99,109,185,0.087599415454228,0.008040820008381338,0,0,0.0032251626,0.0,0.0,0.039248865,45.58129249886878,False,False,False,0.4369041178444323,0.4761149368675073,0.012452162769477582
109,56709,1,284,110,110,0.0,0.004062731064174022,8,8,0.36852735,0.0,0.0,0.0,51.57674209144204,True,False,True,0.8303442543200044,0.8303442543200044,0.08133541089830487
110,42710,1,214,111,111,0.0556938499212265,0.02391593291308553,3,3,0.072092086,7.351892408955215,4.07274659097121,0.05569385,62.90619033973678,True,True,False,1.6529740079000903,1.3046843456534334,0.7231761544880726
111,40311,1,202,112,112,0.02615691083603378,0.009693140180361088,9,9,0.6489076,0.0,0.0,0.02615691,68.16067116891583,True,False,False,3.41023907282553,3.102094235499575,0.0
112,44512,1,223,113,113,0.0,0.02851848012837668,2,2,0.021741692,0.0,0.0,0.0,185.99325328034726,True,False,True,2.159104379174073,2.159104379174073,0.919365521082085
113,21304,1,107,114,105,0.13564861126905553,0.03806839868695052,12,12,0.83313376,0.0,0.0,0.070315935,7.2441490663897525,True,False,False,1.908064482913427,0.7893588511919738,0.5203527869018956
114,59128,1,296,115,129,0.0628516049099645,0.01672455169416607,8,8,0.8181141,16.9961756200045,5.394358154132982,0.058128208,39.993427628137795,True,True,False,9.768618369208786,9.079106913179729,1.6475586437366587
115,49315,1,247,116,116,0.03736855413386221,0.053293118762335126,0,0,0.00271999,13.372991470240011,6.530018180872418,0.037368555,125.60898738504397,False,True,False,8.835676407391007,8.62562042343168,0.30212383309353186
116,35316,1,177,117,117,0.020731981843709946,0.017104809899231813,1,1,0.009328315,0.0,0.0,0.020731982,18.523787080995533,True,False,False,3.3254214055893265,3.2407378213793696,0.04214899689057461
117,12770,1,64,118,171,0.08598393749841444,0.001990500147943811,1,1,0.014334218,17.73561596073572,10.901897455510559,0.05457598,76.8993809693772,True,True,False,4.910504919847196,5.358870645592697,1.177476881522864
118,40518,1,203,119,119,0.25133337489965507,0.0183997969580958,3,3,0.53360796,0.0,0.0,0.2513334,35.66296422549226,True,False,False,2.3774715054713154,5.149758356656656,0.3818359735880392
119,42753,1,214,120,154,0.24913982783704644,0.014961844368867437,4,4,0.35053396,0.0,0.0,0.1277925,40.64655922838176,True,False,False,0.389423171234057,0.5245590632817709,0.27087094111982424
120,52575,1,263,121,176,0.2915642183246949,0.011719587884650997,1,1,0.018150223,18.731712829101113,9.758464999944474,0.2229054,126.41130717282397,True,True,False,6.502206647776264,8.58767405556091,0.3613750829021001
121,6320,1,32,122,121,0.3016935697324218,0.009312204765906586,1,1,0.022473263,19.234293976380627,6.889211342592446,0.23908626,168.54551779391232,True,True,False,11.154666742921563,11.502281674184719,0.430208421206828
122,1322,1,7,123,123,0.013563767075538635,0.0092520153031406,0,0,0.0010137041,0.0,0.0,0.013563767,30.401702758637782,False,False,False,0.172191707467237,0.0935705233677191,0.0
123,29123,1,146,124,124,0.0,0.0030410619474891707,0,0,0.0,18.203336831462128,4.855654544751285,0.0,78.94632147496748,False,True,True,2.837813843743004,2.837813843743004,2.842170943040401e-14
124,1124,1,6,125,125,0.17179906196082737,0.0057287427769188715,1,1,0.02628207,9.555786089289098,4.863778291063817,0.17179906,43.04240464804775,True,True,False,2.3933089397349168,0.26551141595066685,0.256181074634128
125,1094,1,6,126,95,0.2520488264806183,0.01101938063486588,3,3,0.41435847,0.0,0.0,0.19089721,168.76930267681803,True,False,False,4.002097114870395,5.392681821110621,0.46818177501992864
126,11440,1,58,127,41,0.2526386825894023,0.00040257892992596713,0,0,0.0057131643,10.088592259932032,6.697454544484531,0.100986645,140.3118962075677,False,True,False,1.5977266363845104,1.8075542339957533,0.1740253884152736
127,11327,1,57,128,128,0.08462068434942183,0.026576464203318866,7,7,0.18986157,0.0,0.0,0.084620684,17.232522845536607,True,False,False,2.252160319334175,2.832957548895129,0.0
128,13528,1,68,129,129,0.0867612809094802,0.01998987458162282,7,7,0.789579,0.0,0.0,0.08676128,5.308586968974851,True,False,False,1.7963789058866517,0.8386646830136577,1.06352917865064
129,27329,1,137,130,130,0.2123247096376526,0.0002936377641548437,0,0,0.014175836,6.536796360553026,5.228944226645342,0.21232471,218.71512413898506,False,True,False,3.0439883219621144,0.9313556687435938,0.10668919104176666
130,20330,1,102,131,131,0.12794309803619702,0.005613051261325146,5,5,0.05676997,15.296846830437133,0.8371818180605664,0.1279431,37.156607434907414,True,True,False,1.642402809152928,2.364052134566512,0.0
131,13731,1,69,132,132,0.19428820226653293,0.02717689999666106,5,5,0.07673198,0.0,0.0,0.1942882,213.2638102376361,True,False,False,3.876059704523266,3.3791588037100335,0.0029320273224584525
132,1332,1,7,133,133,0.0,0.0026520651612722025,0,0,0.0,0.0,0.0,0.0,188.22686816941092,False,False,True,1.1759507445540758,1.1759507445540758,0.6053604697677315
133,42533,1,213,134,134,0.0,0.012306228514892171,0,0,0.0,0.0,0.0,0.0,209.6489919530067,False,False,True,0.2932679674605214,0.2932679674605214,0.028605851450549835
134,29134,1,146,135,135,0.0,0.005871326661904387,2,2,0.026056405,0.0,0.0,0.0,139.55287170560467,True,False,True,1.8156771409141013,1.8156771409141013,0.053591459213350845
135,12404,1,63,136,5,0.18023374874877413,0.0006223614007332828,0,0,0.009576332,0.0,0.0,0.16156374,50.28577218133489,False,False,False,1.5976296349128862,3.2046875503863284,0.14609483047774852
136,1285,1,7,137,86,0.24173779516627233,0.013997285344288632,6,6,0.12747136,0.0,0.0,0.09318276,35.009758465730386,True,False,False,0.13672027698421463,0.007977270844128803,0.5566025496422071
137,35984,1,180,138,185,0.1440611313464963,0.0073768667465554105,0,0,0.0055776434,0.0,0.0,0.074523106,53.531592222462564,False,False,False,1.0932305515107434,1.1712324933899074,1.1703868430698776
138,48538,1,243,139,139,0.05101507233495274,0.03088656804675047,5,5,0.09629382,0.0,0.0,0.05101507,55.661605623195896,True,False,False,2.177690061570118,2.332516144268439,0.0
139,12739,1,64,140,140,0.0,0.007107315043514994,4,4,0.1277758,0.0,0.0,0.0,64.63907696339174,True,False,True,0.0,0.0,0.2204785595016574
140,23940,1,120,141,141,0.0,0.01397466065917751,1,1,0.009195712,0.0,0.0,0.0,140.08057562852127,True,False,True,1.011743442309315,1.011743442309315,0.05213370297616393
141,49341,1,247,142,142,0.0,0.0012318886325939499,0,0,0.0,13.090504768273211,6.689253218015559,0.0,160.80816212866523,False,True,True,1.8235930490640628,1.8235930490640628,0.12112119632672602
142,6211,1,32,143,12,0.13397772109594583,0.004938303093308421,2,2,0.042267814,0.0,0.0,0.06361805,114.7752099982402,True,False,False,1.197634568018619,0.851466593141349,0.35289866935843506
143,55343,1,277,144,144,0.03531370684504509,0.014686373824272654,2,2,0.01209693,0.0,0.0,0.035313707,101.89696513651745,True,False,False,1.4753551144803656,1.6288913881214317,0.8621344455974054
