model,r2_s0,r2_s1,r2_s2,r2_s3,delta_r2_reliability,delta_r2_inflight,delta_r2_both,interaction
MLP,0.070044284187991,0.0902154351785933,0.0579236600180886,0.088866183893382,0.020171150990602307,-0.012120624169902394,0.018821899705391,0.010771372884691086
Ridge,0.0846617848097676,0.1012515761565904,0.0891791966470406,0.1047660275957181,0.0165897913468228,0.004517411837273,0.020104242785950494,-0.0010029603981453056
