R_req,Mean,Median,P25,P75,P90
0.9,0.0,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0,0.0
0.999,0.012228246480604752,0.0,0.0,0.0,0.0
0.9999,4.249704019949725,0.0,0.0,0.0,7.4018662709662735
