R_req,reward_total,reward_delay_component,reward_reliability_gate_component,reward_reliability_penalty_component,reward_reliability_component,reward_correlation_component,reward_energy_component,reliability_violation,Latency,Task_Count,Violation_Rate,Mean_Absolute_Reliability_Component
0.9,46.47463439499258,46.47463439499258,0.0,0.0,0.0,0.0,0.0,0.0,3.322930455870743,10000,0.0,0.0
0.99,53.27455033394296,53.27455033394296,0.0,0.0,0.0,0.0,0.0,0.0,2.9640765950828176,10000,0.0,0.0
0.999,48.68845549579336,48.86432219360621,-0.17115560829366197,-0.004711089519189413,-0.1758666978128514,0.0,0.0,0.00047110895191894127,3.2384064635634378,10000,0.0038000000000000256,0.17586669781285139
0.9999,35.789777175811366,45.19350195592317,-8.768638498173438,-0.635086281938363,-9.403724780111801,0.0,0.0,0.0635086281938363,3.48111722783212,10000,0.1815,9.4037247801118
