R_req,Mean_Regret,Median_Regret,P90_Regret,Fraction_Strictly_Suboptimal
0.9,23.12130214993358,21.36754729868926,51.28040674419033,0.72
0.99,23.12130214993358,21.36754729868926,51.28040674419033,0.72
0.999,23.12130214993358,21.36754729868926,51.28040674419033,0.72
0.9999,26.088795662241015,21.725563314621102,64.66680824505802,0.745
