R_req,Mean_DeltaQ,Median_DeltaQ,Bootstrap_95CI_Low,Bootstrap_95CI_High
0.9,-0.034398950002426064,0.0,-0.06337794317161907,-0.005696530985580269
0.99,-0.034398950002426064,0.0,-0.06337794317161907,-0.005696530985580269
0.999,-0.7476014467531151,0.0,-1.3537088340636076,-0.1652355934254911
0.9999,-2.902565058633715,0.0,-4.7680430453748315,-1.0532285755248088
