R_req,States,all_actions_tied_count,states_with_second_distinct,mean,median,p10,p25,p75,p90,p95,max
0.9,1000,0,1000,4.9584253706166095,5.764162676948388,1.153126848614555,3.581493019943025,6.244627539838035,7.4018662709662735,7.4018662709662735,7.771484643935537
0.99,1000,0,1000,4.9584253706166095,5.764162676948388,1.153126848614555,3.581493019943025,6.244627539838035,7.4018662709662735,7.4018662709662735,7.771484643935537
0.999,1000,0,1000,5.032311184650485,5.764162676948388,1.153126848614555,3.6808666781257635,6.244627539838035,7.4018662709662735,7.4018662709662735,63.577096200792546
0.9999,1000,0,1000,10.788799703604814,5.764162676948388,1.153126848614555,3.7343064106685553,7.4018662709662735,25.988235848718634,63.97362027059037,94.93258029912576
