R_req,States,exact_optimal_rate,mean_regret_given_suboptimal,near_1e-3_rate,near_0_01_rate,mean_regret,median_regret,p90_regret,p95_regret
0.9,1000,0.28,32.11291965268553,0.28,0.28,23.12130214993358,21.36754729868926,51.28040674419033,62.620714099298944
0.99,1000,0.28,32.11291965268553,0.28,0.28,23.12130214993358,21.36754729868926,51.28040674419033,62.620714099298944
0.999,1000,0.28,32.11291965268553,0.28,0.28,23.12130214993358,21.36754729868926,51.28040674419033,62.620714099298944
0.9999,1000,0.255,35.01851766743761,0.255,0.255,26.08879566224102,21.725563314621102,64.66680824505802,73.13387333190362
