R_req,States,source,mean_regret,median_regret,strictly_suboptimal_rate,mean_regret_given_suboptimal,median_regret_given_suboptimal,p75_regret,p90_regret,p95_regret,max_regret,exact_optimal_rate,near_1e-3_rate,near_0_01_rate,p_regret_le_1e-06,p_regret_le_0.0001,p_regret_le_0.001,p_regret_le_0.01,p_regret_le_0.05,p_regret_le_0.1
0.9,200,supplemental_0.9_states,14.575486350469566,5.318469724754099,0.605,24.09171297598275,19.287760365203226,24.322448853342664,38.21690089487561,45.84509188759146,122.47654304126273,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395
0.99,200,original_1000_states,15.169289837811112,15.380367667174987,0.725,20.923158396980842,21.311240467133658,25.87833904611826,34.09049235705199,36.549265407394564,47.614720631382006,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.28
0.999,200,original_1000_states,17.423464747091344,17.550467044900415,0.635,27.43852716077377,27.60129305636265,29.175548180910305,41.16616441288971,45.15054566498003,55.46439077499209,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365
0.9999,600,original_1000_states,29.324525896006186,27.388725309614003,0.7433333333333333,39.45003483767648,39.02594869841151,48.749261440464664,68.87228516441132,74.72671651344898,102.27599250433838,0.25666666666666665,0.25666666666666665,0.25666666666666665,0.25666666666666665,0.25666666666666665,0.25666666666666665,0.25666666666666665,0.25666666666666665,0.25666666666666665
