Trial_ID,Source,Probe_ID,Task_ID,Reliability_Requirement,Normalized_Reliability_Feature,Top_Action_Index,Top_Server_J,Top_Server_K,Top_Action_Probability,Top_Action_True_Rho,Expected_True_Rho,Low_Rho_Quartile_Mass,Policy_Entropy,TV_From_R09,JS_From_R09,Argmax_Changed_From_R09
0,formal_recorded_probe_summary_no_checkpoint,probe-0000,1,0.9,0.0,27,7,8,0.1852197796106338,0.126713192370195,0.2344911783470334,0.0316100835334509,2.5549096268769094,0.0,0.0,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0000,1,0.99,0.3333333333333332,27,7,8,0.1897428482770919,0.126713192370195,0.235367676230543,0.0304243488935753,2.53479799146538,0.0094210536917671,5.7630320959842175e-05,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0000,1,0.999,0.6666666666666665,27,7,8,0.1936731785535812,0.126713192370195,0.2359587424459564,0.0297727906145155,2.5198862347131903,0.0172178471111692,0.0001858150840828,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0000,1,0.9999,1.0,27,7,8,0.1967350840568542,0.126713192370195,0.2362266172781635,0.0296925363363698,2.511390587974448,0.0228803379577584,0.0003199280803115,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0001,41,0.9,0.0,27,7,8,0.1887497752904892,0.126713192370195,0.2356049121684965,0.0306102888425812,2.5351120617921,0.0,0.0,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0001,41,0.99,0.3333333333333332,27,7,8,0.1932053864002227,0.126713192370195,0.2363824635800352,0.0295974543550983,2.516027418315972,0.0090881562791764,5.21145346075837e-05,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0001,41,0.999,0.6666666666666665,27,7,8,0.1969853043556213,0.126713192370195,0.2368526525640553,0.0291231072042137,2.502645749809813,0.016331446066033,0.0001634780733649,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0001,41,0.9999,1.0,27,7,8,0.1998143196105957,0.126713192370195,0.2369834010600399,0.0292212126078084,2.4961333443824367,0.0213254209957085,0.0002731500900192,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0002,81,0.9,0.0,27,7,8,0.1935625523328781,0.126713192370195,0.2341199194213148,0.031523005454801,2.5420436572073326,0.0,0.0,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0002,81,0.99,0.3333333333333332,27,7,8,0.1977565586566925,0.126713192370195,0.2350472099654894,0.0304142272798344,2.521890044143205,0.0094094562809914,5.568334541388169e-05,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0002,81,0.999,0.6666666666666665,27,7,8,0.2011745721101761,0.126713192370195,0.2356676719159439,0.0298666324233636,2.507717991915261,0.0168228421825915,0.0001726756776512,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0002,81,0.9999,1.0,27,7,8,0.2035732716321945,0.126713192370195,0.2359469417348345,0.02990811644122,2.5006495138726907,0.0218180444207973,0.0002840990060354,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0003,122,0.9,0.0,27,7,8,0.1936855912208557,0.126713192370195,0.2329678145963534,0.0315943560563027,2.553875580918225,0.0,0.0,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0003,122,0.99,0.3333333333333332,27,7,8,0.1975439935922622,0.126713192370195,0.2338950009500779,0.0305384433595463,2.5346643903951933,0.0090161140542477,5.1269943022884987e-05,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0003,122,0.999,0.6666666666666665,27,7,8,0.2006557136774063,0.126713192370195,0.2345240650680189,0.0300418193219229,2.521270132674996,0.0161181503208354,0.0001584447804061,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0003,122,0.9999,1.0,27,7,8,0.2027909010648727,0.126713192370195,0.2348166300897849,0.0301345929037779,2.514802545641664,0.020894648565445,0.0002596221443315,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0004,162,0.9,0.0,27,7,8,0.1902933716773986,0.126713192370195,0.2364727752089945,0.0302586780162528,2.525364410480041,0.0,0.0,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0004,162,0.99,0.3333333333333332,27,7,8,0.1946676224470138,0.126713192370195,0.2371945390997401,0.0293396292254328,2.50690336329272,0.0088565179612487,4.877159770521862e-05,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0004,162,0.999,0.6666666666666665,27,7,8,0.1983045637607574,0.126713192370195,0.2375952232767831,0.0289617551025003,2.494475556714166,0.0157144096447154,0.0001498538000948,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0004,162,0.9999,1.0,27,7,8,0.2009374052286148,0.126713192370195,0.2376478873769034,0.0291553274728357,2.489181051659924,0.0202431436628103,0.0002448885123857,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0005,2,0.9,0.0,27,7,8,0.1919156163930893,0.126713192370195,0.2366091873769726,0.0303553373087197,2.522164909932457,0.0,0.0,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0005,2,0.99,0.3333333333333332,27,7,8,0.1962743401527404,0.126713192370195,0.2373416651674707,0.0294345199363306,2.50350255867048,0.0089140435447916,4.915112141801008e-05,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0005,2,0.999,0.6666666666666665,27,7,8,0.1998513787984848,0.126713192370195,0.2377481202445277,0.0290601712185889,2.491051282467894,0.015742679068353,0.000149728800493,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0005,2,0.9999,1.0,27,7,8,0.2023873180150985,0.126713192370195,0.2378038210502296,0.0292595933424308,2.4858792903663263,0.0201736921444535,0.0002421905608996,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0006,43,0.9,0.0,27,7,8,0.1912253350019455,0.126713192370195,0.2361593765375615,0.0303238836349919,2.524297549208041,0.0,0.0,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0006,43,0.99,0.3333333333333332,27,7,8,0.1957024335861206,0.126713192370195,0.2369179025138978,0.0293445735005661,2.505186154009356,0.0090936596971005,5.170296596619228e-05,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0006,43,0.999,0.6666666666666665,27,7,8,0.199444368481636,0.126713192370195,0.2373599737500646,0.0289077381603419,2.492059545177731,0.0162123448099009,0.0001601332465543,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0006,43,0.9999,1.0,27,7,8,0.2021790891885757,0.126713192370195,0.2374574180558753,0.0290439727250486,2.486048195221883,0.0209884895011782,0.0002637877233645,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0007,83,0.9,0.0,27,7,8,0.1935886889696121,0.126713192370195,0.232718519514169,0.0316928456304594,2.557443016853976,0.0,0.0,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0007,83,0.99,0.3333333333333332,27,7,8,0.1974074393510818,0.126713192370195,0.2336782131029428,0.0305975341470912,2.537969930105116,0.0090789058012887,5.248836328017531e-05,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0007,83,0.999,0.6666666666666665,27,7,8,0.2004972547292709,0.126713192370195,0.2343446680434234,0.0300602873321622,2.5242035730603787,0.0162984995404258,0.000163233554724,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0007,83,0.9999,1.0,27,7,8,0.2026295661926269,0.126713192370195,0.234677705048707,0.0301121171796694,2.5172715623623225,0.0212162295938469,0.0002692650324513,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0008,124,0.9,0.0,27,7,8,0.1968609988689422,0.126713192370195,0.2314634259162558,0.0324017668608576,2.56370768809895,0.0,0.0,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0008,124,0.99,0.3333333333333332,27,7,8,0.2003463208675384,0.126713192370195,0.2322876924350893,0.0315394926583394,2.546684313702225,0.0082298524212092,4.1514258440963165e-05,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0008,124,0.999,0.6666666666666665,27,7,8,0.203001007437706,0.126713192370195,0.2328170406650437,0.0312410118058323,2.535681206696765,0.0144078491721302,0.000124257928822,False
0,formal_recorded_probe_summary_no_checkpoint,probe-0008,124,0.9999,1.0,27,7,8,0.2046291977167129,0.126713192370195,0.2330178767021783,0.0315306964330375,2.5316390223766443,0.0182995831710286,0.0001972984475544,False
