state_id,R_req,second_distinct_gap,all_actions_tied,exact_optimal_set_size
trial00_episode05_task180,0.9999,1.7351276122006407,False,1
trial00_episode06_task020,0.9,5.6994351231851965,False,7
trial00_episode06_task020,0.99,5.6994351231851965,False,7
trial00_episode06_task020,0.999,5.6994351231851965,False,7
trial00_episode06_task020,0.9999,5.6994351231851965,False,7
trial00_episode06_task060,0.9,5.029836674232712,False,7
trial00_episode06_task060,0.99,5.029836674232712,False,7
trial00_episode06_task060,0.999,5.029836674232712,False,7
trial00_episode06_task060,0.9999,5.029836674232712,False,7
trial00_episode06_task100,0.9,5.764162676948388,False,7
trial00_episode06_task100,0.99,5.764162676948388,False,7
trial00_episode06_task100,0.999,5.764162676948388,False,7
trial00_episode06_task100,0.9999,5.764162676948388,False,7
trial00_episode06_task140,0.9,2.460110196914897,False,7
trial00_episode06_task140,0.99,2.460110196914897,False,7
trial00_episode06_task140,0.999,2.460110196914897,False,7
trial00_episode06_task140,0.9999,2.460110196914897,False,6
trial00_episode06_task180,0.9,1.153126848614555,False,7
trial00_episode06_task180,0.99,1.153126848614555,False,7
trial00_episode06_task180,0.999,1.153126848614555,False,7
trial00_episode06_task180,0.9999,1.153126848614555,False,6
trial00_episode07_task020,0.9,5.6994351231851965,False,7
trial00_episode07_task020,0.99,5.6994351231851965,False,7
trial00_episode07_task020,0.999,5.6994351231851965,False,7
trial00_episode07_task020,0.9999,5.6994351231851965,False,5
trial00_episode07_task060,0.9,0.1290365054087914,False,7
trial00_episode07_task060,0.99,0.1290365054087914,False,7
trial00_episode07_task060,0.999,0.1290365054087914,False,7
trial00_episode07_task060,0.9999,0.1290365054087914,False,5
trial00_episode07_task100,0.9,5.764162676948388,False,7
trial00_episode07_task100,0.99,5.764162676948388,False,7
trial00_episode07_task100,0.999,5.764162676948388,False,7
trial00_episode07_task100,0.9999,5.764162676948388,False,7
trial00_episode07_task140,0.9,7.4018662709662735,False,7
trial00_episode07_task140,0.99,7.4018662709662735,False,7
trial00_episode07_task140,0.999,7.4018662709662735,False,7
trial00_episode07_task140,0.9999,7.4018662709662735,False,5
trial00_episode07_task180,0.9,1.3332464048524173,False,7
trial00_episode07_task180,0.99,1.3332464048524173,False,7
trial00_episode07_task180,0.999,1.3332464048524173,False,7
trial00_episode07_task180,0.9999,1.3332464048524173,False,6
trial00_episode08_task020,0.9,5.6994351231851965,False,7
trial00_episode08_task020,0.99,5.6994351231851965,False,7
trial00_episode08_task020,0.999,5.6994351231851965,False,3
trial00_episode08_task020,0.9999,5.6994351231851965,False,1
trial00_episode08_task060,0.9,6.244627539838035,False,7
trial00_episode08_task060,0.99,6.244627539838035,False,7
trial00_episode08_task060,0.999,6.244627539838035,False,3
trial00_episode08_task060,0.9999,40.44035424071625,False,2
trial00_episode08_task100,0.9,5.764162676948388,False,7
trial00_episode08_task100,0.99,5.764162676948388,False,7
trial00_episode08_task100,0.999,5.764162676948388,False,7
trial00_episode08_task100,0.9999,5.764162676948388,False,2
trial00_episode08_task140,0.9,7.401866270965513,False,7
trial00_episode08_task140,0.99,7.401866270965513,False,7
trial00_episode08_task140,0.999,7.401866270965513,False,3
trial00_episode08_task140,0.9999,19.88659247837898,False,1
trial00_episode08_task180,0.9,6.226617561241888,False,7
trial00_episode08_task180,0.99,6.226617561241888,False,7
trial00_episode08_task180,0.999,6.226617561241888,False,3
trial00_episode08_task180,0.9999,13.90366948604916,False,1
trial00_episode09_task020,0.9,5.6994351231851965,False,7
trial00_episode09_task020,0.99,5.6994351231851965,False,7
trial00_episode09_task020,0.999,5.6994351231851965,False,5
trial00_episode09_task020,0.9999,11.748786653528036,False,2
