Trial_ID,Num_Probes,TV_Rreq_09_09999,JS_Rreq_09_09999,TV_Rho_True_Zero,JS_Rho_True_Zero,Argmax_09_09999,Argmax_09_099,Argmax_099_0999,Argmax_0999_09999
0,100,0.021706133217667185,0.000286075562716342,0.037287937272922095,0.0008150172070165262,0.0,0.0,0.0,0.0
1,100,0.0157118254792294,0.00016728207771144526,0.0440243879871559,0.0010904490595867638,0.02,0.01,0.01,0.0
2,100,0.04851807619779716,0.0014698334183496416,0.017792465430684343,0.00018527579160835798,0.0,0.0,0.0,0.0
3,100,0.018686397554411042,0.00021397871692417503,0.021057560945046086,0.00025021742971054103,0.0,0.0,0.0,0.0
4,100,0.02971016057301308,0.000586456620195245,0.02534239796368633,0.000371009889764095,0.0,0.0,0.0,0.0
5,100,0.02831789350020695,0.00046780744087360297,0.05177373652695674,0.0015291727587383372,0.0,0.0,0.0,0.0
6,100,0.013865330288535876,0.00012746663663853615,0.026868665219226342,0.00040717352841329303,0.0,0.0,0.0,0.0
7,100,0.03090215422649631,0.000627704556347799,0.03314849970192877,0.0006097332326615239,0.04,0.04,0.0,0.0
8,100,0.05067317470209669,0.0015836995591369612,0.040689560677274084,0.0009418447962072279,0.0,0.0,0.0,0.0
9,100,0.02728300054761344,0.000515973348353074,0.05383231247746147,0.0016478731762067543,0.0,0.0,0.0,0.0
