episode,transitions,first_minibatch_ratio_max_abs_error,ratio_min,ratio_max,mean_masked_entropy
1,200,0.0,0.994067907333374,1.0079176425933838,3.026638686656952
2,200,0.0,0.9956927299499512,1.0065944194793701,3.1650504171848297
3,200,0.0,0.9950171113014221,1.0060384273529053,2.8002238869667053
4,200,0.0,0.9965614676475525,1.004294514656067,2.6981016099452972
5,200,0.0,0.9981411099433899,1.0033302307128906,2.9865443408489227
6,200,0.0,0.997699499130249,1.0020666122436523,2.9424186050891876
7,200,0.0,0.997886061668396,1.001347541809082,2.5615532994270325
8,200,0.0,0.9995006322860718,1.0004421472549438,2.727852016687393
9,200,0.0,0.998314380645752,1.0017976760864258,2.722223311662674
10,200,0.0,0.9974141120910645,1.0023736953735352,2.542049914598465
11,200,0.0,0.9979267120361328,1.0025100708007812,3.0309150218963623
12,200,0.0,0.998090922832489,1.001062273979187,2.9590961635112762
13,200,0.0,0.9988291263580322,1.0007797479629517,2.910074770450592
14,200,0.0,0.9979024529457092,1.002279281616211,2.9441689550876617
15,200,0.0,0.9981768131256104,1.0016741752624512,2.8931573033332825
16,200,0.0,0.9976550340652466,1.0030416250228882,2.5605506002902985
17,200,0.0,0.9964702725410461,1.0046353340148926,3.127619683742523
18,200,0.0,0.9977021217346191,1.0032973289489746,3.0010809004306793
19,200,0.0,0.9984469413757324,1.0023423433303833,2.691615045070648
20,200,0.0,0.9989610314369202,1.001549243927002,2.7532486021518707
21,200,0.0,0.9985295534133911,1.002036213874817,2.8451761603355408
22,200,0.0,0.9985290765762329,1.001417875289917,2.876618206501007
23,200,0.0,0.9978287220001221,1.0030968189239502,2.8214347660541534
24,200,0.0,0.9964379668235779,1.0039390325546265,3.1375697255134583
25,200,0.0,0.9981546998023987,1.002570390701294,2.3907936811447144
26,200,0.0,0.9982950687408447,1.0018733739852905,2.8856455981731415
27,200,0.0,0.9974436163902283,1.0039050579071045,3.2347044348716736
28,200,0.0,0.9964486360549927,1.002709984779358,2.915306329727173
29,200,0.0,0.9981832504272461,1.001301646232605,2.8274674713611603
30,200,0.0,0.996931254863739,1.0037078857421875,2.9386306405067444
31,200,0.0,0.9980328679084778,1.0018110275268555,3.0754403471946716
32,200,0.0,0.9966341853141785,1.0030320882797241,3.1020158231258392
33,200,0.0,0.9960336685180664,1.0044755935668945,2.8628834784030914
34,200,0.0,0.9980480670928955,1.001723289489746,3.0265487730503082
35,200,0.0,0.9991182684898376,1.0014599561691284,3.1983092427253723
36,200,0.0,0.9974319338798523,1.002859115600586,3.0738897025585175
37,200,0.0,0.998823881149292,1.0012273788452148,2.5452150404453278
38,200,0.0,0.9986164569854736,1.0015480518341064,2.4482472240924835
39,200,0.0,0.998203456401825,1.0028005838394165,2.699618846178055
40,200,0.0,0.9993736147880554,1.0006093978881836,2.801127463579178
41,200,0.0,0.995566189289093,1.0056545734405518,2.938343733549118
42,200,0.0,0.9963942170143127,1.00457763671875,2.9874821603298187
43,200,0.0,0.9973018765449524,1.003111720085144,2.4386216700077057
44,200,0.0,0.9964838027954102,1.0031989812850952,3.0619519650936127
45,200,0.0,0.9967755675315857,1.0021554231643677,2.9298033714294434
46,200,0.0,0.9973223209381104,1.0027374029159546,2.2729031294584274
47,200,0.0,0.9966493844985962,1.0020716190338135,2.783888518810272
48,200,0.0,0.9973121285438538,1.0031511783599854,2.4024447798728943
49,200,0.0,0.9953725337982178,1.0031540393829346,2.6512012779712677
50,200,0.0,0.9973893761634827,1.0022646188735962,2.6470640897750854
51,200,0.0,0.9956350326538086,1.0035138130187988,2.966735601425171
52,200,0.0,0.997477650642395,1.0033551454544067,2.9997203052043915
53,200,0.0,0.9969921112060547,1.0027782917022705,3.171748161315918
54,200,0.0,0.9974794983863831,1.001775860786438,2.68569678068161
55,200,0.0,0.9960975646972656,1.0030112266540527,3.1116462349891663
56,200,0.0,0.9944007396697998,1.00336492061615,2.7147922813892365
57,200,0.0,0.9967382550239563,1.0026640892028809,2.6024762094020844
58,200,0.0,0.9985285997390747,1.0017235279083252,2.572706416249275
59,200,0.0,0.9979490637779236,1.002049446105957,3.040063202381134
60,200,0.0,0.9976369738578796,1.0021547079086304,2.870135188102722
61,200,0.0,0.997397243976593,1.0023107528686523,2.916678726673126
62,200,0.0,0.9982991218566895,1.0026676654815674,2.937161922454834
63,200,0.0,0.9962336421012878,1.0035414695739746,2.7082561552524567
64,200,0.0,0.9943184852600098,1.0040879249572754,2.958957850933075
65,200,0.0,0.9977551698684692,1.0016717910766602,2.8042509257793427
66,200,0.0,0.9975354075431824,1.0033745765686035,3.069499582052231
