episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi,top1_pair_frequency,pair_selection_entropy
1,200,61.62771409953974,2.0659026048315328,23.195,0.0,1.0,1.0,1.0,0,0,3.0480722695589066,0.04,0.04475000000000001,0.08,3.2053187174481557
2,200,62.02295522371255,2.027089680708927,24.735,0.0,1.0,1.0,1.0,0,0,3.1598137336969376,0.055,0.04440000000000001,0.075,3.207331696682406
3,200,62.88290020068605,2.007133846717486,19.335,0.0,1.0,1.0,1.0,0,0,2.7717767375707627,0.055,0.057800000000000004,0.12,3.0691571789683074
4,200,56.63952851435735,2.0539203967146302,20.99,0.09,0.91,1.0,0.91,0,18,2.731795542240143,0.165,0.05830000000000002,0.165,3.1043458249610367
5,200,60.78791730679879,2.0848055108672945,23.09,0.005,0.995,1.0,0.995,0,1,2.969546166956425,0.07,0.046500000000000014,0.1,3.1945783521603546
6,200,61.61497783428656,2.0589328090985948,22.42,0.005,0.995,1.0,0.995,0,1,2.9300041460990904,0.07,0.04305000000000001,0.075,3.231539675725773
7,200,61.47060760879156,2.108560061153506,18.955,0.0,1.0,1.0,1.0,0,0,2.6515387681126596,0.075,0.053750000000000006,0.12,3.109877008811389
8,200,62.259799513016524,2.0090505805856465,20.61,0.0,1.0,1.0,1.0,0,0,2.7874311116337775,0.115,0.05230000000000001,0.115,3.1412214553291804
9,200,61.665143528547524,2.024784754898045,19.78,0.005,0.995,1.0,0.995,0,1,2.6516674414277075,0.08,0.06345,0.175,3.0630837598212013
10,200,57.54769826316576,2.05247550233906,18.795,0.075,0.925,1.0,0.925,0,15,2.5282933849096296,0.02,0.0832,0.22,2.932186909075178
11,200,61.86420044570965,2.0642739889355983,23.32,0.0,1.0,1.0,1.0,0,0,3.0570209485292437,0.025,0.0422,0.07,3.2449478959416638
12,200,62.156836347394616,2.088973851616526,22.265,0.0,1.0,1.0,1.0,0,0,2.9669552528858185,0.09,0.04655000000000001,0.1,3.205168594956207
13,200,61.46989611213603,2.070775239383932,21.59,0.0,1.0,1.0,1.0,0,0,2.9267294242978097,0.07,0.053000000000000005,0.1,3.116943364057257
14,200,63.241527490378665,2.013035430305463,21.795,0.0,1.0,1.0,1.0,0,0,2.922395928800106,0.085,0.04765000000000001,0.1,3.191859432563061
15,200,61.32881578649611,2.0549574841019647,21.685,0.005,0.995,1.0,0.995,0,1,2.847032715380192,0.105,0.0502,0.105,3.1658265211181167
16,200,54.449186382620084,2.04584139898422,19.63,0.125,0.875,1.0,0.875,0,25,2.565814069509506,0.18,0.06380000000000001,0.18,3.074958824700507
17,200,62.204830808583736,2.0525067593371324,24.21,0.0,1.0,1.0,1.0,0,0,3.129665420651436,0.075,0.045350000000000015,0.075,3.19568935877639
18,200,61.63997146732831,2.052752539798197,23.245,0.0,1.0,1.0,1.0,0,0,3.0505199891328814,0.055,0.04180000000000002,0.06,3.240597984845549
19,200,62.01985469854927,2.0654584323124645,19.265,0.005,0.995,1.0,0.995,0,1,2.571510852277279,0.185,0.06695000000000001,0.185,3.039949130045563
20,200,61.67691400704565,2.0054903017387007,19.99,0.02,0.98,1.0,0.98,0,4,2.728163939714432,0.105,0.048750000000000016,0.105,3.157833382049759
21,200,62.26767659004827,1.994975701673894,20.9,0.005,0.995,1.0,0.995,0,1,2.816632858812809,0.115,0.05995000000000002,0.13,3.060885703723915
22,200,60.78865870808721,2.115076340497489,20.725,0.0,1.0,1.0,1.0,0,0,2.8619589412212374,0.09,0.04865000000000001,0.09,3.143941188325534
23,200,61.756723013774156,2.03341208745338,20.99,0.0,1.0,1.0,1.0,0,0,2.8644945776462554,0.07,0.047000000000000014,0.105,3.1775082845615494
24,200,61.415642054400784,2.0889579272451506,23.93,0.0,1.0,1.0,1.0,0,0,3.1190449994802476,0.05,0.04165,0.065,3.2431066566246796
