episode,episode_reward,episode_total_delay
1,12325.542819907942,413.1805209663066
2,12404.591044742509,405.4179361417854
3,12576.580040137207,401.42676934349714
4,11327.905702871472,410.7840793429261
5,12157.583461359745,416.9611021734591
6,12322.995566857313,411.786561819719
7,12294.12152175831,421.712012230701
8,12451.959902603296,401.81011611712927
9,12333.028705709501,404.956950979609
10,11509.539652633146,410.49510046781205
11,12372.840089141928,412.8547977871196
12,12431.36726947892,417.7947703233052
13,12293.979222427197,414.15504787678634
14,12648.305498075728,402.6070860610927
15,12265.763157299225,410.991496820393
16,10889.837276524013,409.16827979684405
17,12440.966161716744,410.5013518674265
18,12327.99429346566,410.55050795963933
19,12403.97093970986,413.091686462493
20,12335.382801409125,401.0980603477401
21,12453.535318009659,398.9951403347788
22,12157.731741617441,423.01526809949775
23,12351.344602754827,406.682417490676
24,12283.128410880163,417.79158544903015
25,11852.230839576257,405.4556068905961
26,12287.879764259727,417.31537571482477
27,12099.517193217142,431.0011278327835
28,12503.70979753102,408.108418783628
29,12502.915935752415,405.5070107165468
30,11859.33162634095,430.4961495132976
31,12455.824440693994,408.3412324542861
32,12162.162479883611,420.07747142089454
33,12485.483315411708,407.21439642116974
34,12413.979564217336,410.28262772053773
35,11923.165101725916,431.05691430772157
36,12287.571130099113,411.17344557387344
37,11404.999943756353,412.1812863371166
38,10460.262807355639,418.7830699781831
39,12472.37881909401,404.07215638417733
40,11242.441476035547,419.1161931430546
41,12139.439272236134,423.56011562866007
42,12247.357171085408,418.04296216400724
43,10529.107280899829,399.6493958543405
44,12220.011114405057,413.13825200595915
45,12114.021764779798,421.12450696144737
46,10191.286359890548,407.9438727280114
47,12169.28423190157,420.9086793943753
48,9856.962013797258,418.7949020584415
49,12403.127007407642,406.5122004598478
50,12114.129665412953,411.6380928073829
51,12410.448798220923,410.7444140949713
52,12180.752312969606,419.2617411242018
53,12310.590338472464,412.2171803517194
54,12230.224241131185,412.5118809766644
55,12267.157032957668,410.8136413310529
56,12416.071524247238,411.8578682079427
57,12290.8583217611,407.6645015936204
58,11174.639720983243,420.56202854816775
59,12387.869605222968,409.93296294742976
60,12288.332111989394,413.5995851579785
61,12234.257545112887,412.1771311016276
62,12355.114080112926,409.15003590833487
63,11743.795315908346,407.4310344768041
64,12520.129942370524,402.7742654866419
65,11396.860939967592,406.2951338464185
66,12070.144909301665,423.1613045344221
67,12227.029805248261,439.68620805402793
68,12610.609380246931,400.0345248784009
69,12519.814065970904,404.4124514245236
70,11802.435649709822,410.8504417339974
71,12335.540983026487,415.2501539720444
72,12419.31829223035,408.3618648064286
73,12135.578575977841,421.7881036250385
74,12151.597562970881,420.5609484323002
75,12433.172790127803,407.51850440520775
76,12582.825509171988,399.1063730863329
77,12288.776681032901,411.83296121126665
78,12213.423426451733,402.99111801604215
79,12240.387723700598,408.5065776977273
80,12299.49490287298,427.057393003418
81,12312.741754843528,415.92199244142165
82,12322.420169226685,410.56338419495756
83,12159.778061094195,420.8205931229757
84,12342.443398461464,416.475878835745
85,12495.945352631625,407.5908880721953
86,10624.534358033901,416.05326569263576
87,12207.324125241825,415.3933194583537
88,12328.672524067455,412.049769369472
89,12320.09410284205,408.0933483732826
90,12394.402765067809,413.78091790142446
91,12284.378351064235,411.5727571253528
92,12296.020891486587,408.9321041223989
93,11801.661541389474,401.75600811392366
94,11683.520038617646,407.4658058398848
95,12175.878580112416,424.62425291242323
96,12488.242900908994,410.1652556753765
97,12005.554450183987,415.4838747272258
98,12370.09697619948,408.117009200731
99,12413.29220391116,408.0014442349933
100,12031.733115844643,427.4713817255102
101,12197.058331860115,416.3703056864739
102,12081.226764206825,429.1613727893596
103,12604.252486919722,398.5619304930822
104,10504.086349904053,417.9744868991699
105,12151.91061738866,411.11832253933005
106,11527.172789223232,407.82444060152164
107,11442.262880382608,423.41972357488146
108,12427.63796855515,406.5878885079602
109,11315.077341939916,414.56763159045744
110,12412.085671712646,408.1872282770572
111,12147.20697733652,421.1586194674103
112,12415.47591494431,401.71691003871047
113,12419.423230242064,403.7736832627749
114,12293.542344933481,407.56418934888984
115,12318.534706645949,410.62670703321766
116,10080.819562409451,418.762786819
117,12274.406373251375,409.58370417413926
118,12539.693422456336,400.68773758253394
119,12092.905775370444,425.0223680549238
120,12517.399496779895,405.64932771214006
121,12162.028081887882,421.2637558383689
122,12519.546866722008,402.83428980749164
123,12192.976105071371,420.687244794627
124,12692.796829484856,401.8297867472204
125,12678.866765294437,396.19206660799836
126,9777.958755519317,432.37728202875473
127,11658.27809428357,427.9218300067879
128,12099.341900001877,414.119588306521
129,11850.741064739292,388.4253524229967
130,12400.769982430467,411.9775603793412
131,12419.928144391086,409.7997526590072
132,10613.214026396618,420.31405451190795
133,12621.241895859534,394.8456884149791
134,10239.605688412264,414.82126536764866
135,12285.14622904759,405.7610293304143
136,12255.796644600217,418.2839239626135
137,12294.405854137707,413.66257917143815
138,11281.613800053123,406.99181794050793
139,12431.851369555043,405.57468703167194
140,12330.194748150676,414.31652027101967
141,12243.465768340026,412.13971829579197
142,12100.459084237627,428.71908540232926
143,10316.3294368403,427.6499724343333
144,11904.212389194254,439.72278221317566
145,12501.803814333172,408.3048989399006
146,12381.764441743131,411.8541907675261
147,12557.604160025829,408.4885040256417
148,12030.242010085409,429.27409112514755
149,12502.572795807098,405.07315020021053
150,12563.017172549191,405.3885188082897
151,12485.967367744826,401.49966204204276
152,11581.04320701038,418.80262174233997
153,12177.601184543655,422.9308480652237
154,12473.784400440478,406.3924119010853
155,12255.373372828471,407.18964676743065
156,12442.148833341203,407.67579364147633
157,12674.60668116785,394.73893260261303
158,12531.210661733612,403.7901941058908
159,10445.17003093734,395.57166486438774
160,12693.342126804451,396.4853899635723
161,12318.73362373754,402.10567655314816
162,12373.653082754012,408.35253733723994
163,12205.815086933982,413.14685546050816
164,10733.743297357178,409.27594079826076
165,12424.55799586604,406.9266021929037
166,12372.602303160424,405.52868997085415
167,12731.844604741187,396.50453587613896
168,12062.234658237308,410.1991660198769
169,12387.599112539505,410.73674157488773
170,12247.389396602584,419.60302801198196
171,12499.570553875654,403.959756584003
172,11271.002038231876,409.8057171026335
173,12124.34800292847,413.679253180727
174,12230.895086415654,420.1938735967319
175,12168.763068733524,415.2733383174771
176,12483.958013188283,407.8436816229373
177,12424.814015892429,406.3461920312566
178,12277.952353462137,414.60235048014073
179,12487.925276877391,406.93370247259656
180,12364.990504215359,408.2040026011444
181,12010.826548287137,410.81365422342407
182,12135.65784516365,419.49813081869956
183,12675.990042844665,397.4171463104844
184,12625.950927685866,406.3209727414704
185,12405.6405750434,402.95224373621215
186,11392.92620900946,412.5834208262817
187,12620.999612522932,394.87088783895064
188,12747.476449863258,392.3005395192017
189,12431.545433098045,412.52328799226905
190,12515.734245091895,407.53148146580185
191,12224.831917681911,397.4896570967653
192,12429.315705307165,405.96354650966475
193,12168.020856663066,419.2253170430401
194,12651.71050644202,393.1128759079075
195,12536.744504511566,409.2456258831913
196,12644.203278276946,400.3097564309463
197,12506.146317018753,403.7334879225016
198,12496.980153526289,405.9733003879074
199,10491.797700467629,423.8908274836356
200,12215.805985864434,418.04186204729416
201,12244.869321179734,413.8704130835404
202,12481.593873683318,400.5665256126042
203,12342.968503298564,410.9167995088786
204,12555.10610468724,403.5609726524641
205,12387.874923091964,417.3944176834485
206,12563.029554846078,403.7175638956109
207,12526.546816171418,393.6701836084104
208,11962.902401417094,402.71505490485345
209,12362.005900945373,416.1523284082119
210,11414.923416350184,415.93452215863704
211,11899.522000688825,395.34980995604036
212,12412.639005047593,407.87668238617357
213,12718.287779956463,391.29508074443703
214,12613.547222985608,405.7734570479263
215,12664.57237478876,394.6384637662423
216,12359.258834117221,424.9871356795825
217,12518.472495848986,405.63702863420053
218,12478.850216052708,403.56736846278324
219,12379.493815330634,407.66119889754737
220,11924.842430708066,401.3652143612708
221,12557.578347835275,407.1266243538605
222,12117.51349762827,408.2009520978096
223,12573.757709630541,408.4168835227943
224,12547.75689735557,402.05677545423003
225,11967.150199526786,398.29413053489844
226,12449.751078167903,407.2713152347611
227,12489.183966435663,404.8710889405439
228,12721.542792448707,390.2819799822547
229,12482.354398562618,405.69138330071706
230,12557.03876302209,405.0314828399923
231,12450.412412411595,403.31654747409624
232,11742.76132609792,392.38319447163707
233,12610.500613435064,402.4650330882062
234,12374.409857186489,408.0695777729255
235,12554.252102432834,400.3028350210333
236,12629.132463220674,394.4933135780695
237,12880.178683119442,386.8990271285253
238,12492.8131164752,396.70970692542653
239,12682.164941959054,399.402253264707
240,12571.885681652711,405.2315769270574
241,12442.1132847541,399.3462542645364
242,12390.717782433363,405.13312007287664
243,12607.894935840599,410.10244641836977
244,12476.885670316966,406.24622555209385
245,12648.907831022218,394.06018581756933
246,12381.018624771314,418.49342277493173
247,12510.830813398134,407.02644455816915
248,10482.52438215392,428.3571574495067
249,12399.370428117314,409.0567806879675
250,12473.673650807512,408.95279456255895
251,12718.985685316313,394.90877349011254
252,11488.342387100569,402.909405152285
253,12587.54915519953,400.0908683169748
254,12869.481818574122,389.7764912549963
255,12646.087538361184,405.9905635641851
256,12503.194184373175,407.49028952183346
257,11002.674100377822,393.77735029379977
258,11319.663957355067,420.574086790127
259,12488.073722475528,389.74312623851137
260,12651.329925307711,403.02438686776475
261,12315.433523212892,402.5086687754762
262,12696.148911992463,390.14592714090713
263,11749.55772796055,403.033101246672
264,12604.29674541322,398.1441500168329
265,12440.34955277422,388.1068446360645
266,12307.390408914232,408.1413790894446
267,12491.317592861351,397.5765614525163
268,11790.891474628099,412.26691550930525
269,12670.411082246375,402.2867454918169
