episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size,action_index,selected_action,myopic_action,probability,q_h5,q_h10,q_h20,q_h50,legacy_q_h5,legacy_q_h10,legacy_q_h20,legacy_q_h50
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,0,10,5,0.008819740265607834,299.76147936227727,330.76292871966194,339.9043426631158,340.36351523973207,332.230475865144,476.56411676975125,635.9396920416684,713.0435382570345
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,1,10,5,0.009224295616149902,294.3210128143949,325.3224621717796,334.4638761152334,334.9230486918497,327.33405597204984,471.6676968766571,631.0432721485743,708.1471183639403
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,2,10,5,0.013307584449648857,312.39673317664,343.39818253402467,352.5395964774785,352.99876905409474,343.60220429807043,487.9358452026777,647.3114204745949,724.4152666899611
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,3,10,5,0.011946271173655987,289.37861471785834,320.380064075243,329.5214780186968,329.98065059531314,322.8858976851669,467.2195385897742,626.5951138616914,703.6989600770576
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,4,10,5,0.015284745953977108,311.0692693302607,342.07071868764535,351.21213263109917,351.6713052077154,342.40748683632904,486.7411277409363,646.1167030128535,723.2205492282196
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,5,10,5,0.02107071503996849,323.86757863047046,354.86902798785513,364.01044193130895,364.4696145079252,364.99657450542435,509.3302154100316,668.7057906819488,745.8096368973149
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,6,10,5,0.017948832362890244,309.81025080039643,340.8117001577811,349.953114101235,350.4122866778512,341.2743701594512,485.6080110640585,644.9835863359757,722.0874325513419
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,7,10,5,0.013798289932310581,299.76147936227727,330.76292871966194,339.9043426631158,340.36351523973207,332.230475865144,476.56411676975125,635.9396920416684,713.0435382570345
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,8,10,5,0.025107216089963913,312.39673317664,343.39818253402467,352.5395964774785,352.99876905409474,343.60220429807043,487.9358452026777,647.3114204745949,724.4152666899611
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,9,10,5,0.016073886305093765,299.76147936227727,330.76292871966194,339.9043426631158,340.36351523973207,332.230475865144,476.56411676975125,635.9396920416684,713.0435382570345
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,10,10,5,0.02687707170844078,311.0692693302607,342.07071868764535,351.21213263109917,351.6713052077154,342.40748683632904,486.7411277409363,646.1167030128535,723.2205492282196
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,11,10,5,0.03516850993037224,323.86757863047046,354.86902798785513,364.01044193130895,364.4696145079252,364.99657450542435,509.3302154100316,668.7057906819488,745.8096368973149
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,12,10,5,0.031026581302285194,309.81025080039643,340.8117001577811,349.953114101235,350.4122866778512,341.2743701594512,485.6080110640585,644.9835863359757,722.0874325513419
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,13,10,5,0.02442224510014057,312.39673317664,343.39818253402467,352.5395964774785,352.99876905409474,343.60220429807043,487.9358452026777,647.3114204745949,724.4152666899611
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,14,10,5,0.01864354871213436,294.3210128143949,325.3224621717796,334.4638761152334,334.9230486918497,327.33405597204984,471.6676968766571,631.0432721485743,708.1471183639403
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,15,10,5,0.0267647635191679,311.0692693302607,342.07071868764535,351.21213263109917,351.6713052077154,342.40748683632904,486.7411277409363,646.1167030128535,723.2205492282196
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,16,10,5,0.037738148123025894,323.86757863047046,354.86902798785513,364.01044193130895,364.4696145079252,364.99657450542435,509.3302154100316,668.7057906819488,745.8096368973149
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,17,10,5,0.03122454695403576,309.81025080039643,340.8117001577811,349.953114101235,350.4122866778512,341.2743701594512,485.6080110640585,644.9835863359757,722.0874325513419
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,18,10,5,0.031890273094177246,312.39673317664,343.39818253402467,352.5395964774785,352.99876905409474,343.60220429807043,487.9358452026777,647.3114204745949,724.4152666899611
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,19,10,5,0.05174010619521141,312.39673317664,343.39818253402467,352.5395964774785,352.99876905409474,343.60220429807043,487.9358452026777,647.3114204745949,724.4152666899611
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,20,10,5,0.07362302392721176,323.86757863047046,354.86902798785513,364.01044193130895,364.4696145079252,364.99657450542435,509.3302154100316,668.7057906819488,745.8096368973149
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,21,10,5,0.05704217031598091,312.39673317664,343.39818253402467,352.5395964774785,352.99876905409474,343.60220429807043,487.9358452026777,647.3114204745949,724.4152666899611
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,22,10,5,0.04023901745676994,311.0692693302607,342.07071868764535,351.21213263109917,351.6713052077154,342.40748683632904,486.7411277409363,646.1167030128535,723.2205492282196
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,23,10,5,0.055042117834091187,323.86757863047046,354.86902798785513,364.01044193130895,364.4696145079252,364.99657450542435,509.3302154100316,668.7057906819488,745.8096368973149
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,24,10,5,0.04557676985859871,309.81025080039643,340.8117001577811,349.953114101235,350.4122866778512,341.2743701594512,485.6080110640585,644.9835863359757,722.0874325513419
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,25,10,5,0.08753500133752823,323.86757863047046,354.86902798785513,364.01044193130895,364.4696145079252,364.99657450542435,509.3302154100316,668.7057906819488,745.8096368973149
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,26,10,5,0.08042433112859726,311.0692693302607,342.07071868764535,351.21213263109917,351.6713052077154,342.40748683632904,486.7411277409363,646.1167030128535,723.2205492282196
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28,27,10,5,0.09244013577699661,323.86757863047046,354.86902798785513,364.01044193130895,364.4696145079252,364.99657450542435,509.3302154100316,668.7057906819488,745.8096368973149
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,1,18,4,0.009872490540146828,274.9354156192427,301.95990719670067,317.9385064927144,320.55129660443595,461.3205962848573,570.4563646048174,688.2514009951275,770.7937978232421
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,3,18,4,0.012732699513435364,278.01876485028095,305.0432564277389,321.02185572375265,323.6346458354742,464.40394551589554,573.5397138358557,691.3347502261657,773.8771470542804
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,4,18,4,0.016240330412983894,292.01156928576023,319.0360608632182,335.0146601592319,337.6274502709535,478.3967499513749,587.532518271335,705.3275546616451,787.8699514897597
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,5,18,4,0.020935002714395523,273.2890853518953,300.3135769293533,316.29217622536703,318.9049663370886,459.6742660175099,568.81003433747,686.6050707277801,769.1474675558948
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,6,18,4,0.01786494255065918,273.09421879472256,300.11871037218054,316.09730966819427,318.7100997799159,459.47939946033716,568.6151677802973,686.4102041706074,768.952600998722
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,7,18,4,0.014688897877931595,274.9354156192427,301.95990719670067,317.9385064927144,320.55129660443595,461.3205962848573,570.4563646048174,688.2514009951275,770.7937978232421
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,8,18,4,0.02655685693025589,286.83347399815386,313.85796557561184,329.83656487162557,332.4493549833472,473.21865466376846,582.3544229837286,700.1494593740387,782.6918562021533
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,9,18,4,0.017035309225320816,278.01876485028095,305.0432564277389,321.02185572375265,323.6346458354742,464.40394551589554,573.5397138358557,691.3347502261657,773.8771470542804
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,10,18,4,0.028445806354284286,292.01156928576023,319.0360608632182,335.0146601592319,337.6274502709535,478.3967499513749,587.532518271335,705.3275546616451,787.8699514897597
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,11,18,4,0.034964803606271744,274.7781975276264,301.80268910508437,317.7812884010981,320.3940785128197,461.163378193241,570.2991465132011,688.0941829035112,770.6365797316258
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,12,18,4,0.03071642480790615,274.7781975276264,301.80268910508437,317.7812884010981,320.3940785128197,461.163378193241,570.2991465132011,688.0941829035112,770.6365797316258
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,13,18,4,0.025879565626382828,286.83347399815386,313.85796557561184,329.83656487162557,332.4493549833472,473.21865466376846,582.3544229837286,700.1494593740387,782.6918562021533
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26,14,18,4,0.019750142470002174,278.01876485028095,305.0432564277389,321.02185572375265,323.6346458354742,464.40394551589554,573.5397138358557,691.3347502261657,773.8771470542804
