state_mismatch,mask_mismatch,probability_mismatch,backlog_mismatch,task_mismatch,snapshot_mismatch,action_prefix_mismatch,future_arrival_mismatch,future_torch_rng_mismatch,episode,task_id,action_index,state_id
0,0,0,0,0,0,0,0,0,37,1,0,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,1,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,2,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,3,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,4,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,5,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,6,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,7,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,8,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,9,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,10,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,11,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,12,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,13,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,14,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,15,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,16,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,17,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,18,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,19,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,20,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,21,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,22,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,23,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,24,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,25,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,26,ep037_task001
0,0,0,0,0,0,0,0,0,37,1,27,ep037_task001
0,0,0,0,0,0,0,0,0,37,13,1,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,2,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,4,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,5,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,6,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,7,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,8,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,10,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,11,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,12,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,13,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,14,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,15,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,16,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,17,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,18,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,19,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,20,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,21,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,22,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,23,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,24,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,25,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,26,ep037_task013
0,0,0,0,0,0,0,0,0,37,13,27,ep037_task013
0,0,0,0,0,0,0,0,0,37,26,6,ep037_task026
0,0,0,0,0,0,0,0,0,37,26,15,ep037_task026
0,0,0,0,0,0,0,0,0,37,26,16,ep037_task026
0,0,0,0,0,0,0,0,0,37,26,17,ep037_task026
0,0,0,0,0,0,0,0,0,37,26,19,ep037_task026
0,0,0,0,0,0,0,0,0,37,26,20,ep037_task026
0,0,0,0,0,0,0,0,0,37,26,21,ep037_task026
0,0,0,0,0,0,0,0,0,37,26,25,ep037_task026
0,0,0,0,0,0,0,0,0,37,26,26,ep037_task026
0,0,0,0,0,0,0,0,0,37,26,27,ep037_task026
0,0,0,0,0,0,0,0,0,37,38,0,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,1,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,2,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,3,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,4,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,5,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,6,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,7,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,8,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,9,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,10,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,11,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,12,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,13,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,14,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,15,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,16,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,17,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,18,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,19,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,20,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,21,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,22,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,23,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,24,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,25,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,26,ep037_task038
0,0,0,0,0,0,0,0,0,37,38,27,ep037_task038
0,0,0,0,0,0,0,0,0,37,51,1,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,2,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,4,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,5,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,6,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,10,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,11,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,12,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,13,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,15,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,16,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,17,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,19,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,20,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,21,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,22,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,23,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,24,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,25,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,26,ep037_task051
0,0,0,0,0,0,0,0,0,37,51,27,ep037_task051
0,0,0,0,0,0,0,0,0,37,63,1,ep037_task063
0,0,0,0,0,0,0,0,0,37,63,2,ep037_task063
0,0,0,0,0,0,0,0,0,37,63,4,ep037_task063
0,0,0,0,0,0,0,0,0,37,63,5,ep037_task063
0,0,0,0,0,0,0,0,0,37,63,6,ep037_task063
0,0,0,0,0,0,0,0,0,37,63,7,ep037_task063
