state_mismatch,mask_mismatch,probability_mismatch,backlog_mismatch,task_mismatch,snapshot_mismatch,action_prefix_mismatch,future_arrival_mismatch,future_torch_rng_mismatch,episode,task_id,action_index,state_id
0,0,0,0,0,0,0,0,0,7,1,0,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,1,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,2,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,3,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,4,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,5,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,6,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,7,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,8,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,9,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,10,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,11,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,12,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,13,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,14,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,15,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,16,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,17,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,18,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,19,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,20,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,21,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,22,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,23,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,24,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,25,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,26,ep007_task001
0,0,0,0,0,0,0,0,0,7,1,27,ep007_task001
0,0,0,0,0,0,0,0,0,7,13,0,ep007_task013
0,0,0,0,0,0,0,0,0,7,13,1,ep007_task013
0,0,0,0,0,0,0,0,0,7,13,2,ep007_task013
0,0,0,0,0,0,0,0,0,7,13,3,ep007_task013
0,0,0,0,0,0,0,0,0,7,13,4,ep007_task013
