episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size,action_index,selected_action,myopic_action,probability,q_h5,q_h10,q_h20,q_h50,legacy_q_h5,legacy_q_h10,legacy_q_h20,legacy_q_h50
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,0,20,5,0.008819740265607834,247.0865664249146,263.0108997610245,269.11715457645056,269.7863027952208,355.57081052654087,500.0290120710527,667.9736964891454,730.0750442563449
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,1,20,5,0.009224295616149902,241.6460998770322,257.57043321314205,263.67668802856815,264.3458362473384,350.13034397865846,494.5885455231703,662.533229941263,724.6345777084625
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,2,20,5,0.013307584449648857,259.7218202392773,275.6461535753872,281.75240839081323,282.4215566095835,368.20606434090354,512.6642658854154,680.6089503035081,742.7102980707076
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,3,20,5,0.011946271173655987,236.70370178049563,252.62803511660547,258.7342899320316,259.40343815080183,337.5662329744766,482.0244345189884,649.9691189370811,712.0704667042806
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,4,20,5,0.015284745953977108,258.394356392898,274.3186897290079,280.4249445444339,281.0940927632042,366.8786004945242,511.33680203903606,679.2814864571287,741.3828342243282
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,5,20,5,0.02107071503996849,271.1926656931078,287.1169990292177,293.22325384464375,293.892402063414,379.67690979473406,524.1351113392459,692.0797957573386,754.1811435245381
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,6,20,5,0.017948832362890244,257.1353378630338,273.0596711991437,279.1659260145697,279.83507423334,365.61958196466003,510.07778350917187,678.0224679272645,740.123815694464
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,7,20,5,0.013798289932310581,247.0865664249146,263.0108997610245,269.11715457645056,269.7863027952208,355.57081052654087,500.0290120710527,667.9736964891454,730.0750442563449
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,8,20,5,0.025107216089963913,259.7218202392773,275.6461535753872,281.75240839081323,282.4215566095835,368.20606434090354,512.6642658854154,680.6089503035081,742.7102980707076
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,9,20,5,0.016073886305093765,247.0865664249146,263.0108997610245,269.11715457645056,269.7863027952208,355.57081052654087,500.0290120710527,667.9736964891454,730.0750442563449
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,10,20,5,0.02687707170844078,258.394356392898,274.3186897290079,280.4249445444339,281.0940927632042,366.8786004945242,511.33680203903606,679.2814864571287,741.3828342243282
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,11,20,5,0.03516850993037224,271.1926656931078,287.1169990292177,293.22325384464375,293.892402063414,379.67690979473406,524.1351113392459,692.0797957573386,754.1811435245381
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,12,20,5,0.031026581302285194,257.1353378630338,273.0596711991437,279.1659260145697,279.83507423334,365.61958196466003,510.07778350917187,678.0224679272645,740.123815694464
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,13,20,5,0.02442224510014057,259.7218202392773,275.6461535753872,281.75240839081323,282.4215566095835,368.20606434090354,512.6642658854154,680.6089503035081,742.7102980707076
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,14,20,5,0.01864354871213436,241.6460998770322,257.57043321314205,263.67668802856815,264.3458362473384,350.13034397865846,494.5885455231703,662.533229941263,724.6345777084625
64,1,ep064_task001,test,12600,0.0,low,0.99,16-28,28,28,15,20,5,0.0267647635191679,258.394356392898,274.3186897290079,280.4249445444339,281.0940927632042,366.8786004945242,511.33680203903606,679.2814864571287,741.3828342243282
