episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size,action_index,selected_action,myopic_action,probability,q_h5,q_h10,q_h20,q_h50,legacy_q_h5,legacy_q_h10,legacy_q_h20,legacy_q_h50
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,0,23,5,0.008819740265607834,324.6460766462092,430.62485636630817,500.2491916018708,507.4007916494589,305.9368340356413,453.43483120332536,618.6382274469231,680.0535929189829
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,1,23,5,0.009224295616149902,311.1933571689495,417.17213688904843,486.79647212461106,493.94807217219915,293.417943933399,440.91594110108304,606.1193373446808,667.5347028167406
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,2,23,5,0.013307584449648857,337.2813304605719,443.26011018067084,512.8844454162335,520.0360454638214,317.30856246856774,464.8065596362518,630.0099558798496,691.4253213519094
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,3,23,5,0.011946271173655987,314.26321200179024,420.2419917218892,489.8663269574518,497.0179270050399,296.59225585566423,444.0902530233483,609.2936492669461,670.7090147390059
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,4,23,5,0.015284745953977108,335.9538666141925,441.93264633429146,511.55698156985403,518.7085816174422,316.1138450068263,463.61184217451034,628.8152384181082,690.2306038901679
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,5,23,5,0.02107071503996849,348.75217591440224,454.7309556345012,524.3552908700638,531.5068909176518,327.6323233770151,475.13032054469915,640.3337167882969,701.7490822603567
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,6,23,5,0.017948832362890244,334.6948480843283,440.67362780442727,510.29796303998995,517.449563087578,314.98072832994853,462.4787254976326,627.6821217412304,689.0974872132902
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,7,23,5,0.013798289932310581,317.27500609081295,423.2537858109119,492.8781210464745,500.0297210940626,298.92435374910053,446.4223509167846,611.6257471603824,673.0411126324422
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,8,23,5,0.025107216089963913,337.2813304605719,443.26011018067084,512.8844454162335,520.0360454638214,317.30856246856774,464.8065596362518,630.0099558798496,691.4253213519094
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,9,23,5,0.016073886305093765,324.6460766462092,430.62485636630817,500.2491916018708,507.4007916494589,305.9368340356413,453.43483120332536,618.6382274469231,680.0535929189829
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,10,23,5,0.02687707170844078,335.9538666141925,441.93264633429146,511.55698156985403,518.7085816174422,316.1138450068263,463.61184217451034,628.8152384181082,690.2306038901679
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,11,23,5,0.03516850993037224,348.75217591440224,454.7309556345012,524.3552908700638,531.5068909176518,327.6323233770151,475.13032054469915,640.3337167882969,701.7490822603567
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,12,23,5,0.031026581302285194,334.6948480843283,440.67362780442727,510.29796303998995,517.449563087578,314.98072832994853,462.4787254976326,627.6821217412304,689.0974872132902
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,13,23,5,0.02442224510014057,329.9102599051756,435.88903962527456,505.5133748608372,512.6649749084253,310.29608218202696,457.794079349711,622.9974755933088,684.4128410653685
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,14,23,5,0.01864354871213436,311.83453954293054,417.8133192630295,487.4376544985921,494.58925454618026,294.02793385600637,441.5259310236904,606.7293272672882,668.144692739348
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,15,23,5,0.0267647635191679,328.58279605879625,434.5615757788952,504.1859110144578,511.33751106204596,309.1013647202855,456.59936188796956,621.8027581315673,683.2181236036271
247,1,ep247_task001,test,49200,0.0,low,0.99,16-28,28,28,16,23,5,0.037738148123025894,341.38110535900597,447.3598850791049,516.9842203146676,524.1358203622556,320.6198430904743,468.11784025815837,633.3212365017562,694.7366019738159
