state_mismatch,mask_mismatch,probability_mismatch,backlog_mismatch,task_mismatch,snapshot_mismatch,action_prefix_mismatch,future_arrival_mismatch,future_torch_rng_mismatch,episode,task_id,action_index,state_id
0,0,0,0,0,0,0,0,0,197,1,0,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,1,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,2,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,3,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,4,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,5,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,6,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,7,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,8,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,9,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,10,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,11,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,12,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,13,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,14,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,15,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,16,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,17,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,18,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,19,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,20,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,21,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,22,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,23,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,24,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,25,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,26,ep197_task001
0,0,0,0,0,0,0,0,0,197,1,27,ep197_task001
0,0,0,0,0,0,0,0,0,197,13,0,ep197_task013
0,0,0,0,0,0,0,0,0,197,13,1,ep197_task013
