policy,server_id,selection_count,primary_count,backup_count,utilization,mean_queue_length,p95_queue_length,mean_waiting_time,busy_time,observation_time,replica_wait_count
greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
greedy,4,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
greedy,5,0,0,0,0.0,0.0,0.0,0.0,0.0,8182.602605247395,0
greedy,6,5,5,0,0.0009345509237642178,0.00023914307670050303,0.0,0.39136255248728274,7.6470588235294485,8182.602605247395,5
greedy,7,3995,3995,0,0.718529877116852,1.2436702724320974,6.0,2.5472990266011553,5879.444444444444,8182.602605247395,3995
greedy,8,4000,0,4000,0.6474712576903667,0.8014573461071862,4.0,1.639501742062832,5298.000000000003,8182.602605247395,4000
native_sample,1,83,83,0,0.02766791705973747,0.0006618481628743476,0.0,0.06513467482744019,226.0,8168.305532796202,83
native_sample,2,196,185,11,0.059565041071486295,0.0026027240230693553,0.0,0.10846859713254595,486.5454545454545,8168.305532796202,196
native_sample,3,260,240,20,0.06903716620326088,0.004295801535826655,0.0,0.13495930558802802,563.9166666666667,8168.305532796202,260
native_sample,4,957,884,73,0.2144875694188497,0.027338761190539546,0.0,0.2333451977977829,1751.9999999999993,8168.305532796202,957
native_sample,5,727,569,158,0.15682567147576854,0.01567859446143672,0.0,0.1761589406957654,1280.9999999999995,8168.305532796202,727
native_sample,6,1728,1275,453,0.33059632182752935,0.09782459324233174,1.0,0.46241965638013666,2700.411764705882,8168.305532796202,1728
native_sample,7,2169,764,1405,0.3922478153070746,0.14489204400229502,1.0,0.5456535199087584,3204.0,8168.305532796202,2169
native_sample,8,1880,0,1880,0.30740157673074253,0.08138888752922636,1.0,0.35362196825165293,2510.9500000000003,8168.305532796202,1880
masked_sample,1,61,61,0,0.019785251642384306,0.0,0.0,0.0,161.7,8172.754277918986,61
masked_sample,2,132,128,4,0.03189088461163536,0.00023669380266865152,0.0,0.014654850669069198,260.6363636363637,8172.754277918986,132
masked_sample,3,241,228,13,0.06340171856954527,0.0027957741759095977,0.0,0.09480985625004394,518.1666666666667,8172.754277918986,241
masked_sample,4,908,854,54,0.20916187044153245,0.04039021657060466,0.0,0.3635455013915016,1709.428571428571,8172.754277918986,908
masked_sample,5,671,552,119,0.14617675095094898,0.01587498156339186,0.0,0.19335666689135006,1194.6666666666665,8172.754277918986,671
masked_sample,6,1647,1280,367,0.306614180205017,0.09821398704111169,1.0,0.48735809516801787,2505.8823529411757,8172.754277918986,1647
masked_sample,7,2256,897,1359,0.4140111149864003,0.17965258415171356,1.0,0.6508228837168074,3383.611111111112,8172.754277918986,2256
masked_sample,8,2084,0,2084,0.3417513735297557,0.13236395257629985,1.0,0.5190873606814878,2793.05,8172.754277918986,2084
masked_greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8180.3331872707595,0
masked_greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8180.3331872707595,0
masked_greedy,3,23,23,0,0.008974777064204267,0.0004957208858616494,0.0,0.17631139192336134,73.4166666666666,8180.3331872707595,23
masked_greedy,4,104,104,0,0.030430126222233057,0.0053669553576133535,0.0,0.4221488752546646,248.92857142857125,8180.3331872707595,104
masked_greedy,5,53,53,0,0.01730165875805284,0.0006604918427483607,0.0,0.10194421398407613,141.53333333333345,8180.3331872707595,53
masked_greedy,6,129,129,0,0.029252368108846606,0.003380962551475711,0.0,0.21439845088958437,239.29411764705867,8180.3331872707595,129
masked_greedy,7,3836,3691,145,0.681702740938855,1.0448535599288795,5.0,2.2281674275610555,5576.555555555557,8180.3331872707595,3836
masked_greedy,8,3855,0,3855,0.6172425846733274,0.7164422438650871,4.0,1.5202947507788078,5049.250000000002,8180.3331872707595,3855
