policy,task_count,mean_reward,total_reward,mean_latency,p50_latency,p90_latency,p95_latency,rsr,reliability_violation_rate,selected_rho_mean,selected_effective_failure_probability_mean,selected_pair_reliability_mean,safe_set_empty_rate,selected_unsafe_rate,pair_selection_entropy,pair_selection_hhi,unique_pair_count,top1_pair_frequency,pair_78_frequency
greedy,4000,43.88425173387005,175537.0069354802,3.358601887938624,2.645571880194126,6.547175857134917,8.777642250642627,0.92275,0.07725,0.1269973142635853,0.0001175940934302,0.9998824059065696,0.04325,0.07725,0.0096049830838604,0.9975031250000002,2,0.99875,0.99875
native_sample,4000,53.69004995578213,214760.19982312853,1.983684291901088,1.9556495884978415,3.084275418709268,3.508584588501542,0.845,0.155,0.2341413914260249,0.0005160102374987,0.9994839897625012,0.04325,0.155,2.5529241832030958,0.1100735,28,0.191,0.191
masked_sample,4000,60.75825011104974,243033.00044419896,2.0215850633815924,1.964890229284464,3.165623383137978,3.658669879492967,0.95675,0.04325,0.2307117996800276,0.0002900868654365,0.9997099131345636,0.04325,0.04325,2.44683434983666,0.1228555,28,0.22425,0.22425
masked_greedy,4000,48.76867317134466,195074.69268537863,3.073763719698389,2.495190478424405,5.802529116687145,8.030350432505378,0.95675,0.04325,0.135309174702371,0.0001053385918978,0.999894661408102,0.04325,0.04325,0.4021137339910178,0.8527702499999998,8,0.92275,0.92275
