episode,task_id,R_req,greedy_action_index,greedy_server_j,greedy_server_k,greedy_latency,greedy_pair_reliability,greedy_joint_failure_probability,greedy_reward,greedy_reliability_satisfied,greedy_rho,greedy_safe_set_empty,greedy_selected_action_safe,greedy_pair,native_sample_action_index,native_sample_server_j,native_sample_server_k,native_sample_latency,native_sample_pair_reliability,native_sample_joint_failure_probability,native_sample_reward,native_sample_reliability_satisfied,native_sample_rho,native_sample_safe_set_empty,native_sample_selected_action_safe,native_sample_pair,masked_sample_action_index,masked_sample_server_j,masked_sample_server_k,masked_sample_latency,masked_sample_pair_reliability,masked_sample_joint_failure_probability,masked_sample_reward,masked_sample_reliability_satisfied,masked_sample_rho,masked_sample_safe_set_empty,masked_sample_selected_action_safe,masked_sample_pair,masked_greedy_action_index,masked_greedy_server_j,masked_greedy_server_k,masked_greedy_latency,masked_greedy_pair_reliability,masked_greedy_joint_failure_probability,masked_greedy_reward,masked_greedy_reliability_satisfied,masked_greedy_rho,masked_greedy_safe_set_empty,masked_greedy_selected_action_safe,masked_greedy_pair,greedy_safe_set_size,native_sample_safe_set_size,masked_sample_safe_set_size,masked_greedy_safe_set_size
1,1,0.99,27,7,8,1.7744056897590703,0.9999655781911736,3.442180882647914e-05,61.13289440733028,True,0.126713192370195,False,True,"(7, 8)",27,7,8,0.9162255049233814,0.9999655781911736,3.442180882647914e-05,96.64876515899124,True,0.126713192370195,False,True,"(7, 8)",27,7,8,0.9162255049233814,0.9999655781911736,3.442180882647914e-05,96.64876515899124,True,0.126713192370195,False,True,"(7, 8)",27,7,8,1.7744056897590703,0.9999655781911736,3.442180882647914e-05,61.13289440733028,True,0.126713192370195,False,True,"(7, 8)",28,28,28,28
1,2,0.99,27,7,8,1.3358726264455616,0.9996344365663062,0.0003655634336937,75.4213905748194,True,0.126713192370195,False,True,"(7, 8)",20,4,7,1.3893013536451149,0.999615747620865,0.0003842523791349,73.35816602014219,True,0.3447276787973151,False,True,"(4, 7)",20,4,7,1.3893013536451149,0.999615747620865,0.0003842523791349,73.35816602014219,True,0.3447276787973151,False,True,"(4, 7)",27,7,8,1.3358726264455616,0.9996344365663062,0.0003655634336937,75.4213905748194,True,0.126713192370195,False,True,"(7, 8)",24,24,24,24
1,3,0.9999,27,7,8,1.366988272639706,0.9999655781911736,3.442180882647914e-05,74.20659203423939,True,0.126713192370195,False,True,"(7, 8)",27,7,8,0.724851581100725,0.9999655781911736,3.442180882647914e-05,111.03418055812182,True,0.126713192370195,False,True,"(7, 8)",27,7,8,0.724851581100725,0.9999655781911736,3.442180882647914e-05,111.03418055812182,True,0.126713192370195,False,True,"(7, 8)",27,7,8,1.366988272639706,0.9999655781911736,3.442180882647914e-05,74.20659203423939,True,0.126713192370195,False,True,"(7, 8)",7,7,7,7
1,4,0.9,27,7,8,3.370285941711724,0.9988044378600976,0.0011955621399023,34.66007621930228,True,0.126713192370195,False,True,"(7, 8)",22,5,6,2.9339518853625224,0.9945713947321908,0.0054286052678091,39.67506767951967,True,0.1915213163295505,False,True,"(5, 6)",22,5,6,2.9339518853625224,0.9945713947321908,0.0054286052678091,39.67506767951967,True,0.1915213163295505,False,True,"(5, 6)",27,7,8,3.370285941711724,0.9988044378600976,0.0011955621399023,34.66007621930228,True,0.126713192370195,False,True,"(7, 8)",28,28,28,28
1,5,0.999,27,7,8,3.2395270324638608,0.999974684492588,2.531550741212496e-05,36.05108848320615,True,0.126713192370195,False,True,"(7, 8)",27,7,8,0.7256304846475952,0.999974684492588,2.531550741212496e-05,110.96626908380344,True,0.126713192370195,False,True,"(7, 8)",27,7,8,0.7256304846475952,0.999974684492588,2.531550741212496e-05,110.96626908380344,True,0.126713192370195,False,True,"(7, 8)",27,7,8,3.2395270324638608,0.999974684492588,2.531550741212496e-05,36.05108848320615,True,0.126713192370195,False,True,"(7, 8)",25,25,25,25
1,6,0.99,27,7,8,4.0117610048853285,0.9987481057691108,0.0012518942308892,28.918337214171697,True,0.126713192370195,False,True,"(7, 8)",27,7,8,2.455585407982817,0.9987481057691108,0.0012518942308892,46.68936913983368,True,0.126713192370195,False,True,"(7, 8)",27,7,8,2.455585407982817,0.9987481057691108,0.0012518942308892,46.68936913983368,True,0.126713192370195,False,True,"(7, 8)",27,7,8,4.0117610048853285,0.9987481057691108,0.0012518942308892,28.918337214171697,True,0.126713192370195,False,True,"(7, 8)",16,16,16,16
1,7,0.9,27,7,8,6.415908463486909,0.9993413191831944,0.0006586808168055,16.509564651997728,True,0.126713192370195,False,True,"(7, 8)",26,6,8,3.759732866584399,0.9991904463680108,0.000809553631989,30.983584646869247,True,0.3540107070824934,False,True,"(6, 8)",26,6,8,3.759732866584399,0.9991904463680108,0.000809553631989,30.983584646869247,True,0.3540107070824934,False,True,"(6, 8)",27,7,8,5.31590846348691,0.9993413191831944,0.0006586808168055,20.952099326728924,True,0.126713192370195,False,True,"(7, 8)",28,28,28,28
1,8,0.9999,27,7,8,4.814229275334668,0.9996651908419274,0.0003348091580726,-19.69066111390069,False,0.126713192370195,True,False,"(7, 8)",19,4,6,1.7633821685962756,0.9995672512937972,0.0004327487062026,-11.652504287095182,False,0.203391793976239,True,False,"(4, 6)",25,6,7,2.122012866044291,0.999888049591642,0.0001119504083578,-6.856295418929617,False,0.3499394055117266,True,False,"(6, 7)",25,6,7,1.5409151291315857,0.999888049591642,0.0001119504083578,-5.113002208191499,False,0.3499394055117266,True,False,"(6, 7)",0,0,0,0
1,9,0.9,27,7,8,5.917087295198041,0.9996023648478416,0.0003976351521583,18.33681531440157,True,0.126713192370195,False,True,"(7, 8)",0,1,2,2.533532648120657,0.9679215246087794,0.0320784753912205,45.411236650358845,True,0.0210093691473638,False,True,"(1, 2)",19,4,6,2.0073811028711117,0.9994861417039038,0.0005138582960961,55.403074536469695,True,0.203391793976239,False,True,"(4, 6)",27,7,8,4.817087295198041,0.9996023648478416,0.0003976351521583,23.55855207168621,True,0.126713192370195,False,True,"(7, 8)",28,28,28,28
1,10,0.999,27,7,8,8.237701133171475,0.999915347869864,8.465213013597616e-05,11.643072342681457,True,0.126713192370195,False,True,"(7, 8)",21,4,8,1.0442085171879985,0.9996704893371154,0.0003295106628846,89.01008348075905,True,0.098982176155866,False,True,"(4, 8)",25,6,7,4.453735817520279,0.9999718625393156,2.8137460684546092e-05,25.77288797658416,True,0.3499394055117266,False,True,"(6, 7)",27,7,8,5.137701133171476,0.999915347869864,8.465213013597616e-05,21.832082267639564,True,0.126713192370195,False,True,"(7, 8)",16,16,16,16
