trial_id,policy,server_id,selection_count,primary_count,backup_count,utilization,mean_queue_length,p95_queue_length,mean_waiting_time,busy_time,observation_time,replica_wait_count
0,Masked PPO greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8178.834064230826,0
0,Masked PPO greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8178.834064230826,0
0,Masked PPO greedy,3,23,23,0,0.0089764220780252,0.0004958117480304,0.0,0.1763113919233613,73.4166666666666,8178.834064230826,23
0,Masked PPO greedy,4,104,104,0,0.0304357038513877,0.0053679390829668,0.0,0.4221488752546646,248.92857142857125,8178.834064230826,104
0,Masked PPO greedy,5,53,53,0,0.017304830031008,0.0006606129062803,0.0,0.1019442139840761,141.53333333333345,8178.834064230826,53
0,Masked PPO greedy,6,233,233,0,0.0470151868524145,0.0057808102337228,0.0,0.202919689521143,384.5294117647056,8178.834064230826,233
0,Masked PPO greedy,7,3780,3587,193,0.672073517399906,0.9760474721156958,5.0,2.1118863262556182,5496.777777777779,8178.834064230826,3780
0,Masked PPO greedy,8,3807,0,3807,0.6110406398702256,0.6882934394147606,4.0,1.4787070734100454,4997.600000000001,8178.834064230826,3807
1,Masked PPO greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7945.976766904334,0
1,Masked PPO greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,7945.976766904334,0
1,Masked PPO greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,7945.976766904334,0
1,Masked PPO greedy,4,930,930,0,0.2171269517766116,0.0353491588359024,0.0,0.3020253707953673,1725.2857142857135,7945.976766904334,930
1,Masked PPO greedy,5,0,0,0,0.0,0.0,0.0,0.0,0.0,7945.976766904334,0
1,Masked PPO greedy,6,108,108,0,0.026672765688586,0.0015768919985312,0.0,0.1160180294837637,211.941176470588,7945.976766904334,108
1,Masked PPO greedy,7,3516,2962,554,0.649112561569038,0.4750600602824369,2.0,1.0736109789216195,5157.833333333335,7945.976766904334,3516
1,Masked PPO greedy,8,3446,0,3446,0.574643009153789,0.2636771646838181,2.0,0.6080013420025613,4566.100000000001,7945.976766904334,3446
2,Masked PPO greedy,1,29,29,0,0.0128414970505076,0.0010975717115731,0.0,0.3076945114827769,104.4,8129.893235140592,29
2,Masked PPO greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8129.893235140592,0
2,Masked PPO greedy,3,31,31,0,0.0083744437182828,0.0003838540357336,0.0,0.1006674944642749,68.0833333333333,8129.893235140592,31
2,Masked PPO greedy,4,622,622,0,0.1379037614290968,0.0125126836224751,0.0,0.1635478809257484,1121.1428571428562,8129.893235140592,622
2,Masked PPO greedy,5,65,36,29,0.0184258262276441,0.0015146807480855,0.0,0.1894491194962816,149.80000000000007,8129.893235140592,65
2,Masked PPO greedy,6,120,120,0,0.0285366601122392,0.0022377484821336,0.0,0.1516054687237054,231.99999999999997,8129.893235140592,120
2,Masked PPO greedy,7,3213,3162,51,0.5779562026611249,0.2408557845088089,1.0,0.6094403402186884,4698.722222222224,8129.893235140592,3213
2,Masked PPO greedy,8,3920,0,3920,0.6371239880015996,0.6790027361211805,3.0,1.4082193242432492,5179.750000000001,8129.893235140592,3920
3,Masked PPO greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8105.042951741116,0
3,Masked PPO greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8105.042951741116,0
3,Masked PPO greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8105.042951741116,0
3,Masked PPO greedy,4,101,101,0,0.0268703960709954,0.0029948662730145,0.0,0.2403318789851886,217.785714285714,8105.042951741116,101
3,Masked PPO greedy,5,52,39,13,0.0150852583255467,0.0013899560656423,0.0,0.2166471848666223,122.26666666666684,8105.042951741116,52
3,Masked PPO greedy,6,155,155,0,0.0396993214962829,0.0031615077018933,0.0,0.1653171336522987,321.7647058823527,8105.042951741116,155
