trial_id,comparison,ppo_mean_reward,baseline_mean_reward,delta_mean_reward,ppo_win_mean_reward,ppo_mean_latency,baseline_mean_latency,delta_mean_latency,ppo_win_mean_latency,ppo_p95_latency,baseline_p95_latency,delta_p95_latency,ppo_win_p95_latency,ppo_overall_rsr,baseline_overall_rsr,delta_overall_rsr,ppo_win_overall_rsr,ppo_highest_rsr,baseline_highest_rsr,delta_highest_rsr,ppo_win_highest_rsr,ppo_pair_selection_hhi,baseline_pair_selection_hhi,delta_pair_selection_hhi,ppo_win_pair_selection_hhi,ppo_maximum_mean_queue_length,baseline_maximum_mean_queue_length,delta_maximum_mean_queue_length,ppo_win_maximum_mean_queue_length
0,Masked PPO stochastic vs Safe Min-Latency,60.55369681812354,64.67208297229865,-4.118386154175113,False,2.0214231522299118,1.85199155616718,0.16943159606273173,False,3.684334382344083,3.165309902168332,0.5190244801757506,False,0.95675,0.95675,0.0,False,0.827,0.827,0.0,False,0.067177625,0.081664875,-0.014487249999999993,True,0.0992695746722853,0.091311879765735,0.007957694906550294,False
1,Masked PPO stochastic vs Safe Min-Latency,61.77776491377688,65.80624468290765,-4.028479769130769,False,1.9947217306645169,1.843264976811387,0.15145675385312996,False,3.5824872743383978,3.143342361201661,0.43914491313673665,False,0.97425,0.97425,0.0,False,0.897,0.897,0.0,False,0.0554265,0.079294375,-0.023867875000000004,True,0.1097602417139122,0.0826671062152911,0.027093135498621107,False
2,Masked PPO stochastic vs Safe Min-Latency,60.59948446595163,64.78873655817024,-4.189252092218609,False,2.004543715790942,1.8468500138066184,0.15769370198432364,False,3.511721600659995,3.125597087487993,0.38612451317200236,False,0.9575,0.9575,0.0,False,0.83,0.83,0.0,False,0.05409525,0.081038625,-0.026943375000000006,True,0.08555490981709,0.0814288306392054,0.004126079177884601,False
3,Masked PPO stochastic vs Safe Min-Latency,60.82596312725253,65.26720987866372,-4.441246751411192,False,2.024229400940285,1.8492765122675612,0.17495288867272385,False,3.622861964037744,3.143342361201661,0.4795196028360831,False,0.9655,0.9655,0.0,False,0.862,0.862,0.0,False,0.050383375,0.079184375,-0.028801,True,0.0804486735567736,0.0828063398942639,-0.002357666337490308,True
4,Masked PPO stochastic vs Safe Min-Latency,61.89701687390434,66.14770884605954,-4.250691972155202,False,2.0186603089588715,1.847830030218144,0.17083027874072743,False,3.595003047634219,3.158664461681491,0.4363385859527278,False,0.983,0.983,0.0,False,0.932,0.932,0.0,False,0.061419375,0.077373625,-0.015954250000000003,True,0.0953023800845271,0.0762851957451155,0.019017184339411602,False
5,Masked PPO stochastic vs Safe Min-Latency,61.41212309869239,65.66543115660157,-4.25330805790918,False,2.000493183586977,1.8388378225697013,0.1616553610172755,False,3.573257693271728,3.1160517252147613,0.45720596805696667,False,0.9715,0.9715,0.0,False,0.886,0.886,0.0,False,0.052747875,0.0836555,-0.030907624999999994,True,0.0679435635549536,0.0886403523441422,-0.02069678878918861,True
6,Masked PPO stochastic vs Safe Min-Latency,61.27887790795619,65.91380235176057,-4.634924443804373,False,2.0185708145064973,1.83529402563474,0.18327678887175725,False,3.591429896579541,3.088660221014635,0.502769675564906,False,0.97525,0.97525,0.0,False,0.901,0.901,0.0,False,0.04917075,0.080683375,-0.031512625,True,0.0683998278677293,0.0732389490035144,-0.004839121135785093,True
7,Masked PPO stochastic vs Safe Min-Latency,62.54022229614039,66.3722341126399,-3.8320118164995094,False,2.00216210579365,1.8511387113236324,0.15102339447001767,False,3.5943579689825014,3.165309902168333,0.4290480668141683,False,0.9875,0.9875,0.0,False,0.95,0.95,0.0,False,0.0571855,0.0768985,-0.019712999999999994,True,0.0798664143553824,0.0793513332198254,0.0005150811355569967,False
8,Masked PPO stochastic vs Safe Min-Latency,61.10400267624844,65.09336829256384,-3.9893656163153963,False,2.006335342784879,1.8479938677510928,0.15834147503378637,False,3.657479395725673,3.143342361201661,0.5141370345240119,False,0.96625,0.96625,0.0,False,0.872,0.872,0.0,False,0.05719575,0.080299,-0.02310325,True,0.0836819503009754,0.0807257426252435,0.0029562076757319034,False
9,Masked PPO stochastic vs Safe Min-Latency,62.30216503836733,66.68277288285104,-4.380607844483713,False,2.0159210399026364,1.8388027157924456,0.1771183241101908,False,3.593144656350185,3.117388160801207,0.4757564955489779,False,0.98975,0.98975,0.0,False,0.959,0.959,0.0,False,0.050288125,0.078456875,-0.028168749999999992,True,0.0736590680280506,0.0763937981495129,-0.002734730121462303,True
