state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,choice,action_index,horizon,effective_horizon,delta_total_queue_length,delta_maximum_server_queue_length,delta_total_backlog_seconds,delta_maximum_server_backlog_seconds,delta_mean_waiting_time_seconds,delta_mean_future_task_latency_seconds,delta_mean_future_task_reward,delta_mean_server_utilization
trial_000_ep1_task002,0,2,0.99,low,24,PPO high probability,27,20,20,0.0,0.0,0.0,0.0,0.1254188840599591,0.0181299026665255,-0.2449693944978648,-0.0049433635572379
trial_000_ep1_task002,0,2,0.99,low,24,PPO high probability,27,50,50,0.0,0.0,0.0,0.0,0.051643069907042,0.0072519610666099,-0.0979877577991459,-0.0013443828802877
trial_000_ep1_task002,0,2,0.99,low,24,PPO sampled,4,1,1,0.0,-1.0,-0.0148039680747604,0.0,0.0,0.1763879441212221,-6.428070603989013,0.040691851907286
trial_000_ep1_task002,0,2,0.99,low,24,PPO sampled,4,5,5,0.0,0.0,-0.3796950166319188,0.0,-0.0795333711039858,0.035225194755083,-1.5199983560093957,0.0258264005956025
trial_000_ep1_task002,0,2,0.99,low,24,PPO sampled,4,10,10,0.0,0.0,0.0,0.0,-0.073033023771186,0.0176125973775413,-0.7599991780046835,0.005025888417079
trial_000_ep1_task002,0,2,0.99,low,24,PPO sampled,4,20,20,0.0,0.0,0.0,0.0,-0.0260832227754237,0.0088062986887704,-0.3799995890023453,0.0009814030591575
trial_000_ep1_task002,0,2,0.99,low,24,PPO sampled,4,50,50,0.0,0.0,0.0,0.0,-0.0107401505545862,0.0035225194755081,-0.1519998356009324,0.00026689954241
trial_000_ep1_task009,0,9,0.9,high,28,Safe Min-Latency,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_000_ep1_task009,0,9,0.9,high,28,Safe Min-Latency,6,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_000_ep1_task009,0,9,0.9,high,28,Safe Min-Latency,6,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_000_ep1_task009,0,9,0.9,high,28,Safe Min-Latency,6,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_000_ep1_task009,0,9,0.9,high,28,Safe Min-Latency,6,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_000_ep1_task009,0,9,0.9,high,28,Next-best immediate,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_000_ep1_task009,0,9,0.9,high,28,Next-best immediate,12,5,5,0.0,0.0,-1.7679719088374375,0.0,-0.1461459755319223,0.0,0.0,0.0769700421081512
trial_000_ep1_task009,0,9,0.9,high,28,Next-best immediate,12,10,10,0.0,0.0,0.0,0.0,-0.0657656889893649,0.0,0.0,-0.0017403795239169
trial_000_ep1_task009,0,9,0.9,high,28,Next-best immediate,12,20,20,0.0,0.0,0.0,0.0,-0.0313169947568405,0.0,0.0,-0.0006256108680987
trial_000_ep1_task009,0,9,0.9,high,28,Next-best immediate,12,50,50,0.0,0.0,0.0,0.0,-0.0128952331351696,0.0,0.0,-0.0002609654353927
trial_000_ep1_task009,0,9,0.9,high,28,PPO high probability,27,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
