horizon,stratification,group,n,myopic_oracle_agreement_rate,mean_optimal_set_size,mean_safe_set_size,safe_set_empty_rate,ppo_sampled_mean_advantage,ppo_sampled_positive_advantage_rate,ppo_high_probability_mean_advantage,ppo_high_probability_positive_advantage_rate,mean,median,p75,p90,p95,max,p_le_1e_3,p_le_0_01,p_le_0_1,p_le_1
1,requirement,0.9,258,0.9806201550387597,18.697674418604652,27.976744186046513,0.0,-4.039275329337852,0.011627906976744186,-0.25556770478788315,0.011627906976744186,0.835299962039658,0.0,0.0,0.0,0.0,67.81980041599613,0.9806201550387597,0.9806201550387597,0.9806201550387597,0.9806201550387597
1,requirement,0.99,255,0.996078431372549,17.41176470588235,26.615686274509805,0.0,-3.791193081212136,0.0,-1.2275143500751355,0.0,0.1630340365620792,0.0,0.0,0.0,0.0,41.5736793233302,0.996078431372549,0.996078431372549,0.996078431372549,0.996078431372549
1,requirement,0.999,245,0.9836734693877551,13.151020408163266,19.836734693877553,0.0,-3.649716590357243,0.00816326530612245,-1.8975658302647214,0.004081632653061225,0.35474918657336396,0.0,0.0,0.0,0.0,47.85269667935917,0.9836734693877551,0.9836734693877551,0.9836734693877551,0.9836734693877551
1,requirement,0.9999,242,0.9834710743801653,5.553719008264463,7.958677685950414,0.17768595041322313,-3.767789016537228,0.012396694214876033,0.11622723441197116,0.01652892561983471,0.5841737019176008,0.0,0.0,0.0,0.0,87.54067959183521,0.9834710743801653,0.9834710743801653,0.9834710743801653,0.9834710743801653
5,requirement,0.9,258,0.7596899224806202,6.089147286821706,27.976744186046513,0.0,-5.656295364468979,0.1511627906976744,-3.7021804058809145,0.06201550387596899,4.1527140104477995,0.0,0.0,14.894329522160426,23.20875462289462,99.71605021249984,0.7596899224806202,0.7596899224806202,0.7635658914728682,0.7674418604651163
5,requirement,0.99,255,0.8235294117647058,6.2,26.615686274509805,0.0,-6.636218344565953,0.10588235294117647,-3.3352069461749783,0.058823529411764705,2.41678985082866,0.0,0.0,7.0093103904952105,16.332249227367672,77.9845929262163,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8274509803921568
5,requirement,0.999,245,0.7877551020408163,5.16734693877551,19.836734693877553,0.0,-5.3584189318794175,0.09387755102040816,-4.273542754119657,0.07346938775510205,3.250437415673708,0.0,0.0,13.734051945482701,22.310797297443344,52.23988655654776,0.7877551020408163,0.7877551020408163,0.7877551020408163,0.7918367346938775
5,requirement,0.9999,242,0.8181818181818182,2.731404958677686,7.958677685950414,0.17768595041322313,-4.354392951895244,0.09090909090909091,-2.6406735799343903,0.09090909090909091,2.230035815543502,0.0,0.0,8.189316038318351,15.511909094669926,40.586452147078816,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
10,requirement,0.9,258,0.751937984496124,5.891472868217054,27.976744186046513,0.0,-5.615270035332498,0.15503875968992248,-3.7561959022184475,0.06201550387596899,3.9779093691371497,0.0,0.0,14.894329522160444,22.533932388002032,80.01921493117521,0.751937984496124,0.751937984496124,0.7558139534883721,0.7596899224806202
10,requirement,0.99,255,0.8,5.858823529411764,26.615686274509805,0.0,-6.3477568306432035,0.11764705882352941,-3.708811701741071,0.058823529411764705,2.6779477205602005,0.0,0.0,9.346391997034356,18.136119773142052,57.620941495887905,0.8,0.8,0.8,0.807843137254902
10,requirement,0.999,245,0.7877551020408163,5.1020408163265305,19.836734693877553,0.0,-5.781845501438277,0.09387755102040816,-4.625971776539378,0.06938775510204082,3.272244986031127,0.0,0.0,14.14177142592059,22.216243159832906,52.23988655654773,0.7877551020408163,0.7877551020408163,0.7877551020408163,0.7918367346938775
10,requirement,0.9999,242,0.7975206611570248,2.690082644628099,7.958677685950414,0.17768595041322313,-4.1924049099283955,0.10743801652892562,-2.4514356686718193,0.10743801652892562,2.1625013505190105,0.0,0.0,8.189316038318402,15.51190909466982,32.19708851371922,0.7975206611570248,0.7975206611570248,0.7975206611570248,0.7975206611570248
20,requirement,0.9,258,0.751937984496124,5.875968992248062,27.976744186046513,0.0,-5.618663457853843,0.15503875968992248,-3.7429974267226567,0.06201550387596899,4.01698261560379,0.0,0.0,14.894329522160426,23.16284685594147,80.01921493117516,0.751937984496124,0.751937984496124,0.7558139534883721,0.7596899224806202
20,requirement,0.99,255,0.8,5.858823529411764,26.615686274509805,0.0,-6.3477568306432,0.11764705882352941,-3.710770861079453,0.058823529411764705,2.677947720560203,0.0,0.0,9.346391997034356,18.136119773142052,57.62094149588796,0.8,0.8,0.8,0.807843137254902
20,requirement,0.999,245,0.7877551020408163,5.1020408163265305,19.836734693877553,0.0,-5.773237801504385,0.09387755102040816,-4.643458938871675,0.06938775510204082,3.2757180695347006,0.0,0.0,14.141771425920636,22.216243159832985,52.23988655654773,0.7877551020408163,0.7877551020408163,0.7877551020408163,0.7918367346938775
20,requirement,0.9999,242,0.7975206611570248,2.690082644628099,7.958677685950414,0.17768595041322313,-4.219880740289864,0.10743801652892562,-2.4789114990332877,0.10743801652892562,2.2016870107273276,0.0,0.0,8.189316038318452,15.511909094669981,41.68001828413196,0.7975206611570248,0.7975206611570248,0.7975206611570248,0.7975206611570248
50,requirement,0.9,258,0.751937984496124,5.875968992248062,27.976744186046513,0.0,-5.618663457853838,0.15503875968992248,-3.7429974267226567,0.06201550387596899,4.016982615603789,0.0,0.0,14.894329522160426,23.16284685594146,80.01921493117533,0.751937984496124,0.751937984496124,0.7558139534883721,0.7596899224806202
50,requirement,0.99,255,0.8,5.858823529411764,26.615686274509805,0.0,-6.347756830643202,0.11764705882352941,-3.710770861079454,0.058823529411764705,2.6779477205602027,0.0,0.0,9.346391997034356,18.13611977314209,57.62094149588802,0.8,0.8,0.8,0.807843137254902
50,requirement,0.999,245,0.7877551020408163,5.1020408163265305,19.836734693877553,0.0,-5.7732378015043855,0.09387755102040816,-4.643458938871677,0.06938775510204082,3.275718069534699,0.0,0.0,14.141771425920568,22.216243159832985,52.239886556547845,0.7877551020408163,0.7877551020408163,0.7877551020408163,0.7918367346938775
50,requirement,0.9999,242,0.7975206611570248,2.690082644628099,7.958677685950414,0.17768595041322313,-4.219880740289864,0.10743801652892562,-2.478911499033287,0.10743801652892562,2.2016870107273276,0.0,0.0,8.189316038318351,15.511909094669885,41.68001828413196,0.7975206611570248,0.7975206611570248,0.7975206611570248,0.7975206611570248
