horizon,n_states,mean_q_return_oracle_improvement_over_myopic,p95_q_return_oracle_improvement_over_myopic,mean_task_reward_delta_for_q_oracle_action_set,mean_task_latency_delta_for_q_oracle_action_set_seconds
1,1000,0.4853646561040955,0.0,-2.8784457547826676,0.14347255259306477
5,1000,3.0237074608584265,20.033736165553698,0.5990848571149597,-0.02839060546323202
10,1000,3.0342026343834623,19.720411848486677,0.3512106774511266,-0.017944859541175397
20,1000,3.0546173672006445,19.9812386595755,0.19455151516525496,-0.010243459679521706
50,1000,3.0546173672006436,19.9812386595755,0.10493360920580669,-0.005750754699778377
