horizon,stratification,group,n,myopic_oracle_agreement_rate,mean_optimal_set_size,mean_safe_set_size,safe_set_empty_rate,ppo_sampled_mean_advantage,ppo_sampled_positive_advantage_rate,ppo_high_probability_mean_advantage,ppo_high_probability_positive_advantage_rate,mean,median,p75,p90,p95,max,p_le_1e_3,p_le_0_01,p_le_0_1,p_le_1
1,safe_set_size,1-5,78,0.9871794871794872,2.1794871794871793,2.641025641025641,0.0,-1.508348268493251,0.01282051282051282,0.23275107904579675,0.01282051282051282,0.45892014588028257,0.0,0.0,0.0,0.0,35.79577137866204,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872
1,safe_set_size,16-28,723,0.9889349930843707,17.153526970954356,26.25311203319502,0.0,-4.454972487557979,0.006915629322268326,-1.1676392800521458,0.004149377593360996,0.4579119656365205,0.0,0.0,0.0,0.0,67.81980041599613,0.9889349930843707,0.9889349930843707,0.9889349930843707,0.9889349930843707
1,safe_set_size,6-15,156,0.967948717948718,7.788461538461538,10.282051282051283,0.0,-3.0530545119929595,0.01282051282051282,0.06614968282394976,0.02564102564102564,0.7596059844245457,0.0,0.0,0.0,0.0,87.54067959183521,0.967948717948718,0.967948717948718,0.967948717948718,0.967948717948718
1,safe_set_size,empty,43,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5,safe_set_size,1-5,78,0.8333333333333334,1.3846153846153846,2.641025641025641,0.0,-2.3621812839659855,0.05128205128205128,-1.4245973352568728,0.08974358974358974,1.8816739414211803,0.0,0.0,7.67079035915242,11.20713697117969,25.756417055051656,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
5,safe_set_size,16-28,723,0.7994467496542186,6.114799446749654,26.25311203319502,0.0,-6.228870752998147,0.11756569847856155,-3.766553394594958,0.058091286307053944,3.2604210477624616,0.0,0.0,11.964734878425775,22.003442155033312,99.71605021249984,0.7994467496542186,0.7994467496542186,0.8008298755186722,0.8049792531120332
5,safe_set_size,6-15,156,0.7115384615384616,3.25,10.282051282051283,0.0,-5.323153333329577,0.14102564102564102,-4.213875645212456,0.14102564102564102,3.3311056147135547,0.0,4.292322394307391,12.855825799856468,16.10836946821231,40.586452147078816,0.7115384615384616,0.7115384615384616,0.7115384615384616,0.7115384615384616
5,safe_set_size,empty,43,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10,safe_set_size,1-5,78,0.8205128205128205,1.358974358974359,2.641025641025641,0.0,-2.2295151259651034,0.0641025641025641,-1.5206053013170175,0.10256410256410256,2.0839329246926277,0.0,0.0,8.808645891291908,15.232960101255356,28.01411500896603,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.8205128205128205
10,safe_set_size,16-28,723,0.7883817427385892,5.907330567081605,26.25311203319502,0.0,-6.17265368508503,0.12309820193637622,-3.946580258313621,0.058091286307053944,3.2796465676613624,0.0,0.0,12.422093908795722,21.629224277165864,80.01921493117521,0.7883817427385892,0.7883817427385892,0.7897648686030428,0.7952973720608575
10,safe_set_size,6-15,156,0.6858974358974359,3.173076923076923,10.282051282051283,0.0,-5.52436540284036,0.16025641025641027,-4.2914827148947765,0.15384615384615385,3.208149986142771,0.0,4.292322394307419,12.85582579985649,16.10836946821228,32.19708851371922,0.6858974358974359,0.6858974358974359,0.6858974358974359,0.6858974358974359
10,safe_set_size,empty,43,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
20,safe_set_size,1-5,78,0.8205128205128205,1.358974358974359,2.641025641025641,0.0,-2.229515125965107,0.0641025641025641,-1.5206053013170158,0.10256410256410256,2.0839329246926233,0.0,0.0,8.808645891291908,15.232960101255347,28.014115008965973,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.8205128205128205
20,safe_set_size,16-28,723,0.7883817427385892,5.90179806362379,26.25311203319502,0.0,-6.173864615943268,0.12309820193637622,-3.9425614186917324,0.058091286307053944,3.2935897178527784,0.0,0.0,12.422093908795755,21.857524117223154,80.01921493117516,0.7883817427385892,0.7883817427385892,0.7897648686030428,0.7952973720608575
20,safe_set_size,6-15,156,0.6858974358974359,3.173076923076923,10.282051282051283,0.0,-5.55346966222287,0.16025641025641027,-4.36156929001585,0.15384615384615385,3.274392519660647,0.0,4.292322394307433,12.85582579985649,16.14745222084275,41.68001828413196,0.6858974358974359,0.6858974358974359,0.6858974358974359,0.6858974358974359
20,safe_set_size,empty,43,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
50,safe_set_size,1-5,78,0.8205128205128205,1.358974358974359,2.641025641025641,0.0,-2.2295151259651047,0.0641025641025641,-1.5206053013170158,0.10256410256410256,2.083932924692625,0.0,0.0,8.80864589129189,15.23296010125555,28.014115008965973,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.8205128205128205
50,safe_set_size,16-28,723,0.7883817427385892,5.90179806362379,26.25311203319502,0.0,-6.173864615943268,0.12309820193637622,-3.9425614186917324,0.058091286307053944,3.293589717852778,0.0,0.0,12.422093908795768,21.857524117223154,80.01921493117533,0.7883817427385892,0.7883817427385892,0.7897648686030428,0.7952973720608575
50,safe_set_size,6-15,156,0.6858974358974359,3.173076923076923,10.282051282051283,0.0,-5.553469662222869,0.16025641025641027,-4.36156929001585,0.15384615384615385,3.274392519660645,0.0,4.292322394307519,12.855825799856461,16.14745222084275,41.68001828413196,0.6858974358974359,0.6858974358974359,0.6858974358974359,0.6858974358974359
50,safe_set_size,empty,43,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
