Beta_p,Task_ID,Primary_Server,Best_Backup,Second_Backup,Third_Backup,Best_Marginal,Second_Marginal,Third_Marginal,Marginal_Gap_1_2,Marginal_Gap_Ratio_1_2,Best_Rho,Second_Rho,Third_Rho,Best_Distance_km,Second_Distance_km,Third_Distance_km,Best_Joint_Risk,Second_Joint_Risk,Third_Joint_Risk,Best_Amplification,Second_Amplification,Third_Amplification,Joint_Risk_Gap_1_2,Joint_Risk_Ratio_1_2,Required_Amplification_Ratio_For_Reversal,Observed_Amplification_Ratio,Reversal_Margin,Near_Tie_5pct,Near_Tie_10pct
0.0,1,1,7,8,5,0.0002383017201788,0.0003147313539756,0.0069261643016968,7.642963379679996e-05,1.3207263201434472,0.1381715084459112,0.0253963508325299,0.3518939894755551,0.989629775327275,1.836574891644758,0.5222126575031668,1.043781984293508e-06,1.3785503391479004e-06,3.0337194011620928e-05,1.0,1.0,1.0,3.347683548543923e-07,1.320726320143361,1.3207263201434472,1.0,0.7571591364147173,False,False
0.0,1,2,7,8,1,0.0002383017201788,0.0003147313539756,0.004380085815202,7.642963379679996e-05,1.3207263201434472,0.1518135268103064,0.1712773597674974,0.0210093691473638,0.9425511542841536,0.8822355247676016,1.9313933954397549,2.8248517675025814e-06,3.7308560798441536e-06,5.1921963247271286e-05,1.0,1.0,1.0,9.060043123415722e-07,1.320726320143361,1.3207263201434472,1.0,0.7571591364147173,False,False
0.0,1,3,7,8,1,0.0002383017201788,0.0003147313539756,0.004380085815202,7.642963379679996e-05,1.3207263201434472,0.2198676965397751,0.0280289848630594,0.1830678766361335,0.7573646464477674,1.78725806527452,0.848949142165538,1.8431271466553405e-06,2.4342665339584404e-06,3.3877451932032786e-05,1.0,1.0,1.0,5.911393873030999e-07,1.3207263201433608,1.3207263201434472,1.0,0.7571591364147173,False,False
0.0,1,4,7,8,1,0.0002383017201788,0.0003147313539756,0.004380085815202,7.642963379679996e-05,1.3207263201434472,0.3447276787973151,0.098982176155866,0.0561603031188028,0.5325002552302455,1.1564077419430592,1.4397725609322831,1.8146715308656448e-06,2.3966844532291026e-06,3.335442574913426e-05,1.0,1.0,1.0,5.820129223634578e-07,1.320726320143361,1.3207263201434472,1.0,0.7571591364147173,False,False
0.0,1,5,7,8,1,0.0002383017201788,0.0003147313539756,0.004380085815202,7.642963379679996e-05,1.3207263201434472,0.3245189745730765,0.0721700390814354,0.3518939894755551,0.5627056356434252,1.314365145189487,0.5222126575031668,1.6505168673355182e-06,2.179881068530587e-06,3.0337194011620928e-05,1.0,1.0,1.0,5.293642011950687e-07,1.320726320143361,1.3207263201434472,1.0,0.7571591364147173,False,False
0.0,1,6,7,8,1,0.0002383017201788,0.0003147313539756,0.004380085815202,7.642963379679996e-05,1.3207263201434472,0.3499394055117266,0.3540107070824934,0.0679947897999913,0.5249976332981291,0.5192140601550097,1.3441620986649505,3.295035291355959e-06,4.351839835095063e-06,6.056413411295556e-05,1.0,1.0,1.0,1.0568045437391039e-06,1.320726320143361,1.3207263201434472,1.0,0.7571591364147173,False,False
0.0,1,7,8,1,5,0.0003147313539756,0.004380085815202,0.0069261643016968,0.0040653544612264,13.916903288706257,0.126713192370195,0.1381715084459112,0.3245189745730765,1.0329145370926014,0.989629775327275,0.5627056356434252,7.500102304659842e-08,1.043781984293508e-06,1.6505168673355182e-06,1.0,1.0,1.0,9.687809612469097e-07,13.916903288705841,13.916903288706257,1.0,0.07185506568918336,False,False
0.0,1,8,7,1,5,0.0002383017201788,0.004380085815202,0.0069261643016968,0.0041417840950232,18.38042046828525,0.126713192370195,0.0253963508325299,0.0721700390814354,1.0329145370926014,1.836574891644758,1.314365145189487,7.500102304659842e-08,1.3785503391479004e-06,2.179881068530587e-06,1.0,1.0,1.0,1.303549316101302e-06,18.380420468283504,18.38042046828525,1.0,0.054405719484244865,False,False
0.0,2,1,7,8,5,0.0002392847524547,0.0003160296207412,0.0069546396487619,7.674486828649997e-05,1.3207261118780598,0.1381715084459112,0.0253963508325299,0.3518939894755551,0.989629775327275,1.836574891644758,0.5222126575031668,1.0524022723239156e-06,1.3899351612578917e-06,3.058731697053847e-05,1.0,1.0,1.0,3.3753288893397603e-07,1.3207261118779567,1.3207261118780598,1.0,0.7571592558111914,False,False
0.0,2,2,7,8,1,0.0002392847524547,0.0003160296207412,0.0043981167271525,7.674486828649997e-05,1.3207261118780598,0.1518135268103064,0.1712773597674974,0.0210093691473638,0.9425511542841536,0.8822355247676016,1.9313933954397549,2.848137235702835e-06,3.761609217404637e-06,5.234951198964588e-05,1.0,1.0,1.0,9.134719817018021e-07,1.3207261118779567,1.3207261118780598,1.0,0.7571592558111914,False,False
0.0,2,3,7,8,1,0.0002392847524547,0.0003160296207412,0.0043981167271525,7.674486828649997e-05,1.3207261118780598,0.2198676965397751,0.0280289848630594,0.1830678766361335,0.7573646464477674,1.78725806527452,0.848949142165538,1.8583360802181276e-06,2.4543529857890097e-06,3.415670624739536e-05,1.0,1.0,1.0,5.960169055708821e-07,1.3207261118779563,1.3207261118780598,1.0,0.7571592558111914,False,False
0.0,2,4,7,8,1,0.0002392847524547,0.0003160296207412,0.0043981167271525,7.674486828649997e-05,1.3207261118780598,0.3447276787973151,0.098982176155866,0.0561603031188028,0.5325002552302455,1.1564077419430592,1.4397725609322831,1.8296461102028297e-06,2.416461393240811e-06,3.362937704763938e-05,1.0,1.0,1.0,5.868152830379815e-07,1.320726111877957,1.3207261118780598,1.0,0.7571592558111914,False,False
0.0,2,5,7,8,1,0.0002392847524547,0.0003160296207412,0.0043981167271525,7.674486828649997e-05,1.3207261118780598,0.3245189745730765,0.0721700390814354,0.3518939894755551,0.5627056356434252,1.314365145189487,0.5222126575031668,1.664139226766174e-06,2.197872130590478e-06,3.058731697053847e-05,1.0,1.0,1.0,5.337329038243042e-07,1.3207261118779567,1.3207261118780598,1.0,0.7571592558111914,False,False
0.0,2,6,7,8,1,0.0002392847524547,0.0003160296207412,0.0043981167271525,7.674486828649997e-05,1.3207261118780598,0.3499394055117266,0.3540107070824934,0.0679947897999913,0.5249976332981291,0.5192140601550097,1.3441620986649505,3.322182879812029e-06,4.387693677801654e-06,6.106259569181158e-05,1.0,1.0,1.0,1.0655107979896253e-06,1.3207261118779567,1.3207261118780598,1.0,0.7571592558111914,False,False
0.0,2,7,8,1,5,0.0003160296207412,0.0043981167271525,0.0069546396487619,0.0040820871064113,13.9167863975452,0.126713192370195,0.1381715084459112,0.3245189745730765,1.0329145370926014,0.989629775327275,0.5627056356434252,7.562106956745299e-08,1.0524022723239156e-06,1.664139226766174e-06,1.0,1.0,1.0,9.767812027564626e-07,13.916786397542113,13.9167863975452,1.0,0.07185566922090514,False,False
0.0,2,8,7,1,5,0.0002392847524547,0.0043981167271525,0.0069546396487619,0.0041588319746978,18.380263188667342,0.126713192370195,0.0253963508325299,0.0721700390814354,1.0329145370926014,1.836574891644758,1.314365145189487,7.562106956745299e-08,1.3899351612578917e-06,2.197872130590478e-06,1.0,1.0,1.0,1.3143140916904386e-06,18.380263188661832,18.380263188667342,1.0,0.054406185033115666,False,False
0.0,3,1,7,8,5,0.0001514155161276,0.000199981244588,0.0044062275133498,4.85657284604e-05,1.3207447275051585,0.1381715084459112,0.0253963508325299,0.3518939894755551,0.989629775327275,1.836574891644758,0.5222126575031668,4.2172048732524817e-07,5.569851101155852e-07,1.2272166431271038e-05,1.0,1.0,1.0,1.35264622790337e-07,1.320744727504821,1.3207447275051585,1.0,0.7571485838061726,False,False
0.0,3,2,7,8,1,0.0001514155161276,0.000199981244588,0.0027851867372007,4.85657284604e-05,1.3207447275051585,0.1518135268103064,0.1712773597674974,0.0210093691473638,0.9425511542841536,0.8822355247676016,1.9313933954397549,1.1428937862391314e-06,1.5094709422733546e-06,2.1022763696013776e-05,1.0,1.0,1.0,3.6657715603422325e-07,1.320744727504821,1.3207447275051585,1.0,0.7571485838061726,False,False
0.0,3,3,7,8,1,0.0001514155161276,0.000199981244588,0.0027851867372007,4.85657284604e-05,1.3207447275051585,0.2198676965397751,0.0280289848630594,0.1830678766361335,0.7573646464477674,1.78725806527452,0.848949142165538,7.45138441023195e-07,9.841376672425468e-07,1.3706321230421944e-05,1.0,1.0,1.0,2.389992262193518e-07,1.320744727504821,1.3207447275051585,1.0,0.7571485838061726,False,False
0.0,3,4,7,8,1,0.0001514155161276,0.000199981244588,0.0027851867372007,4.85657284604e-05,1.3207447275051585,0.3447276787973151,0.098982176155866,0.0561603031188028,0.5325002552302455,1.1564077419430592,1.4397725609322831,7.33618359038069e-07,9.689225797002682e-07,1.349441705853126e-05,1.0,1.0,1.0,2.353042206621992e-07,1.3207447275048207,1.3207447275051585,1.0,0.7571485838061726,False,False
0.0,3,5,7,8,1,0.0001514155161276,0.000199981244588,0.0027851867372007,4.85657284604e-05,1.3207447275051585,0.3245189745730765,0.0721700390814354,0.3518939894755551,0.5627056356434252,1.314365145189487,0.5222126575031668,6.671712131098929e-07,8.811628620578862e-07,1.2272166431271038e-05,1.0,1.0,1.0,2.1399164894799331e-07,1.3207447275048207,1.3207447275051585,1.0,0.7571485838061726,False,False
0.0,3,6,7,8,1,0.0001514155161276,0.000199981244588,0.0027851867372007,4.85657284604e-05,1.3207447275051585,0.3499394055117266,0.3540107070824934,0.0679947897999913,0.5249976332981291,0.5192140601550097,1.3441620986649505,1.3336073440984434e-06,1.7613548682797264e-06,2.4530811520558937e-05,1.0,1.0,1.0,4.27747524181283e-07,1.3207447275048207,1.3207447275051585,1.0,0.7571485838061726,False,False
0.0,3,7,8,1,5,0.000199981244588,0.0027851867372007,0.0044062275133498,0.0025852054926127,13.927239741600381,0.126713192370195,0.1381715084459112,0.3245189745730765,1.0329145370926014,0.989629775327275,0.5627056356434252,3.0280263365159965e-08,4.2172048732524817e-07,6.671712131098929e-07,1.0,1.0,1.0,3.914402239600882e-07,13.927239741595963,13.927239741600381,1.0,0.0718017366365153,False,False
0.0,3,8,7,1,5,0.0001514155161276,0.0027851867372007,0.0044062275133498,0.0026337712210731,18.39432845741901,0.126713192370195,0.0253963508325299,0.0721700390814354,1.0329145370926014,1.836574891644758,1.314365145189487,3.0280263365159965e-08,5.569851101155852e-07,8.811628620578862e-07,1.0,1.0,1.0,5.267048467504252e-07,18.394328457408474,18.39432845741901,1.0,0.05436458320916133,False,False
0.0,4,1,7,8,5,0.0002023392378061,0.0002672362985817,0.0058839022725847,6.48970607756e-05,1.320733939097815,0.1381715084459112,0.0253963508325299,0.3518939894755551,0.989629775327275,1.836574891644758,0.5222126575031668,7.527514814786805e-07,9.941844292951765e-07,2.188955637367801e-05,1.0,1.0,1.0,2.4143294781649594e-07,1.3207339390979782,1.320733939097815,1.0,0.757154768569886,False,False
0.0,4,2,7,8,1,0.0002023392378061,0.0002672362985817,0.0037202447218862,6.48970607756e-05,1.320733939097815,0.1518135268103064,0.1712773597674974,0.0210093691473638,0.9425511542841536,0.8822355247676016,1.9313933954397549,2.038373754719398e-06,2.6921493984244853e-06,3.747789743822593e-05,1.0,1.0,1.0,6.537756437050874e-07,1.3207339390979778,1.320733939097815,1.0,0.757154768569886,False,False
0.0,4,3,7,8,1,0.0002023392378061,0.0002672362985817,0.0037202447218862,6.48970607756e-05,1.320733939097815,0.2198676965397751,0.0280289848630594,0.1830678766361335,0.7573646464477674,1.78725806527452,0.848949142165538,1.3295586928419575e-06,1.755993289659117e-06,2.4445499365886445e-05,1.0,1.0,1.0,4.2643459681715935e-07,1.3207339390979778,1.320733939097815,1.0,0.757154768569886,False,False
0.0,4,4,7,8,1,0.0002023392378061,0.0002672362985817,0.0037202447218862,6.48970607756e-05,1.320733939097815,0.3447276787973151,0.098982176155866,0.0561603031188028,0.5325002552302455,1.1564077419430592,1.4397725609322831,1.3090200834491877e-06,1.7288672511722092e-06,2.4067872890582866e-05,1.0,1.0,1.0,4.198471677230215e-07,1.3207339390979778,1.320733939097815,1.0,0.757154768569886,False,False
0.0,4,5,7,8,1,0.0002023392378061,0.0002672362985817,0.0037202447218862,6.48970607756e-05,1.320733939097815,0.3245189745730765,0.0721700390814354,0.3518939894755551,0.5627056356434252,1.314365145189487,0.5222126575031668,1.1905443011604572e-06,1.5723922645422998e-06,2.188955637367801e-05,1.0,1.0,1.0,3.818479633818426e-07,1.3207339390979778,1.320733939097815,1.0,0.757154768569886,False,False
0.0,4,6,7,8,1,0.0002023392378061,0.0002672362985817,0.0037202447218862,6.48970607756e-05,1.320733939097815,0.3499394055117266,0.3540107070824934,0.0679947897999913,0.5249976332981291,0.5192140601550097,1.3441620986649505,2.378008868572947e-06,3.140717020200273e-06,4.372248822240022e-05,1.0,1.0,1.0,7.627081516273261e-07,1.3207339390979775,1.320733939097815,1.0,0.757154768569886,False,False
0.0,4,7,8,1,5,0.0002672362985817,0.0037202447218862,0.0058839022725847,0.0034530084233045,13.92118039963362,0.126713192370195,0.1381715084459112,0.3245189745730765,1.0329145370926014,0.989629775327275,0.5627056356434252,5.407238896915821e-08,7.527514814786805e-07,1.1905443011604572e-06,1.0,1.0,1.0,6.986790925095223e-07,13.921180399631217,13.92118039963362,1.0,0.07183298910675119,False,False
0.0,4,8,7,1,5,0.0002023392378061,0.0037202447218862,0.0058839022725847,0.0035179054840800998,18.386175426099406,0.126713192370195,0.0253963508325299,0.0721700390814354,1.0329145370926014,1.836574891644758,1.314365145189487,5.407238896915821e-08,9.941844292951765e-07,1.5723922645422998e-06,1.0,1.0,1.0,9.401120403260183e-07,18.386175426098504,18.386175426099406,1.0,0.054388690242805335,False,False
0.0,5,1,7,8,5,0.0005314921104064,0.0007019226031474,0.015384105411073,0.00017043049274099997,1.320664200660819,0.1381715084459112,0.0253963508325299,0.3518939894755551,0.989629775327275,1.836574891644758,0.5222126575031668,5.178942367645251e-06,6.839643782234407e-06,0.0001499051326289,1.0,1.0,1.0,1.6607014145891566e-06,1.3206642006607694,1.320664200660819,1.0,0.7571947505653832,False,False
0.0,5,2,7,8,1,0.0005314921104064,0.0007019226031474,0.0097441566229166,0.00017043049274099997,1.320664200660819,0.1518135268103064,0.1712773597674974,0.0210093691473638,0.9425511542841536,0.8822355247676016,1.9313933954397549,1.3951539146867383e-05,1.8425298295385043e-05,0.0002557817508784,1.0,1.0,1.0,4.47375914851766e-06,1.3206642006607692,1.320664200660819,1.0,0.7571947505653832,False,False
0.0,5,3,7,8,1,0.0005314921104064,0.0007019226031474,0.0097441566229166,0.00017043049274099997,1.320664200660819,0.2198676965397751,0.0280289848630594,0.1830678766361335,0.7573646464477674,1.78725806527452,0.848949142165538,9.126151402987748e-06,1.2052581447735971e-05,0.0001673150868921,1.0,1.0,1.0,2.9264300447482238e-06,1.3206642006607692,1.320664200660819,1.0,0.7571947505653832,False,False
0.0,5,4,7,8,1,0.0005314921104064,0.0007019226031474,0.0097441566229166,0.00017043049274099997,1.320664200660819,0.3447276787973151,0.098982176155866,0.0561603031188028,0.5325002552302455,1.1564077419430592,1.4397725609322831,8.985917428216358e-06,1.186737945753903e-05,0.0001647440951741,1.0,1.0,1.0,2.8814620293226718e-06,1.320664200660769,1.320664200660819,1.0,0.7571947505653832,False,False
0.0,5,5,7,8,1,0.0005314921104064,0.0007019226031474,0.0097441566229166,0.00017043049274099997,1.320664200660819,0.3245189745730765,0.0721700390814354,0.3518939894755551,0.5627056356434252,1.314365145189487,0.5222126575031668,8.176530651646996e-06,1.0798451317235658e-05,0.0001499051326289,1.0,1.0,1.0,2.621920665588662e-06,1.3206642006607692,1.320664200660819,1.0,0.7571947505653832,False,False
0.0,5,6,7,8,1,0.0005314921104064,0.0007019226031474,0.0097441566229166,0.00017043049274099997,1.320664200660819,0.3499394055117266,0.3540107070824934,0.0679947897999913,0.5249976332981291,0.5192140601550097,1.3441620986649505,1.6253845150201825e-05,2.146587141295521e-05,0.000297991277325,1.0,1.0,1.0,5.212026262753386e-06,1.320664200660769,1.320664200660819,1.0,0.7571947505653832,False,False
