task_load_quartile,task_count,sample_count,C_i_min,C_i_max,joint_failure_mean,joint_failure_p50,joint_failure_p90,joint_failure_p99,joint_success_mean,joint_success_p50,joint_success_p10,joint_success_p01
0-25%,50,700000,8.567289588645963,40.30209447778905,2.3565549845087388e-05,3.2614989884365876e-06,5.758972871608145e-05,0.00030221398828700216,0.9999764344501544,0.9999967385010116,0.9999424102712839,0.999697786011713
25-50%,50,700000,40.37192940527918,51.41579418547523,5.1089599368126865e-05,8.869837096420617e-06,0.00012739033709284665,0.0006105780791854517,0.9999489104006316,0.9999911301629036,0.9998726096629071,0.9993894219208145
50-75%,50,700000,51.49323544861909,60.56783139759938,7.539934407357007e-05,1.3219731056889775e-05,0.000188187871981891,0.0008901079699733746,0.9999246006559266,0.999986780268943,0.9998118121280181,0.9991098920300266
75-100%,50,700000,60.93974912167573,98.94416185326097,0.00013228978146544293,2.2484180636816665e-05,0.0003279902661180691,0.0015999263776734695,0.9998677102185347,0.9999775158193632,0.9996720097338819,0.9984000736223265
