failure_rate_scale,joint_failure_mean,joint_failure_max,joint_success_mean,joint_success_min,joint_success_max,joint_failure_p01,joint_failure_p05,joint_failure_p10,joint_failure_p25,joint_failure_p50,joint_failure_p75,joint_failure_p90,joint_failure_p95,joint_failure_p99,joint_success_p01,joint_success_p05,joint_success_p10,joint_success_p25,joint_success_p50,joint_success_p75,joint_success_p90,joint_success_p95,joint_success_p99
1.0,7.058606868805678e-05,0.014781261035390937,0.9999294139313117,0.9852187389646091,0.9999999999890887,1.6803747081567147e-08,1.1779996423355357e-07,3.1182132634323706e-07,1.389720523214906e-06,9.296615236517589e-06,5.274061713698424e-05,0.00016827193376221672,0.000313412866508173,0.0009304819462280496,0.999069518053772,0.9996865871334919,0.9998317280662378,0.9999472593828631,0.9999907033847635,0.9999986102794768,0.9999996881786737,0.9999998822000358,0.9999999831962529
3.0,0.0006021128903162562,0.10323522923540047,0.9993978871096834,0.8967647707645995,0.9999999999017997,1.5116545622294294e-07,1.058025840920328e-06,2.797021189128551e-06,1.2418224324917644e-05,8.256599788117056e-05,0.0004658282852377716,0.0014676220815249444,0.0027029274283260317,0.007782057843891367,0.9922179421561086,0.997297072571674,0.998532377918475,0.9995341717147622,0.9999174340021189,0.9999875817756751,0.9999972029788109,0.9999989419741591,0.9999998488345437
5.0,0.0015887143931407309,0.22526677121204075,0.9984112856068597,0.7747332287879592,0.9999999997272233,4.1966117170231763e-07,2.9338587487310854e-06,7.743381145504423e-06,3.425004209158113e-05,0.0002264169729352552,0.0012699451517519354,0.0039511868864419075,0.007197563949984449,0.02010869921588628,0.9798913007841136,0.9928024360500155,0.9960488131135581,0.9987300548482481,0.9997735830270648,0.9999657499579084,0.9999922566188545,0.9999970661412513,0.9999995803388283
10.0,0.005635528255772801,0.5190167844810145,0.9943644717442277,0.4809832155189855,0.9999999989089121,1.6767139402280009e-06,1.1681376797353578e-05,3.071527909819619e-05,0.00013451297950100606,0.0008765860005960352,0.0048501901753151815,0.014631927622032736,0.025951905000180294,0.06769408380289112,0.9323059161971083,0.9740480949998197,0.9853680723779672,0.9951498098246848,0.999123413999404,0.999865487020499,0.9999692847209017,0.9999883186232027,0.9999983232860598
15.0,0.011359606391804498,0.7208799645837005,0.9886403936081952,0.2791200354162995,0.9999999975450946,3.76730375961101e-06,2.6162214010674587e-05,6.85201579876129e-05,0.00029728120694931233,0.001910391272600551,0.010431250328371989,0.030542743692356534,0.05282505188768027,0.12925748242175283,0.8707425175782468,0.9471749481123196,0.9694572563076435,0.9895687496716281,0.9980896087273994,0.9997027187930507,0.9999314798420124,0.9999738377859894,0.9999962326962404
