failure_rate_scale,R_0.9,R_0.99,R_0.999,R_0.9999
1.0,1.0,0.9999914285714285,0.9912021428571428,0.8404210714285715
3.0,0.9999996428571428,0.9937896428571429,0.8569878571428572,0.5248885714285715
5.0,0.9998685714285714,0.9680896428571428,0.7133432142857142,0.3935875
10.0,0.9958096428571429,0.8550192857142858,0.5171071428571429,0.2129842857142857
15.0,0.9829264285714285,0.7432889285714286,0.4151460714285714,0.12992428571428571
