Beta_p,Independent_Baseline_Type,Mean_Joint_Failure_Spatial,Mean_Joint_Failure_Independent,Mean_Joint_Failure_Amplification,Mean_Excess_Joint_Failure,Mean_Binary_Failure_Correlation,Max_Binary_Failure_Correlation,Mean_Absolute_Marginal_Difference,Max_Absolute_Marginal_Difference,Nearest_Pair,Nearest_Pair_Rho,Nearest_Pair_Amplification,Farthest_Pair,Farthest_Pair_Rho,Farthest_Pair_Amplification
0.0,matched_marginal_product,6.424934460792584e-05,6.424934460792584e-05,1.0,0.0,0.0,0.0,0.0,0.0,6-8,0.3540107070824934,1.0,1-2,0.021009369147363816,1.0
0.2,matched_marginal_product,6.466391209407765e-05,6.428570044760961e-05,1.0065462837352372,3.782116464680273e-07,3.752324910098309e-05,0.00025366093844170944,0.0,0.0,6-8,0.3540107070824934,1.0142669564583866,1-2,0.021009369147363816,1.0007734607925216
0.5,matched_marginal_product,6.654575684461596e-05,6.4160584962394e-05,1.041607547056585,2.3851718822219615e-06,0.00023756464625508095,0.0016184237760681307,0.0,0.0,6-8,0.3540107070824934,1.0925610593806008,1-2,0.021009369147363816,1.0049006704618466
0.8,matched_marginal_product,6.989932012505783e-05,6.36898041854278e-05,1.1103851121588342,6.209515939630025e-06,0.0006243982518641865,0.004312056389312293,0.0,0.0,6-8,0.3540107070824934,1.254796676598129,1-2,0.021009369147363816,1.012557152732458
