Gamma,CPU_Heterogeneity_Scenario,Beta_p,CPU_Mean,CPU_Std,CPU_CV,Case_Count,Selection_Change_Count,Selection_Change_Rate,Mean_Independent_Actual_Joint_Risk,Mean_Correlation_Aware_Actual_Joint_Risk,Mean_Absolute_Risk_Reduction,Mean_Relative_Risk_Reduction,Median_Relative_Risk_Reduction,Max_Relative_Risk_Reduction,Fraction_Positive_Risk_Reduction,Mean_Independent_Selected_Rho,Mean_Correlation_Aware_Selected_Rho,Mean_Independent_Selected_Distance,Mean_Correlation_Aware_Selected_Distance,Mean_Marginal_Ratio,Median_Marginal_Ratio,Min_Marginal_Ratio,Mean_Observed_Amplification_Ratio,Max_Observed_Amplification_Ratio,Mean_Reversal_Margin,Max_Reversal_Margin,Reversal_Count,Reversal_Rate
0.0,C0,0.0,21.2975,0.0,0.0,1600,0,0.0,2.372680615521491e-05,2.372680615521491e-05,0.0,0.0,0.0,0.0,0.0,0.10808794457545648,0.10808794457545648,1.355510989639685,1.355510989639685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0
0.0,C0,0.2,21.2975,0.0,0.0,1600,600,0.375,2.3854053139804818e-05,2.379915485192046e-05,5.489828788435466e-08,0.0022869133836073124,0.0,0.01194284608075857,0.375,0.10808794457545648,0.04971601883966024,1.355510989639685,1.5984217385164297,1.0,1.0,1.0,0.9986098574417127,1.0120872016698488,0.9986098574417127,1.0120872016698488,600,0.375
0.0,C0,0.5,21.2975,0.0,0.0,1600,600,0.375,2.4408642280838687e-05,2.4050229972258144e-05,3.584123085805484e-07,0.014047185602313848,0.0,0.07277192761864272,0.375,0.10808794457545648,0.04971601883966024,1.355510989639685,1.5984217385164297,1.0,1.0,1.0,0.9923258624959618,1.0784833093240433,0.9923258624959618,1.0784833093240433,600,0.375
0.0,C0,0.8,21.2975,0.0,0.0,1600,600,0.375,2.5430667446150976e-05,2.4442970211372014e-05,9.876972347789635e-07,0.03466453277600056,0.0,0.17751656666980298,0.375,0.10808794457545648,0.04971601883966024,1.355510989639685,1.5984217385164297,1.0,1.0,1.0,0.9845654477661584,1.2158299601866103,0.9845654477661584,1.2158299601866103,600,0.375
0.3333333333333333,C1,0.0,21.2975,5.375868599067917,0.2524178236444614,1600,0,0.0,1.6349687021747145e-05,1.6349687021747145e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,1.2912829544299822,1.19548430958723,1.1951114000482634,1.0,1.0,0.7869974494447851,0.8367420810809904,0,0.0
0.3333333333333333,C1,0.2,21.2975,5.375868599067917,0.2524178236444614,1600,0,0.0,1.6445678620571818e-05,1.6445678620571818e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,1.292238745391291,1.1959319151943077,1.1955430999186563,0.9966759863431837,1.0042523490160613,0.7836728715855652,0.836989268763645,0,0.0
0.3333333333333333,C1,0.5,21.2975,5.375868599067917,0.2524178236444614,1600,0,0.0,1.6896193891443627e-05,1.6896193891443627e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,1.2932988021061922,1.1961544394577561,1.1956795612621887,0.9799895672740695,1.0268228242088973,0.768898296252413,0.8392343672238013,0,0.0
0.3333333333333333,C1,0.8,21.2975,5.375868599067917,0.2524178236444614,1600,0,0.0,1.7742526681948495e-05,1.7742526681948495e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,1.2937637943418572,1.1955588935462016,1.1949015350513275,0.952508577017399,1.0700332227925515,0.745148955077431,0.8473535923338511,0,0.0
0.6666666666666666,C2,0.0,21.2975,10.751737198135832,0.5048356472889227,1600,0,0.0,1.363667944871116e-05,1.363667944871116e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,1.5644497413574465,1.3185102362364371,1.318015401237541,1.0,1.0,0.6795200917744627,0.7587164755897824,0,0.0
0.6666666666666666,C2,0.2,21.2975,10.751737198135832,0.5048356472889227,1600,0,0.0,1.371685194035238e-05,1.371685194035238e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,1.5657110809013937,1.3190012358458378,1.3184854788918705,0.9966779893036116,1.0042529881446352,0.6765030834511262,0.7589443810847367,0,0.0
