Gamma,CPU_Heterogeneity_Scenario,Beta_p,Task_ID,Primary_Server,CPU_Mean,CPU_Std,CPU_CV,Best_Backup,Second_Backup,Best_Marginal,Second_Marginal,Marginal_Ratio,Best_Rho,Second_Rho,Best_Amplification,Second_Amplification,Observed_Amplification_Ratio,Required_Amplification_Ratio,Reversal_Margin,Actual_Reversal
0.0,C0,0.0,8,2,21.2975,0.0,0.0,1,3,0.004322657458110273,0.004322657458110273,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,3,21.2975,0.0,0.0,1,2,0.004322657458110273,0.004322657458110273,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,4,21.2975,0.0,0.0,1,2,0.004322657458110273,0.004322657458110273,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,5,21.2975,0.0,0.0,1,2,0.004322657458110273,0.004322657458110273,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,6,21.2975,0.0,0.0,1,2,0.004322657458110273,0.004322657458110273,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,7,21.2975,0.0,0.0,1,2,0.004322657458110273,0.004322657458110273,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,8,21.2975,0.0,0.0,1,2,0.004322657458110273,0.004322657458110273,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,9,1,21.2975,0.0,0.0,2,3,0.004605038899398769,0.004605038899398769,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,9,2,21.2975,0.0,0.0,1,3,0.004605038899398769,0.004605038899398769,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,9,3,21.2975,0.0,0.0,1,2,0.004605038899398769,0.004605038899398769,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,9,4,21.2975,0.0,0.0,1,2,0.004605038899398769,0.004605038899398769,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,9,5,21.2975,0.0,0.0,1,2,0.004605038899398769,0.004605038899398769,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,9,6,21.2975,0.0,0.0,1,2,0.004605038899398769,0.004605038899398769,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,9,7,21.2975,0.0,0.0,1,2,0.004605038899398769,0.004605038899398769,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,9,8,21.2975,0.0,0.0,1,2,0.004605038899398769,0.004605038899398769,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,10,1,21.2975,0.0,0.0,2,3,0.0051793870369786915,0.0051793870369786915,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,10,2,21.2975,0.0,0.0,1,3,0.0051793870369786915,0.0051793870369786915,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,10,3,21.2975,0.0,0.0,1,2,0.0051793870369786915,0.0051793870369786915,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,10,4,21.2975,0.0,0.0,1,2,0.0051793870369786915,0.0051793870369786915,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,10,5,21.2975,0.0,0.0,1,2,0.0051793870369786915,0.0051793870369786915,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,10,6,21.2975,0.0,0.0,1,2,0.0051793870369786915,0.0051793870369786915,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,10,7,21.2975,0.0,0.0,1,2,0.0051793870369786915,0.0051793870369786915,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,10,8,21.2975,0.0,0.0,1,2,0.0051793870369786915,0.0051793870369786915,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,11,1,21.2975,0.0,0.0,2,3,0.005392776137011209,0.005392776137011209,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,11,2,21.2975,0.0,0.0,1,3,0.005392776137011209,0.005392776137011209,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,11,3,21.2975,0.0,0.0,1,2,0.005392776137011209,0.005392776137011209,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,11,4,21.2975,0.0,0.0,1,2,0.005392776137011209,0.005392776137011209,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,11,5,21.2975,0.0,0.0,1,2,0.005392776137011209,0.005392776137011209,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,11,6,21.2975,0.0,0.0,1,2,0.005392776137011209,0.005392776137011209,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,11,7,21.2975,0.0,0.0,1,2,0.005392776137011209,0.005392776137011209,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,11,8,21.2975,0.0,0.0,1,2,0.005392776137011209,0.005392776137011209,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,12,1,21.2975,0.0,0.0,2,3,0.003906096652918203,0.003906096652918203,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,12,2,21.2975,0.0,0.0,1,3,0.003906096652918203,0.003906096652918203,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,12,3,21.2975,0.0,0.0,1,2,0.003906096652918203,0.003906096652918203,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,12,4,21.2975,0.0,0.0,1,2,0.003906096652918203,0.003906096652918203,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,12,5,21.2975,0.0,0.0,1,2,0.003906096652918203,0.003906096652918203,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,12,6,21.2975,0.0,0.0,1,2,0.003906096652918203,0.003906096652918203,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,12,7,21.2975,0.0,0.0,1,2,0.003906096652918203,0.003906096652918203,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,12,8,21.2975,0.0,0.0,1,2,0.003906096652918203,0.003906096652918203,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,13,1,21.2975,0.0,0.0,2,3,0.006979964032224313,0.006979964032224313,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,13,2,21.2975,0.0,0.0,1,3,0.006979964032224313,0.006979964032224313,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,13,3,21.2975,0.0,0.0,1,2,0.006979964032224313,0.006979964032224313,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,13,4,21.2975,0.0,0.0,1,2,0.006979964032224313,0.006979964032224313,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,13,5,21.2975,0.0,0.0,1,2,0.006979964032224313,0.006979964032224313,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,13,6,21.2975,0.0,0.0,1,2,0.006979964032224313,0.006979964032224313,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,13,7,21.2975,0.0,0.0,1,2,0.006979964032224313,0.006979964032224313,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,13,8,21.2975,0.0,0.0,1,2,0.006979964032224313,0.006979964032224313,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,14,1,21.2975,0.0,0.0,2,3,0.0021616329178804424,0.0021616329178804424,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,14,2,21.2975,0.0,0.0,1,3,0.0021616329178804424,0.0021616329178804424,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,14,3,21.2975,0.0,0.0,1,2,0.0021616329178804424,0.0021616329178804424,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,14,4,21.2975,0.0,0.0,1,2,0.0021616329178804424,0.0021616329178804424,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,14,5,21.2975,0.0,0.0,1,2,0.0021616329178804424,0.0021616329178804424,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,14,6,21.2975,0.0,0.0,1,2,0.0021616329178804424,0.0021616329178804424,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,14,7,21.2975,0.0,0.0,1,2,0.0021616329178804424,0.0021616329178804424,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,14,8,21.2975,0.0,0.0,1,2,0.0021616329178804424,0.0021616329178804424,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,15,1,21.2975,0.0,0.0,2,3,0.00460182356085414,0.00460182356085414,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,15,2,21.2975,0.0,0.0,1,3,0.00460182356085414,0.00460182356085414,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,15,3,21.2975,0.0,0.0,1,2,0.00460182356085414,0.00460182356085414,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,15,4,21.2975,0.0,0.0,1,2,0.00460182356085414,0.00460182356085414,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,15,5,21.2975,0.0,0.0,1,2,0.00460182356085414,0.00460182356085414,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,15,6,21.2975,0.0,0.0,1,2,0.00460182356085414,0.00460182356085414,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,15,7,21.2975,0.0,0.0,1,2,0.00460182356085414,0.00460182356085414,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,15,8,21.2975,0.0,0.0,1,2,0.00460182356085414,0.00460182356085414,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,16,1,21.2975,0.0,0.0,2,3,0.004819306080288543,0.004819306080288543,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,16,2,21.2975,0.0,0.0,1,3,0.004819306080288543,0.004819306080288543,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,16,3,21.2975,0.0,0.0,1,2,0.004819306080288543,0.004819306080288543,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,16,4,21.2975,0.0,0.0,1,2,0.004819306080288543,0.004819306080288543,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,16,5,21.2975,0.0,0.0,1,2,0.004819306080288543,0.004819306080288543,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,16,6,21.2975,0.0,0.0,1,2,0.004819306080288543,0.004819306080288543,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,16,7,21.2975,0.0,0.0,1,2,0.004819306080288543,0.004819306080288543,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,16,8,21.2975,0.0,0.0,1,2,0.004819306080288543,0.004819306080288543,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,17,1,21.2975,0.0,0.0,2,3,0.004396539793718562,0.004396539793718562,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,17,2,21.2975,0.0,0.0,1,3,0.004396539793718562,0.004396539793718562,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,17,3,21.2975,0.0,0.0,1,2,0.004396539793718562,0.004396539793718562,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,17,4,21.2975,0.0,0.0,1,2,0.004396539793718562,0.004396539793718562,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,17,5,21.2975,0.0,0.0,1,2,0.004396539793718562,0.004396539793718562,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,17,6,21.2975,0.0,0.0,1,2,0.004396539793718562,0.004396539793718562,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,17,7,21.2975,0.0,0.0,1,2,0.004396539793718562,0.004396539793718562,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,17,8,21.2975,0.0,0.0,1,2,0.004396539793718562,0.004396539793718562,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,18,1,21.2975,0.0,0.0,2,3,0.001912436623439751,0.001912436623439751,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,18,2,21.2975,0.0,0.0,1,3,0.001912436623439751,0.001912436623439751,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,18,3,21.2975,0.0,0.0,1,2,0.001912436623439751,0.001912436623439751,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,18,4,21.2975,0.0,0.0,1,2,0.001912436623439751,0.001912436623439751,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
