Gamma,CPU_Heterogeneity_Scenario,Server_ID,Original_CPU,Scenario_CPU,CPU_Mean,CPU_Std,CPU_CV,Fixed_Baseline_Failure_Rate
0.0,C0,1,14.89,21.2975,21.2975,0.0,0.0,0.0019128140831276555
0.0,C0,2,11.47,21.2975,21.2975,0.0,0.0,0.0019128140831276555
0.0,C0,3,11.53,21.2975,21.2975,0.0,0.0,0.0019128140831276555
0.0,C0,4,13.5,21.2975,21.2975,0.0,0.0,0.0019128140831276555
0.0,C0,5,10.63,21.2975,21.2975,0.0,0.0,0.0019128140831276555
0.0,C0,6,11.86,21.2975,21.2975,0.0,0.0,0.0019128140831276555
0.0,C0,7,40.15,21.2975,21.2975,0.0,0.0,0.0019128140831276555
0.0,C0,8,56.35,21.2975,21.2975,0.0,0.0,0.0019128140831276555
0.3333333333333333,C1,1,14.89,19.161666666666665,21.2975,5.375868599067917,0.2524178236444614,0.0019128140831276555
0.3333333333333333,C1,2,11.47,18.02166666666667,21.2975,5.375868599067917,0.2524178236444614,0.0019128140831276555
0.3333333333333333,C1,3,11.53,18.041666666666664,21.2975,5.375868599067917,0.2524178236444614,0.0019128140831276555
0.3333333333333333,C1,4,13.5,18.698333333333334,21.2975,5.375868599067917,0.2524178236444614,0.0019128140831276555
0.3333333333333333,C1,5,10.63,17.741666666666667,21.2975,5.375868599067917,0.2524178236444614,0.0019128140831276555
0.3333333333333333,C1,6,11.86,18.151666666666667,21.2975,5.375868599067917,0.2524178236444614,0.0019128140831276555
0.3333333333333333,C1,7,40.15,27.581666666666663,21.2975,5.375868599067917,0.2524178236444614,0.0019128140831276555
0.3333333333333333,C1,8,56.35,32.98166666666667,21.2975,5.375868599067917,0.2524178236444614,0.0019128140831276555
0.6666666666666666,C2,1,14.89,17.025833333333335,21.2975,10.751737198135832,0.5048356472889227,0.0019128140831276555
0.6666666666666666,C2,2,11.47,14.745833333333334,21.2975,10.751737198135832,0.5048356472889227,0.0019128140831276555
0.6666666666666666,C2,3,11.53,14.785833333333333,21.2975,10.751737198135832,0.5048356472889227,0.0019128140831276555
0.6666666666666666,C2,4,13.5,16.09916666666667,21.2975,10.751737198135832,0.5048356472889227,0.0019128140831276555
0.6666666666666666,C2,5,10.63,14.185833333333335,21.2975,10.751737198135832,0.5048356472889227,0.0019128140831276555
0.6666666666666666,C2,6,11.86,15.005833333333333,21.2975,10.751737198135832,0.5048356472889227,0.0019128140831276555
0.6666666666666666,C2,7,40.15,33.86583333333333,21.2975,10.751737198135832,0.5048356472889227,0.0019128140831276555
0.6666666666666666,C2,8,56.35,44.66583333333333,21.2975,10.751737198135832,0.5048356472889227,0.0019128140831276555
1.0,C3,1,14.89,14.89,21.2975,16.12760579720375,0.7572534709333841,0.0019128140831276555
1.0,C3,2,11.47,11.47,21.2975,16.12760579720375,0.7572534709333841,0.0019128140831276555
1.0,C3,3,11.53,11.53,21.2975,16.12760579720375,0.7572534709333841,0.0019128140831276555
1.0,C3,4,13.5,13.5,21.2975,16.12760579720375,0.7572534709333841,0.0019128140831276555
1.0,C3,5,10.63,10.63,21.2975,16.12760579720375,0.7572534709333841,0.0019128140831276555
1.0,C3,6,11.86,11.86,21.2975,16.12760579720375,0.7572534709333841,0.0019128140831276555
1.0,C3,7,40.15,40.15,21.2975,16.12760579720375,0.7572534709333841,0.0019128140831276555
1.0,C3,8,56.35,56.35,21.2975,16.12760579720375,0.7572534709333841,0.0019128140831276555
