Gamma,CPU_Heterogeneity_Scenario,Beta_p,Task_ID,Primary_Server,CPU_Mean,CPU_Std,CPU_CV,Primary_CPU,Primary_Marginal_Failure,Independent_Selected_Backup,Independent_Backup_CPU,Independent_Backup_Marginal_Failure,Independent_Selected_Rho,Independent_Selected_Distance_km,Independent_Actual_Joint_Risk,Correlation_Aware_Selected_Backup,Correlation_Aware_Backup_CPU,Correlation_Aware_Backup_Marginal_Failure,Correlation_Aware_Selected_Rho,Correlation_Aware_Selected_Distance_km,Correlation_Aware_Actual_Joint_Risk,Selection_Changed,Absolute_Risk_Reduction,Relative_Risk_Reduction
0.0,C0,0.0,1,1,21.2975,0.0,0.0,21.2975,0.0038731280338122126,2,21.2975,0.0038731280338122126,0.021009369147363816,1.9313933954397549,1.5001120766302055e-05,2,21.2975,0.0038731280338122126,0.021009369147363816,1.9313933954397549,1.5001120766302055e-05,False,0.0,0.0
0.0,C0,0.0,1,2,21.2975,0.0,0.0,21.2975,0.0038731280338122126,1,21.2975,0.0038731280338122126,0.021009369147363816,1.9313933954397549,1.5001120766302055e-05,1,21.2975,0.0038731280338122126,0.021009369147363816,1.9313933954397549,1.5001120766302055e-05,False,0.0,0.0
0.0,C0,0.0,1,3,21.2975,0.0,0.0,21.2975,0.0038731280338122126,1,21.2975,0.0038731280338122126,0.18306787663613355,0.848949142165538,1.5001120766302055e-05,1,21.2975,0.0038731280338122126,0.18306787663613355,0.848949142165538,1.5001120766302055e-05,False,0.0,0.0
0.0,C0,0.0,1,4,21.2975,0.0,0.0,21.2975,0.0038731280338122126,1,21.2975,0.0038731280338122126,0.05616030311880285,1.4397725609322833,1.5001120766302055e-05,1,21.2975,0.0038731280338122126,0.05616030311880285,1.4397725609322833,1.5001120766302055e-05,False,0.0,0.0
0.0,C0,0.0,1,5,21.2975,0.0,0.0,21.2975,0.0038731280338122126,1,21.2975,0.0038731280338122126,0.35189398947555517,0.5222126575031668,1.5001120766302055e-05,1,21.2975,0.0038731280338122126,0.35189398947555517,0.5222126575031668,1.5001120766302055e-05,False,0.0,0.0
0.0,C0,0.0,1,6,21.2975,0.0,0.0,21.2975,0.0038731280338122126,1,21.2975,0.0038731280338122126,0.06799478979999132,1.3441620986649503,1.5001120766302055e-05,1,21.2975,0.0038731280338122126,0.06799478979999132,1.3441620986649503,1.5001120766302055e-05,False,0.0,0.0
0.0,C0,0.0,1,7,21.2975,0.0,0.0,21.2975,0.0038731280338122126,1,21.2975,0.0038731280338122126,0.13817150844591128,0.989629775327275,1.5001120766302055e-05,1,21.2975,0.0038731280338122126,0.13817150844591128,0.989629775327275,1.5001120766302055e-05,False,0.0,0.0
0.0,C0,0.0,1,8,21.2975,0.0,0.0,21.2975,0.0038731280338122126,1,21.2975,0.0038731280338122126,0.025396350832529932,1.836574891644758,1.5001120766302055e-05,1,21.2975,0.0038731280338122126,0.025396350832529932,1.836574891644758,1.5001120766302055e-05,False,0.0,0.0
0.0,C0,0.0,2,1,21.2975,0.0,0.0,21.2975,0.0038890760989139313,2,21.2975,0.0038890760989139313,0.021009369147363816,1.9313933954397549,1.5124912903143602e-05,2,21.2975,0.0038890760989139313,0.021009369147363816,1.9313933954397549,1.5124912903143602e-05,False,0.0,0.0
0.0,C0,0.0,2,2,21.2975,0.0,0.0,21.2975,0.0038890760989139313,1,21.2975,0.0038890760989139313,0.021009369147363816,1.9313933954397549,1.5124912903143602e-05,1,21.2975,0.0038890760989139313,0.021009369147363816,1.9313933954397549,1.5124912903143602e-05,False,0.0,0.0
0.0,C0,0.0,2,3,21.2975,0.0,0.0,21.2975,0.0038890760989139313,1,21.2975,0.0038890760989139313,0.18306787663613355,0.848949142165538,1.5124912903143602e-05,1,21.2975,0.0038890760989139313,0.18306787663613355,0.848949142165538,1.5124912903143602e-05,False,0.0,0.0
0.0,C0,0.0,2,4,21.2975,0.0,0.0,21.2975,0.0038890760989139313,1,21.2975,0.0038890760989139313,0.05616030311880285,1.4397725609322833,1.5124912903143602e-05,1,21.2975,0.0038890760989139313,0.05616030311880285,1.4397725609322833,1.5124912903143602e-05,False,0.0,0.0
0.0,C0,0.0,2,5,21.2975,0.0,0.0,21.2975,0.0038890760989139313,1,21.2975,0.0038890760989139313,0.35189398947555517,0.5222126575031668,1.5124912903143602e-05,1,21.2975,0.0038890760989139313,0.35189398947555517,0.5222126575031668,1.5124912903143602e-05,False,0.0,0.0
0.0,C0,0.0,2,6,21.2975,0.0,0.0,21.2975,0.0038890760989139313,1,21.2975,0.0038890760989139313,0.06799478979999132,1.3441620986649503,1.5124912903143602e-05,1,21.2975,0.0038890760989139313,0.06799478979999132,1.3441620986649503,1.5124912903143602e-05,False,0.0,0.0
0.0,C0,0.0,2,7,21.2975,0.0,0.0,21.2975,0.0038890760989139313,1,21.2975,0.0038890760989139313,0.13817150844591128,0.989629775327275,1.5124912903143602e-05,1,21.2975,0.0038890760989139313,0.13817150844591128,0.989629775327275,1.5124912903143602e-05,False,0.0,0.0
0.0,C0,0.0,2,8,21.2975,0.0,0.0,21.2975,0.0038890760989139313,1,21.2975,0.0038890760989139313,0.025396350832529932,1.836574891644758,1.5124912903143602e-05,1,21.2975,0.0038890760989139313,0.025396350832529932,1.836574891644758,1.5124912903143602e-05,False,0.0,0.0
0.0,C0,0.0,3,1,21.2975,0.0,0.0,21.2975,0.002462596689932834,2,21.2975,0.002462596689932834,0.021009369147363816,1.9313933954397549,6.06438245726815e-06,2,21.2975,0.002462596689932834,0.021009369147363816,1.9313933954397549,6.06438245726815e-06,False,0.0,0.0
0.0,C0,0.0,3,2,21.2975,0.0,0.0,21.2975,0.002462596689932834,1,21.2975,0.002462596689932834,0.021009369147363816,1.9313933954397549,6.06438245726815e-06,1,21.2975,0.002462596689932834,0.021009369147363816,1.9313933954397549,6.06438245726815e-06,False,0.0,0.0
0.0,C0,0.0,3,3,21.2975,0.0,0.0,21.2975,0.002462596689932834,1,21.2975,0.002462596689932834,0.18306787663613355,0.848949142165538,6.06438245726815e-06,1,21.2975,0.002462596689932834,0.18306787663613355,0.848949142165538,6.06438245726815e-06,False,0.0,0.0
0.0,C0,0.0,3,4,21.2975,0.0,0.0,21.2975,0.002462596689932834,1,21.2975,0.002462596689932834,0.05616030311880285,1.4397725609322833,6.06438245726815e-06,1,21.2975,0.002462596689932834,0.05616030311880285,1.4397725609322833,6.06438245726815e-06,False,0.0,0.0
0.0,C0,0.0,3,5,21.2975,0.0,0.0,21.2975,0.002462596689932834,1,21.2975,0.002462596689932834,0.35189398947555517,0.5222126575031668,6.06438245726815e-06,1,21.2975,0.002462596689932834,0.35189398947555517,0.5222126575031668,6.06438245726815e-06,False,0.0,0.0
0.0,C0,0.0,3,6,21.2975,0.0,0.0,21.2975,0.002462596689932834,1,21.2975,0.002462596689932834,0.06799478979999132,1.3441620986649503,6.06438245726815e-06,1,21.2975,0.002462596689932834,0.06799478979999132,1.3441620986649503,6.06438245726815e-06,False,0.0,0.0
0.0,C0,0.0,3,7,21.2975,0.0,0.0,21.2975,0.002462596689932834,1,21.2975,0.002462596689932834,0.13817150844591128,0.989629775327275,6.06438245726815e-06,1,21.2975,0.002462596689932834,0.13817150844591128,0.989629775327275,6.06438245726815e-06,False,0.0,0.0
0.0,C0,0.0,3,8,21.2975,0.0,0.0,21.2975,0.002462596689932834,1,21.2975,0.002462596689932834,0.025396350832529932,1.836574891644758,6.06438245726815e-06,1,21.2975,0.002462596689932834,0.025396350832529932,1.836574891644758,6.06438245726815e-06,False,0.0,0.0
0.0,C0,0.0,4,1,21.2975,0.0,0.0,21.2975,0.003289531740607588,2,21.2975,0.003289531740607588,0.021009369147363816,1.9313933954397549,1.0821019072464787e-05,2,21.2975,0.003289531740607588,0.021009369147363816,1.9313933954397549,1.0821019072464787e-05,False,0.0,0.0
0.0,C0,0.0,4,2,21.2975,0.0,0.0,21.2975,0.003289531740607588,1,21.2975,0.003289531740607588,0.021009369147363816,1.9313933954397549,1.0821019072464787e-05,1,21.2975,0.003289531740607588,0.021009369147363816,1.9313933954397549,1.0821019072464787e-05,False,0.0,0.0
0.0,C0,0.0,4,3,21.2975,0.0,0.0,21.2975,0.003289531740607588,1,21.2975,0.003289531740607588,0.18306787663613355,0.848949142165538,1.0821019072464787e-05,1,21.2975,0.003289531740607588,0.18306787663613355,0.848949142165538,1.0821019072464787e-05,False,0.0,0.0
0.0,C0,0.0,4,4,21.2975,0.0,0.0,21.2975,0.003289531740607588,1,21.2975,0.003289531740607588,0.05616030311880285,1.4397725609322833,1.0821019072464787e-05,1,21.2975,0.003289531740607588,0.05616030311880285,1.4397725609322833,1.0821019072464787e-05,False,0.0,0.0
0.0,C0,0.0,4,5,21.2975,0.0,0.0,21.2975,0.003289531740607588,1,21.2975,0.003289531740607588,0.35189398947555517,0.5222126575031668,1.0821019072464787e-05,1,21.2975,0.003289531740607588,0.35189398947555517,0.5222126575031668,1.0821019072464787e-05,False,0.0,0.0
0.0,C0,0.0,4,6,21.2975,0.0,0.0,21.2975,0.003289531740607588,1,21.2975,0.003289531740607588,0.06799478979999132,1.3441620986649503,1.0821019072464787e-05,1,21.2975,0.003289531740607588,0.06799478979999132,1.3441620986649503,1.0821019072464787e-05,False,0.0,0.0
0.0,C0,0.0,4,7,21.2975,0.0,0.0,21.2975,0.003289531740607588,1,21.2975,0.003289531740607588,0.13817150844591128,0.989629775327275,1.0821019072464787e-05,1,21.2975,0.003289531740607588,0.13817150844591128,0.989629775327275,1.0821019072464787e-05,False,0.0,0.0
0.0,C0,0.0,4,8,21.2975,0.0,0.0,21.2975,0.003289531740607588,1,21.2975,0.003289531740607588,0.025396350832529932,1.836574891644758,1.0821019072464787e-05,1,21.2975,0.003289531740607588,0.025396350832529932,1.836574891644758,1.0821019072464787e-05,False,0.0,0.0
