server_j,server_k,distance_km,rho_jk,count,joint_failure_mean,joint_failure_p50,joint_failure_p90,joint_failure_p95,joint_failure_p99,joint_failure_max,joint_success_mean,joint_success_p01,joint_success_p05,joint_success_p10,joint_success_p50,joint_success_min
1,2,1.9313933954397549,0.021009369147363816,100000,9.186002253764347e-05,3.8861226234657336e-05,0.00021805320977443104,0.00035555487785038825,0.000816242404930259,0.0032172699172438065,0.9999081399774623,0.9991837575950697,0.9996444451221496,0.9997819467902256,0.9999611387737654,0.9967827300827562
1,3,0.848949142165538,0.18306787663613355,100000,5.866810557500324e-05,2.3255497256239643e-05,0.00013870834870924114,0.00022882649082699193,0.0005245029133665224,0.005211796465559656,0.9999413318944251,0.9994754970866335,0.999771173509173,0.9998612916512908,0.9999767445027437,0.9947882035344403
1,4,1.4397725609322833,0.05616030311880285,100000,5.229130899859813e-05,2.2834744450158262e-05,0.00012945889830129462,0.00020033996234794838,0.0004213077195729168,0.0015827784790317845,0.9999477086910011,0.9995786922804271,0.9997996600376521,0.9998705411016987,0.9999771652555498,0.9984172215209682
1,5,0.5222126575031668,0.35189398947555517,100000,6.539071645501345e-05,2.215472249368139e-05,0.00014346737359594537,0.0002519988148975737,0.0007571709036705804,0.003807880031773162,0.9999346092835452,0.9992428290963294,0.9997480011851024,0.9998565326264041,0.9999778452775063,0.9961921199682269
1,6,1.3441620986649503,0.06799478979999132,100000,9.76110502674741e-05,4.308950703590994e-05,0.00022868225312486917,0.0003633968755227776,0.0008587182855639903,0.004033272774507164,0.9999023889497326,0.999141281714436,0.9996366031244772,0.9997713177468752,0.9999569104929641,0.9959667272254928
1,7,0.989629775327275,0.13817150844591128,100000,1.9481105764781593e-06,7.268253121129462e-07,4.433054603724559e-06,7.26488473435244e-06,1.8535561053449675e-05,0.000190160709445709,0.9999980518894235,0.9999814644389465,0.9999927351152657,0.9999955669453963,0.9999992731746878,0.9998098392905543
1,8,1.836574891644758,0.025396350832529932,100000,2.2113040842062274e-06,9.652436553143565e-07,4.974062377997903e-06,8.157599923539836e-06,2.0454855305766e-05,0.00012125617526504132,0.9999977886959158,0.9999795451446942,0.9999918424000765,0.999995025937622,0.9999990347563447,0.999878743824735
2,3,1.4783709335735,0.05198802542815817,100000,0.00014258844926230544,6.439092905744962e-05,0.00034765110552247485,0.0005431563845976929,0.0011633382897691593,0.0048008774562314956,0.9998574115507377,0.9988366617102308,0.9994568436154023,0.9996523488944775,0.9999356090709426,0.9951991225437685
2,4,0.60420632526679,0.29867099860174734,100000,0.0001636391917455229,6.3206065707064e-05,0.0003937578412832309,0.0006529203444234455,0.001538525374047048,0.007182022228054617,0.9998363608082546,0.9984614746259529,0.9993470796555766,0.9996062421587167,0.9999367939342929,0.9928179777719454
2,5,1.483904963642815,0.05141579143797567,100000,0.00014704634207918997,5.7476035280421525e-05,0.0003453456610885455,0.0005581275031441834,0.001331288261475794,0.010508612266545923,0.9998529536579207,0.9986687117385242,0.9994418724968558,0.9996546543389114,0.9999425239647196,0.9894913877334541
2,6,0.8289911193094304,0.19052302251529626,100000,0.0002856051239251108,0.00011893556833377639,0.0006921310021806774,0.0011179932523275207,0.0024994466010786016,0.011509865469495811,0.9997143948760748,0.9975005533989214,0.9988820067476725,0.9993078689978193,0.9998810644316662,0.9884901345305042
2,7,0.9425511542841537,0.15181352681030647,100000,5.474922699664552e-06,1.9622284805314916e-06,1.1965976105913343e-05,2.0059383375130018e-05,5.536992417081285e-05,0.0004846376499551802,0.9999945250773004,0.9999446300758291,0.9999799406166249,0.9999880340238941,0.9999980377715194,0.9995153623500448
2,8,0.8822355247676016,0.1712773597674974,100000,6.2997608985410224e-06,2.559497802410905e-06,1.5335626222304153e-05,2.5473948780430467e-05,5.745742158373497e-05,0.00021694335927343578,0.9999937002391016,0.9999425425784163,0.9999745260512196,0.9999846643737778,0.9999974405021976,0.9997830566407265
3,4,0.878706288195088,0.1724905931622923,100000,9.11757683586981e-05,3.861524451131535e-05,0.00021447869230054078,0.0003452180273582592,0.0008390568864878521,0.003694882758076157,0.9999088242316412,0.9991609431135122,0.9996547819726417,0.9997855213076995,0.9999613847554887,0.9963051172419238
3,5,0.8574841534545671,0.1799694244100487,100000,0.00010108604317916052,3.4848649900837155e-05,0.00021142237012790064,0.000379948578184425,0.0011678516828577572,0.007100616960856335,0.999898913956821,0.9988321483171423,0.9996200514218156,0.999788577629872,0.9999651513500991,0.9928993830391437
3,6,1.2822336742801248,0.07696016346817264,100000,0.00018137754531345057,6.86319069520363e-05,0.00041583209659105654,0.0007035632548735174,0.0018552186207224928,0.010043963624464415,0.9998186224546866,0.9981447813792774,0.9992964367451266,0.9995841679034089,0.999931368093048,0.9899560363755355
3,7,0.7573646464477674,0.2198676965397751,100000,3.447078809872503e-06,1.172999671058505e-06,7.327998177474459e-06,1.2191381737123868e-05,3.5213864478714256e-05,0.00041408484194202055,0.9999965529211902,0.9999647861355212,0.9999878086182629,0.9999926720018225,0.9999988270003289,0.999585915158058
3,8,1.78725806527452,0.02802898486305948,100000,3.839250136673088e-06,1.5779644293269992e-06,8.627615482118597e-06,1.4349117809221985e-05,3.799040565085559e-05,0.0001736007402485063,0.9999961607498632,0.9999620095943492,0.9999856508821908,0.9999913723845179,0.9999984220355707,0.9998263992597515
4,5,1.0838445765538174,0.11444176899201255,100000,8.559764634207116e-05,3.496216639779454e-05,0.00020737353435075495,0.0003298656778288746,0.0007596355174695799,0.0038367027994227324,0.9999144023536579,0.9992403644825304,0.9996701343221711,0.9997926264656493,0.9999650378336022,0.9961632972005773
4,6,0.7963105702239037,0.20339179397623902,100000,0.00017435020489365048,7.004027435688571e-05,0.00040136269573661545,0.0006467519361263627,0.0016441160679826802,0.00871141841828776,0.9998256497951065,0.9983558839320172,0.9993532480638736,0.9995986373042635,0.999929959725643,0.9912885815817123
4,7,0.5325002552302455,0.3447276787973151,100000,3.3258349861744473e-06,1.1980681915969688e-06,7.505368388785905e-06,1.2493756516225407e-05,3.5783134162631924e-05,0.00016239871965194406,0.9999966741650141,0.9999642168658374,0.9999875062434838,0.9999924946316112,0.9999988019318085,0.999837601280348
4,8,1.1564077419430592,0.09898217615586608,100000,3.644953690023136e-06,1.5525824308784602e-06,8.719259040735985e-06,1.4215962951144096e-05,3.226525971222576e-05,0.00016227070305564932,0.9999963550463099,0.9999677347402878,0.9999857840370489,0.9999912807409592,0.9999984474175692,0.9998377292969444
5,6,0.8263780820651767,0.19152131632955052,100000,0.00018529413259260117,6.52281167513264e-05,0.00040609174596256247,0.0007083675897070194,0.0020138929249496882,0.014781261035390937,0.9998147058674075,0.9979861070750503,0.999291632410293,0.9995939082540374,0.9999347718832486,0.9852187389646091
5,7,0.5627056356434252,0.3245189745730765,100000,4.526188336583326e-06,1.1066077777186103e-06,7.312994334347572e-06,1.3569570223633423e-05,5.3563375464776066e-05,0.0008261394863721695,0.9999954738116634,0.9999464366245352,0.9999864304297764,0.9999926870056656,0.9999988933922223,0.9991738605136278
5,8,1.314365145189487,0.07217003908143543,100000,3.4360202241148165e-06,1.4943951091101585e-06,7.622343207549907e-06,1.1746152302380565e-05,2.8353028552202826e-05,0.0003224554297058292,0.9999965639797758,0.9999716469714478,0.9999882538476976,0.9999923776567925,0.9999985056048909,0.9996775445702941
6,7,0.5249976332981291,0.3499394055117266,100000,6.734644659076507e-06,2.143489066656374e-06,1.5219805382899871e-05,2.588760097789553e-05,7.494423016448061e-05,0.000515578224402573,0.9999932653553407,0.9999250557698355,0.9999741123990221,0.9999847801946171,0.9999978565109333,0.9994844217755974
6,8,0.5192140601550097,0.3540107070824934,100000,7.806643727278003e-06,2.869052077249982e-06,1.9008584088247913e-05,3.2620132362193345e-05,7.583615519742527e-05,0.00034505241319873384,0.9999921933562728,0.9999241638448025,0.9999673798676378,0.9999809914159118,0.9999971309479228,0.9996549475868013
