Beta_p,Sample_Count,Mean_Multiplier,Std_Multiplier,P01,P05,P25,P50,P75,P95,P99,Min,Max,Prob_M_gt_1,Prob_M_gt_1p5,Prob_M_gt_2,Prob_M_gt_3,Prob_M_lt_0p5,Empirical_P05,Theoretical_P05,P05_Absolute_Error,Empirical_P50,Theoretical_P50,P50_Absolute_Error,Empirical_P95,Theoretical_P95,P95_Absolute_Error
0.0,100000,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.2,100000,1.0006675853042348,0.20201684400727896,0.6163251258106336,0.7064177778829489,0.8569536276928309,0.9809319842274202,1.1227273922294048,1.3624739877790035,1.5605087972767857,0.3642935366422251,2.4835262695969895,0.461475,0.016675,0.00017125,0.0,0.0003825,0.7064177778829489,0.7054137806807969,0.0010039972021520516,0.9809319842274202,0.9801986733067553,0.0007333109206649757,1.3624739877790035,1.3620224972427706,0.00045149053623294577
0.5,100000,1.0015608940178475,0.532832862634904,0.2766639648213573,0.38911857653121806,0.6306976573222032,0.8841483733214612,1.2391209808004517,2.0102425563405837,2.8222369084743475,0.07431159429079824,9.01778359677269,0.40315375,0.14525875,0.05107,0.00726625,0.12728375,0.38911857653121806,0.3877374617053652,0.0013811148258528472,0.8841483733214612,0.8824969025845955,0.0016514707368657788,2.0102425563405837,2.0085776072449795,0.0016649490956042179
0.8,100000,1.0021911535525816,0.9445573985646136,0.11350338574226937,0.19589159636661824,0.42422729784595836,0.7283244771692762,1.2498750506763694,2.7107046602893736,4.664812687424571,0.013854000158790545,29.925702683113233,0.34641125,0.18353375,0.10326375,0.0382025,0.31966,0.19589159636661824,0.1947803235080149,0.0011112728586033238,0.7283244771692762,0.7261490370736908,0.002175440095585346,2.7107046602893736,2.707113401120061,0.0035912591693127993
