Beta_p,Case_Count,Mean_Marginal_Gap_Ratio_1_2,Median_Marginal_Gap_Ratio_1_2,Min_Marginal_Gap_Ratio_1_2,Max_Marginal_Gap_Ratio_1_2,Mean_Joint_Risk_Ratio_1_2,Median_Joint_Risk_Ratio_1_2,Min_Joint_Risk_Ratio_1_2,Mean_Required_Amplification_Ratio,Mean_Observed_Amplification_Ratio,Max_Observed_Amplification_Ratio,Mean_Reversal_Margin,Max_Reversal_Margin,Near_Tie_5pct_Count,Near_Tie_5pct_Rate,Near_Tie_10pct_Count,Near_Tie_10pct_Rate
0.0,1600,5.026101915834808,1.3207255010577332,1.3206612070648376,18.411018935443877,5.0261019158340945,1.3207255010575367,1.320661207064938,5.026101915834808,1.0,1.0,0.5836623955324799,0.7571964669292397,0,0.0,0,0.0
0.2,1600,5.031646625049389,1.3202151301798055,1.3201482578281771,18.436625375536565,5.017371053300483,1.3174215460737733,1.3070737721259933,5.031646625049389,1.0043481277202695,1.0100868884712497,0.5868027329190622,0.765067757708481,0,0.0,0,0.0
0.5,1600,5.039017582611427,1.3198802629933475,1.3197973581638753,18.478824549009804,4.951401398773689,1.3034464267502883,1.239989072160921,5.039017582611427,1.027576223995536,1.0644718953978758,0.6026603457139523,0.806458720041223,0,0.0,0,0.0
0.8,1600,5.045362320250787,1.3203395717847377,1.3202137627233406,18.532790288072814,4.828391325665572,1.2793073725985242,1.1284764317996423,5.045362320250787,1.0722791732511507,1.1700912850090115,0.6327157391259881,0.8861505405170459,0,0.0,0,0.0
