Alpha,Heterogeneity_Scenario,Server_ID,Original_Failure_Rate,Scenario_Failure_Rate,Lambda_Mean,Lambda_Std,Lambda_CV
0.0,H0,1,0.001512760101333253,0.0019128140831276555,0.0019128140831276555,0.0,0.0
0.0,H0,2,0.003165619220516837,0.0019128140831276555,0.0019128140831276555,0.0,0.0
0.0,H0,3,0.002071964229127699,0.0019128140831276555,0.0019128140831276555,0.0,0.0
0.0,H0,4,0.002388379573547085,0.0019128140831276555,0.0019128140831276555,0.0,0.0
0.0,H0,5,0.001709914088673922,0.0019128140831276555,0.0019128140831276555,0.0,0.0
0.0,H0,6,0.003821883416475691,0.0019128140831276555,0.0019128140831276555,0.0,0.0
0.0,H0,7,0.000221464621839621,0.0019128140831276555,0.0019128140831276555,0.0,0.0
0.0,H0,8,0.0004105274135071343,0.0019128140831276555,0.0019128140831276555,0.0,0.0
0.3333333333333333,H1,1,0.001512760101333253,0.0017794627558628546,0.0019128140831276555,0.0003870166801326754,0.20232843512938892
0.3333333333333333,H1,2,0.003165619220516837,0.002330415795590716,0.0019128140831276555,0.0003870166801326754,0.20232843512938892
0.3333333333333333,H1,3,0.002071964229127699,0.0019658641317943366,0.0019128140831276555,0.0003870166801326754,0.20232843512938892
0.3333333333333333,H1,4,0.002388379573547085,0.0020713359132674652,0.0019128140831276555,0.0003870166801326754,0.20232843512938892
0.3333333333333333,H1,5,0.001709914088673922,0.0018451807516430777,0.0019128140831276555,0.0003870166801326754,0.20232843512938892
0.3333333333333333,H1,6,0.003821883416475691,0.0025491705275770007,0.0019128140831276555,0.0003870166801326754,0.20232843512938892
0.3333333333333333,H1,7,0.000221464621839621,0.0013490309293649773,0.0019128140831276555,0.0003870166801326754,0.20232843512938892
0.3333333333333333,H1,8,0.0004105274135071343,0.0014120518599208152,0.0019128140831276555,0.0003870166801326754,0.20232843512938892
0.6666666666666666,H2,1,0.001512760101333253,0.0016461114285980538,0.0019128140831276552,0.0007740333602653508,0.4046568702587779
0.6666666666666666,H2,2,0.003165619220516837,0.0027480175080537763,0.0019128140831276552,0.0007740333602653508,0.4046568702587779
0.6666666666666666,H2,3,0.002071964229127699,0.0020189141804610178,0.0019128140831276552,0.0007740333602653508,0.4046568702587779
0.6666666666666666,H2,4,0.002388379573547085,0.0022298577434072754,0.0019128140831276552,0.0007740333602653508,0.4046568702587779
0.6666666666666666,H2,5,0.001709914088673922,0.0017775474201584998,0.0019128140831276552,0.0007740333602653508,0.4046568702587779
0.6666666666666666,H2,6,0.003821883416475691,0.003185526972026346,0.0019128140831276552,0.0007740333602653508,0.4046568702587779
0.6666666666666666,H2,7,0.000221464621839621,0.0007852477756022992,0.0019128140831276552,0.0007740333602653508,0.4046568702587779
0.6666666666666666,H2,8,0.0004105274135071343,0.0009112896367139748,0.0019128140831276552,0.0007740333602653508,0.4046568702587779
1.0,H3,1,0.001512760101333253,0.001512760101333253,0.0019128140831276555,0.0011610500403980263,0.6069853053881669
1.0,H3,2,0.003165619220516837,0.003165619220516837,0.0019128140831276555,0.0011610500403980263,0.6069853053881669
1.0,H3,3,0.002071964229127699,0.002071964229127699,0.0019128140831276555,0.0011610500403980263,0.6069853053881669
1.0,H3,4,0.002388379573547085,0.002388379573547085,0.0019128140831276555,0.0011610500403980263,0.6069853053881669
1.0,H3,5,0.001709914088673922,0.001709914088673922,0.0019128140831276555,0.0011610500403980263,0.6069853053881669
1.0,H3,6,0.003821883416475691,0.003821883416475691,0.0019128140831276555,0.0011610500403980263,0.6069853053881669
1.0,H3,7,0.000221464621839621,0.000221464621839621,0.0019128140831276555,0.0011610500403980263,0.6069853053881669
1.0,H3,8,0.0004105274135071343,0.0004105274135071343,0.0019128140831276555,0.0011610500403980263,0.6069853053881669
