Alpha,Heterogeneity_Scenario,Beta_p,Lambda_Mean,Lambda_Std,Lambda_CV,Case_Count,Selection_Change_Count,Selection_Change_Rate,Mean_Independent_Actual_Joint_Risk,Mean_Correlation_Aware_Actual_Joint_Risk,Mean_Absolute_Risk_Reduction,Mean_Relative_Risk_Reduction,Median_Relative_Risk_Reduction,Max_Relative_Risk_Reduction,Fraction_Positive_Risk_Reduction,Mean_Independent_Selected_Rho,Mean_Correlation_Aware_Selected_Rho,Mean_Independent_Selected_Distance_km,Mean_Correlation_Aware_Selected_Distance_km,Mean_Marginal_Ratio,Median_Marginal_Ratio,Min_Marginal_Ratio,Mean_Observed_Amplification_Ratio,Max_Observed_Amplification_Ratio,Mean_Reversal_Margin,Max_Reversal_Margin,Reversal_Count,Reversal_Rate
0.0,H0,0.0,0.0019128140831276555,0.0,0.0,1600,0,0.0,1.2970280071346912e-05,1.2970280071346912e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,1.8605006562080388,1.4030650895723442,1.402536893485768,1.0,1.0,0.6141366063093003,0.7129937220508112,0,0.0
0.0,H0,0.2,0.0019128140831276555,0.0,0.0,1600,0,0.0,1.3046320755698767e-05,1.3046320755698767e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,1.862129859336194,1.4035875803862061,1.4030371052078805,0.9966811248190379,1.0042534290905367,0.6112923427127871,0.7132072425593986,0,0.0
0.0,H0,0.5,0.0019128140831276555,0.0,0.0,1600,0,0.0,1.3404626351627715e-05,1.3404626351627715e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,1.8638868753167694,1.4038298136715195,1.4031544268131573,0.9800283186020653,1.026830963481329,0.5983114813403,0.7151409878790557,0,0.0
0.0,H0,0.8,0.0019128140831276555,0.0,0.0,1600,0,0.0,1.4079197368234364e-05,1.4079197368234364e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,1.8645209759198393,1.4030744475278394,1.4021140933908662,0.9526444478332496,1.070062749359463,0.5772563761599314,0.7220709395594489,0,0.0
0.3333333333333333,H1,0.0,0.0019128140831276555,0.0003870166801326754,0.20232843512938892,1600,0,0.0,1.0151532059400959e-05,1.0151532059400959e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,2.043721531814012,1.3405969001187976,1.340282071311122,1.0,1.0,0.6209666350910013,0.7461115994946919,0,0.0
0.3333333333333333,H1,0.2,0.0019128140831276555,0.0003870166801326754,0.20232843512938892,1600,0,0.0,1.0215466944129489e-05,1.0215466944129489e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,2.045685529901978,1.3411024622403562,1.3407743007320991,0.9966794997138075,1.0042538876368432,0.6179629913225388,0.7463252407413756,0,0.0
0.3333333333333333,H1,0.5,0.0019128140831276555,0.0003870166801326754,0.20232843512938892,1600,0,0.0,1.0522188828039295e-05,1.0522188828039295e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,2.0479040578732595,1.3413701229189194,1.3409675855066896,0.9800155510565526,1.0268346108578545,0.6041058832634524,0.7482917087836682,0,0.0
0.3333333333333333,H1,0.8,0.0019128140831276555,0.0003870166801326754,0.20232843512938892,1600,0,0.0,1.1104812996977774e-05,1.1104812996977774e-05,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,2.0489650302364453,1.3407331413938492,1.3401624350030428,0.9525909938933467,1.0700776903242786,0.5814851829602958,0.7553297997968875,0,0.0
0.6666666666666666,H2,0.0,0.0019128140831276552,0.0007740333602653508,0.4046568702587779,1600,0,0.0,6.922096515321679e-06,6.922096515321679e-06,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,2.464285856304625,1.2092786210840083,1.2091660030150129,1.0,1.0,0.6607084074089432,0.8270163050454075,0,0.0
0.6666666666666666,H2,0.2,0.0019128140831276552,0.0007740333602653508,0.4046568702587779,1600,0,0.0,6.968293516351212e-06,6.968293516351212e-06,0.0,0.0,0.0,0.0,0.0,0.12541150031540896,0.12541150031540896,1.195235562894955,1.195235562894955,2.466992703632808,1.2097403803803581,1.2096229390538555,0.9966778752079205,1.0042543462263411,0.6573456184351252,0.827242236814855,0,0.0
