episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,41.367081260238635,2.7811973772987533,17.08,0.09,0.91,0.8846153846153846,0.805,21,18,2.7896490132808687,1.0,1.0
2,200,46.153162024983985,3.392451479021964,20.82,0.0,1.0,1.0,1.0,0,0,2.788586701154709,1.0,1.0
3,200,44.870047348281496,3.550737924614117,22.995,0.0,1.0,1.0,1.0,0,0,2.7884119820594786,1.0,1.0
4,200,48.84535221975524,3.060820523654182,21.235,0.0,1.0,1.0,1.0,0,0,2.7895296037197115,1.0,1.0
5,200,49.140138324400944,3.253529404263063,23.835,0.0,1.0,1.0,1.0,0,0,2.789301519393921,1.0,1.0
6,200,48.255854684517814,2.6455928300033467,19.165,0.09,0.91,1.0,0.91,0,18,2.7898015666007994,1.0,1.0
7,200,36.97682655518675,3.5230210535706705,20.12,0.115,0.885,0.96045197740113,0.85,7,23,2.788574172258377,1.0,1.0
8,200,39.115698114552536,3.4993148438689854,22.18,0.1,0.9,1.0,0.9,0,20,2.7880255675315855,1.0,1.0
9,200,37.34739261883086,4.45217330075678,22.905,0.0,1.0,1.0,1.0,0,0,2.7869243741035463,1.0,1.0
10,200,47.488838508360374,2.7149272783355918,17.945,0.09,0.91,1.0,0.91,0,18,2.789802497625351,1.0,1.0
11,200,40.825686241178985,5.72159780598555,23.205,0.0,1.0,1.0,1.0,0,0,2.7876836478710176,1.0,1.0
12,200,52.13824983902766,2.971786602004103,23.74,0.0,1.0,1.0,1.0,0,0,2.7894220888614654,1.0,1.0
13,200,52.486419461530886,2.6412303543719644,20.065,0.0,1.0,1.0,1.0,0,0,2.7898051238059995,1.0,1.0
14,200,47.50076014456836,3.6017803652104075,21.335,0.0,1.0,1.0,1.0,0,0,2.7888483214378357,1.0,1.0
15,200,48.95191545037615,3.003268934906144,21.87,0.0,1.0,1.0,1.0,0,0,2.789447785615921,1.0,1.0
16,200,53.235697159576574,2.6831182960093396,20.79,0.0,1.0,0.995,0.995,1,0,2.790132588148117,1.0,1.0
17,200,32.63687022354256,3.7252752006181935,18.21,0.19,0.81,1.0,0.81,0,38,2.7882518088817596,1.0,1.0
18,200,35.17217406971037,3.4099331340251244,21.335,0.1,0.9,0.8944444444444445,0.805,19,20,2.7887475526332857,1.0,1.0
19,200,42.80705969821771,4.1858160017534285,21.325,0.0,1.0,1.0,1.0,0,0,2.7878531301021576,1.0,1.0
20,200,40.974677835462515,3.0511379644940724,18.39,0.075,0.925,0.918918918918919,0.85,15,15,2.7893194246292112,1.0,1.0
