episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi,top1_pair_frequency,pair_selection_entropy
1,200,61.36772595066687,2.0878253775496525,22.855,0.0,1.0,1.0,1.0,0,0,3.0151971232891084,0.06,0.04395,0.08,3.21615019350627
2,200,60.42996705740852,2.127043055721551,21.265,0.0,1.0,1.0,1.0,0,0,2.772651906609535,0.165,0.05915,0.165,3.0973915566599435
3,200,62.01608308901191,2.073342673308614,22.12,0.0,1.0,1.0,1.0,0,0,3.014046255350113,0.045,0.046600000000000016,0.095,3.19025662832425
4,200,62.02801828073065,2.0287508941079695,22.345,0.0,1.0,1.0,1.0,0,0,2.982517929673195,0.065,0.04805000000000001,0.095,3.1567616335571356
5,200,61.99004483167401,2.0440895148581206,20.695,0.0,1.0,1.0,1.0,0,0,2.752213667035103,0.115,0.05165,0.115,3.1178077619326943
6,200,61.854781118395,2.032237345912263,20.45,0.0,1.0,1.0,1.0,0,0,2.8564577955007553,0.085,0.04755000000000001,0.095,3.178703746303956
7,200,59.34643744208551,1.9951175170649982,18.115,0.055,0.945,1.0,0.945,0,11,2.563810554742813,0.15,0.06415,0.15,3.0039139427334436
8,200,61.11511265826815,2.0917228399560477,22.475,0.0,1.0,1.0,1.0,0,0,2.9715099966526033,0.075,0.04375000000000001,0.075,3.21523188460564
9,200,62.08034727077266,2.054608216615583,19.54,0.0,1.0,1.0,1.0,0,0,2.6627280369400976,0.17,0.05980000000000002,0.17,3.108773486831568
10,200,61.880261895037094,2.057305790243256,24.155,0.0,1.0,1.0,1.0,0,0,3.1383631372451783,0.035,0.04400000000000002,0.075,3.214835455735302
11,200,61.980228001087546,2.051694144292849,21.055,0.0,1.0,1.0,1.0,0,0,2.9123600333929063,0.105,0.049350000000000005,0.105,3.1535453994840412
12,200,61.26683470163633,2.0425334318243586,21.44,0.0,1.0,1.0,1.0,0,0,2.904570972919464,0.07,0.045050000000000014,0.08,3.1982579018032014
13,200,60.65903624534309,2.1579599625606467,23.75,0.0,1.0,1.0,1.0,0,0,3.115969468355179,0.05,0.04355000000000001,0.065,3.2058779833352165
14,200,62.67459793465563,2.016378675615741,19.08,0.0,1.0,1.0,1.0,0,0,2.682260984480381,0.14,0.06105000000000001,0.14,3.06548920422276
15,200,57.8746902250625,1.9952542239088604,19.17,0.09,0.91,1.0,0.91,0,18,2.578713030219078,0.18,0.06665,0.18,3.0208555257368164
16,200,52.93915733083335,2.0118272428084056,18.935,0.15,0.85,1.0,0.85,0,30,2.4535521042346953,0.03,0.08470000000000001,0.235,2.941171566511336
17,200,62.562967863523205,2.0504193076763757,19.8,0.0,1.0,1.0,1.0,0,0,2.7131991252303123,0.105,0.05580000000000001,0.11,3.082978110015077
18,200,62.64228858543638,2.037564451970683,21.64,0.0,1.0,1.0,1.0,0,0,2.8946483719348906,0.05,0.04295,0.065,3.2192653474796407
19,200,60.64615404325859,2.102469485827582,23.075,0.0,1.0,1.0,1.0,0,0,3.0261234319210053,0.08,0.046750000000000014,0.09,3.1785067372211526
20,200,60.91538972633596,2.103455001111779,24.685,0.0,1.0,1.0,1.0,0,0,3.160392171740532,0.05,0.041550000000000004,0.07,3.2493849353113182
21,200,61.109293722918274,2.0730102104798616,23.755,0.0,1.0,1.0,1.0,0,0,3.0648225969076157,0.045,0.042800000000000005,0.075,3.226107831250853
