policy,server_id,selection_count,primary_count,backup_count,utilization,mean_queue_length,p95_queue_length,mean_waiting_time,busy_time,observation_time,replica_wait_count
pair,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7971.936908912254,0
pair,2,0,0,0,0.0,0.0,0.0,0.0,0.0,7971.936908912254,0
pair,3,0,0,0,0.0,0.0,0.0,0.0,0.0,7971.936908912254,0
pair,4,0,0,0,0.0,0.0,0.0,0.0,0.0,7971.936908912254,0
pair,5,0,0,0,0.0,0.0,0.0,0.0,0.0,7971.936908912254,0
pair,6,6,6,0,0.001512659177712579,0.0,0.0,0.0,12.058823529411768,7971.936908912254,6
pair,7,3994,3994,0,0.7369950170089142,1.1858882932088761,5.0,2.3670071743812713,5875.277777777777,7971.936908912254,3994
pair,8,4000,0,4000,0.6645812756090788,0.7375582627563774,3.0,1.469941984335192,5298.000000000002,7971.936908912254,4000
