episode,episode_reward,episode_total_delay
1,10580.291098436535,426.9155124275132
2,9201.32572482328,428.32701018871643
3,9290.804402146328,439.1118206048069
4,9724.210721766865,418.199656357334
5,8735.696753880045,422.35395485233255
6,8714.955635868917,423.3174732816129
7,8022.8285204897375,426.5796879168421
8,9993.325607076507,421.0661966697338
9,8523.452774744212,419.01654562018683
10,10699.20158519867,424.7540612243098
11,9115.072070660564,444.6767814474923
12,9258.824729060672,426.5560656200149
13,10168.727723272414,432.5391547450234
14,8952.830771761766,409.5248024259437
15,8569.363440093204,417.0501692429777
16,8260.004759806798,411.93655828412096
17,8455.08047976553,422.3813229336581
18,9402.391729896777,426.68041526496245
19,9946.742573878788,443.47751425148215
20,10942.305132955784,428.8239334172143
21,10259.724707173562,430.5805171379994
22,10634.964340137885,413.6763180460296
23,10430.97308398046,437.66081975828166
24,6896.9765670293355,442.9496101445126
25,8084.701172477909,417.32986162288864
26,9863.78610661484,430.69374615520655
27,9433.914511641906,415.51233609945933
28,8139.893903516375,421.9585300410806
29,11169.23949604742,419.9956592224617
30,8842.641913409301,432.82865171865245
31,8288.90487079019,416.3777188942669
32,10055.739688897815,418.5320567811265
33,10054.482255414661,409.5860929847096
34,8634.646820503405,451.56308526161035
35,11163.181276074205,418.4037936103505
36,9341.5899159478,433.0998146124675
37,8760.404785827197,430.4729445728898
38,8744.121290786854,434.62501631029573
39,7140.3112677030895,440.69880300740226
40,11091.28789910606,423.1107554843009
41,9724.664249963718,418.46510356882374
42,9498.81514853686,430.2600982265723
43,8932.332221351247,440.37755435064065
44,9540.478903402347,408.20084321512047
45,9907.49023552444,421.2141338942604
46,10149.892549551045,425.5890920243364
47,9758.163089200702,416.94656535258537
48,10756.136808352761,418.38027212058216
49,8411.139358483513,427.54733458053624
50,10459.675543957985,423.4248805890696
51,9762.484692573731,421.5428177373679
52,10281.558695421581,400.9109981560601
53,8506.32448943833,424.29644995392215
54,10617.593981701913,425.6281073468818
55,9913.938987885076,420.2405485853883
56,9713.327742365718,421.57383551199473
57,9536.26791138367,435.1290603192638
58,9857.289504982793,462.4688105964504
59,9680.073583506075,414.78186342315104
60,8087.478009656579,440.9782102474028
61,10523.98614559499,422.4089969053716
62,11823.064564212818,417.0543628658435
63,8532.616104604636,413.2900057361902
64,10109.164949701568,410.0636158653368
65,8918.797539282636,415.00517352150905
66,9195.957290451759,422.72247759116436
67,9857.385204209106,407.0557530695288
68,9927.667002452605,417.689452410004
69,7833.951364245649,415.78240485398896
70,7883.315224814882,421.1027524924193
71,9035.615417997251,421.27139518689165
72,8636.342021609018,416.0082877051174
73,7560.554936572807,422.02602909202614
74,9556.66558959935,415.9231241963207
75,9701.374283677806,429.5208866978957
76,11010.544397280857,426.5803384245281
77,11392.048869669434,409.7337779705522
78,9780.025762114894,425.8715971317956
79,9886.96934977049,412.2342735487687
80,7209.996495941778,428.6127750711936
81,10399.925958582127,416.0689576550256
82,10108.8335726047,408.9764803335177
83,11052.822905103982,410.51056321632734
84,11040.472777097133,407.28662129334856
85,9743.860261839209,412.80062881067147
86,8999.29016333979,420.1741189564393
87,9643.635384336834,411.6863143515985
88,9492.159038321264,425.01113816568426
89,10197.471071381306,411.2945602745032
90,11796.594616334794,416.2140708180947
91,10451.5872528449,419.8355574429625
92,10430.574546601973,415.57068789707466
93,7925.691142598262,410.8089558500325
94,8885.42818178989,409.5118387546064
95,9360.098139685912,400.8599193764991
96,10535.546348955982,407.60412610029124
97,9455.660825079727,408.8309013772378
98,9383.65253360366,416.974029227969
99,10066.146803895137,421.1881113953094
100,9804.40276004003,411.871673062582
101,9257.079969652566,411.25970433014675
102,10501.77851721801,426.63476046691153
103,9835.28557991569,417.74358509346285
104,11455.774821507983,423.7242619643993
105,11470.092945437143,399.35629565946454
106,10339.708043227618,420.4081968074463
107,10824.247162449708,408.4441588744427
108,11555.30079671682,406.8842102206316
109,9748.123525760962,429.9944372319445
110,7869.232168909758,404.4065699823243
111,11201.206334151333,416.54388751207176
112,9111.305726339764,418.15320242752307
113,10371.82404708787,416.26848818205093
114,8387.272489517803,408.0858986470443
115,9432.63196857542,410.23942494574584
116,9029.387736281682,415.91753425792376
117,10699.267113182039,419.4565388175005
118,9356.13785797572,410.37459392675765
119,8320.902307335342,413.6252003895735
120,8560.74836085353,426.6034083409064
121,9231.918636494496,412.183527026381
122,11634.337116414681,420.24289491995995
123,9958.250254027316,418.1703320753115
124,9448.071023313527,414.6545578300912
125,10121.073118641592,400.2914160083297
126,10214.31823804339,407.2779593115081
127,9291.046373089883,411.7118583732294
128,9290.346329943415,426.9009074279447
129,11447.761774044802,405.8147926068116
130,9888.442701263026,412.6337512753576
131,9589.66757656284,412.98294266034384
132,10684.125842318344,414.47383592721746
133,9742.566908511842,413.02891049926666
134,10766.879149753722,399.61025632372883
135,11641.575097340496,415.7298485090213
136,10779.515750645402,401.0099295966482
137,10742.865753908172,419.6029612729439
138,10436.188082781813,412.9181196336031
139,10567.709450809065,417.85750563067637
140,9152.037805875949,421.3211613445578
141,11696.618905203517,405.6642068855625
142,9022.265825433542,405.86221792235244
143,11083.631420221662,407.8855467924853
144,9493.608699697432,408.1450106222982
145,10808.526589076433,399.19477531370745
146,11422.186198071242,414.6582223549706
147,10925.529636652043,411.75927789724176
148,9776.884444149666,405.5250185892606
149,10854.576315742584,412.00965800735514
150,9895.902052515943,403.26297965543233
151,11024.096373895361,396.5639312424554
152,10230.67610728785,400.6029844513894
153,9943.25173475647,407.99366476684645
154,9127.864331310748,407.9204912577297
155,9997.532153377462,402.64391486551574
156,10407.730110323142,415.887399972994
157,11642.8036407365,394.13845558989703
158,11859.267251121397,427.1730118805429
159,10696.892561835783,412.466898830282
160,10415.728609965132,396.37331727185506
161,10535.845243124391,404.04500286293495
162,10311.72126832839,402.5154742335794
163,11189.85716928261,409.74012967021514
164,9759.176764089918,399.59248623572813
165,11371.417328260126,410.1023988128795
166,10985.229570844633,401.95686112272546
167,10055.094944424935,409.79915001271615
168,10934.326070934912,421.35834638994606
169,11833.190186994354,400.9261134150417
170,9501.407379129512,405.21908598023657
171,10658.90207131847,399.7729935590911
172,10539.384534246688,411.50704018482946
173,12060.368296331715,408.65978295113143
174,9669.040038000521,410.4276069919991
175,9846.266589348557,398.24766772726815
176,10717.004007245096,407.5107108774861
177,11282.057846334981,404.22248813411824
178,10765.108639276215,407.72127933538934
179,8094.773794235294,407.3282626345872
180,10325.575253683843,405.90709816474293
181,10130.12107351211,403.2312740808687
182,7087.274538791884,409.9792008488915
183,10969.799407861014,410.40371483860525
184,11905.56154026776,397.3497272109715
185,11499.98675981969,415.78559949148854
186,11348.865410729739,413.97475133485636
187,11037.753195221194,417.1003135962834
188,11899.404923260106,403.88363925830714
189,11253.148807140287,405.3415728822755
190,10527.381482111346,404.24601781428163
191,11215.435495375928,405.41781896186075
192,10693.119565170411,390.48595840993187
193,11327.352249902788,406.4939443736335
194,11264.173209386012,414.05581855767707
195,12154.318959314145,412.97982473304273
196,11290.955158923412,393.8647301663397
197,10090.064851103669,416.1604804397383
198,8873.281303481444,398.29247805065506
199,10904.01022672346,397.82492567575974
200,11705.981664838666,394.96114808028403
201,12134.279832403403,398.2200466677996
202,10218.878993589304,403.50625786296166
203,10185.094318984513,398.4797868285121
204,10653.898978168358,412.38237496876263
205,11889.497371063218,392.6075579903258
206,8080.210204261421,395.456237325195
207,10506.337960232726,405.9240112138776
208,10820.153211941753,396.9614101688668
209,10765.853551066175,413.06618724619517
210,12131.909496518665,391.0630661470273
211,11739.801480990445,425.4235718137605
212,11340.249278299882,400.2974631068474
213,9817.822196130708,403.096861455369
214,9835.775121857008,398.34463185153874
215,11333.676312413989,392.5336835442492
216,11506.01619655402,415.6086355498302
217,11379.415065813953,406.71278985891854
218,11769.833279804412,406.42382558876085
219,10163.097645821435,410.20182026629095
220,11645.959430461307,428.7183020025912
221,11205.46862685121,398.4141502082497
222,10898.377706682655,392.9409604592713
223,9895.462617553761,411.77304422092465
224,10636.600709017013,417.62044356316363
225,11364.080853040718,396.06270482687876
226,10200.618128886901,400.46047105372224
227,10598.475586420533,398.99351045929075
228,11658.920469957526,399.85686852787046
229,11826.21715808458,392.1536938762802
230,10848.858870940017,404.03945755039626
231,11020.820270453694,407.6257065732804
232,9827.43293265931,425.54314699377323
233,11343.321013311514,402.8091386427334
234,10716.281125941843,405.6306153116804
235,11813.93780295403,395.93736984307606
236,11307.330349871268,398.3297810616179
237,10848.173064922046,410.69107675203884
238,9774.423214514012,428.55548069666594
239,11048.455532788881,397.3498119525273
240,11912.809046314434,409.9873956967308
241,11428.000558080985,422.30134520289397
242,10850.631574610814,412.5127490599426
243,10618.638806001034,405.5173843014628
244,11673.911280488594,395.50750077454126
245,12319.229340484311,403.5770232272926
246,10694.231212698613,398.79142865546555
247,12185.644149785105,401.6227153525009
248,11878.177393482803,404.9040673915872
249,9297.279259926432,398.59363301632607
250,11327.530234782069,426.76751194677087
251,10170.793071888464,400.5135542141835
252,11816.255960256873,402.4888402913215
253,10945.774498435272,406.76085506963426
254,10654.347406710142,399.7891677273725
255,9117.516672475002,396.5639677246185
256,9787.224906887042,403.7783277380513
257,11220.638302821148,407.9944032999845
258,11363.636792754165,405.6896244629181
259,10577.60378096545,402.7991681944556
260,11434.120099185051,402.18185513789
261,11717.859231987757,402.95067353305626
262,10261.200959052243,412.22091172963223
263,11234.659071661114,431.0474666169602
264,10916.687187335408,398.05281884535253
265,11380.69318094273,407.6679648477204
266,8294.323859424912,404.671105982434
267,11451.84900036817,408.4929825997584
268,10929.028899249468,413.61305486661695
269,11427.3067143041,412.82526529308467
270,9007.800981179404,408.45829399648466
271,12168.255886887619,399.6481961639882
272,11442.282897858142,406.62508318216805
273,11746.566489674664,400.49377487237814
274,11658.710301252962,408.22727500224994
275,9195.14355589728,410.7680962288738
276,9424.032342241742,405.80080524128704
277,11235.869919483135,412.8477492103603
278,12034.693788369284,401.0844250325744
279,11654.251949265212,410.430603529158
280,11303.159706248842,397.2172836147568
281,9995.85489834219,420.62607077856546
282,8858.099935568765,427.75168828772735
283,10504.420110517685,396.90990240057545
284,10120.154178194796,390.6279072377411
285,11806.534268873593,408.8238375187287
286,10974.866264503169,404.11074025251054
287,11036.062046956902,412.6174274037577
288,10797.564994886472,417.69203229389404
289,10509.075761326108,410.8877974749637
290,10063.853745759134,413.40216260989575
291,12112.034752155236,398.63265856216435
292,10116.328332748466,415.26571940199386
293,11077.183410663707,395.2830861408273
294,9126.566383784835,419.69855086476696
295,10992.56054432092,422.6423498632097
296,11602.938904741435,404.80804518820344
297,10871.377908963628,403.7530032455984
298,11434.157964753616,390.9795497966043
299,10137.839401085095,409.3993385395855
300,12424.92566590835,406.18867443113965
