state_id,trial_id,requirement,load_tertile,safe_set_size,effective_set_size,coupling_group,q_spread,q_std_safe,q_predicted_action,actor_predicted_action,horizon,q_spearman,q_kendall,q_top1_hit,q_top3_hit,q_top5_hit,q_regret,q_optimal_set_size,actor_spearman,actor_kendall,actor_top1_hit,actor_top3_hit,actor_top5_hit,actor_regret,random_top1_hit,random_top3_hit,random_top5_hit,actor_probability_spearman
trial_000_ep1_task125,0,0.999,medium,6,6,easy,0.000652313232421875,0.00019225467985961586,16,27,50,0.5161002296110789,0.447213595499958,True,True,True,0.0,3,0.09107651110783746,0.14907119849998599,True,True,True,0.0,0.5,0.95,1.0,1.0
trial_000_ep1_task129,0,0.9999,high,0,1,easy,0.0,0.0,25,25,5,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task129,0,0.9999,high,0,1,easy,0.0,0.0,25,25,10,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task129,0,0.9999,high,0,1,easy,0.0,0.0,25,25,20,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task129,0,0.9999,high,0,1,easy,0.0,0.0,25,25,50,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task130,0,0.9,high,28,28,easy,0.012454986572265625,0.00346780801191926,5,27,5,-0.14164519053058927,-0.11193502383496336,False,False,False,31.29585712733072,7,0.2801879288816103,0.20064308847628198,False,False,True,4.419981257464315,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task130,0,0.9,high,28,28,easy,0.012454986572265625,0.00346780801191926,5,27,10,-0.14164519053058927,-0.11193502383496336,False,False,False,31.29585712733069,7,0.2801879288816103,0.20064308847628198,False,False,True,4.419981257464315,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task130,0,0.9,high,28,28,easy,0.012454986572265625,0.00346780801191926,5,27,20,-0.14164519053058927,-0.11193502383496336,False,False,False,31.29585712733069,7,0.2801879288816103,0.20064308847628198,False,False,True,4.419981257464315,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task130,0,0.9,high,28,28,easy,0.012454986572265625,0.00346780801191926,5,27,50,-0.14164519053058927,-0.11193502383496336,False,False,False,31.29585712733069,7,0.2801879288816103,0.20064308847628198,False,False,True,4.419981257464315,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task133,0,0.99,high,26,26,easy,0.00612640380859375,0.0016202630940824747,5,27,5,0.30954870243532195,0.22722961560641844,True,True,True,0.0,6,0.6229019140625864,0.4934128796025087,True,True,True,0.0,0.23076923076923073,0.5615384615384615,0.7643052599574338,0.9999999999999999
trial_000_ep1_task133,0,0.99,high,26,26,easy,0.00612640380859375,0.0016202630940824747,5,27,10,0.30954870243532195,0.22722961560641844,True,True,True,0.0,6,0.6229019140625864,0.4934128796025087,True,True,True,0.0,0.23076923076923073,0.5615384615384615,0.7643052599574338,0.9999999999999999
trial_000_ep1_task133,0,0.99,high,26,26,easy,0.00612640380859375,0.0016202630940824747,5,27,20,0.30954870243532195,0.22722961560641844,True,True,True,0.0,6,0.6229019140625864,0.4934128796025087,True,True,True,0.0,0.23076923076923073,0.5615384615384615,0.7643052599574338,0.9999999999999999
