horizon,load_tertile,state_count,q_spearman,q_kendall,q_top1_hit_rate,q_top3_hit_rate,q_top5_hit_rate,q_mean_regret,q_median_regret,q_spread_mean,q_safe_std_mean,q_mean_effective,actor_spearman,actor_kendall,actor_top1_hit_rate,actor_top3_hit_rate,actor_top5_hit_rate,actor_mean_regret,random_top1_hit_rate,random_top3_hit_rate,random_top5_hit_rate
5,high,337,0.01206846267395607,0.012450379269083036,0.4094955489614243,0.5400593471810089,0.6913946587537092,11.823403186719275,4.675031953002531,0.003976827559202291,0.001073578407401385,43.45339119115994,0.3327841413022406,0.26918766317272114,0.5637982195845698,0.8071216617210683,0.8931750741839762,7.648386810717709,0.32430097583295936,0.6289927066552833,0.7932655877998643
5,low,345,0.3368608320637591,0.25864453918611663,0.5855072463768116,0.6840579710144927,0.9304347826086956,5.095213144870662,0.0,0.004745472341343976,0.00134882524493994,43.45283899721892,0.49440718792235644,0.41468782279073785,0.6318840579710145,0.8608695652173913,0.9565217391304348,5.681599709924613,0.3014528163808657,0.61892790865407,0.7952946705688019
5,medium,318,0.16265857023779612,0.12423777276013226,0.46540880503144655,0.5849056603773585,0.8050314465408805,7.3982895477248665,0.9560805563172039,0.004377113198334316,0.0012220836398462653,43.4530831223014,0.4417318387327277,0.36001087125992093,0.5849056603773585,0.8238993710691824,0.9465408805031447,6.219341203829878,0.31388935325065176,0.6357549977309424,0.8052239228511344
10,high,337,-0.0013832545891624309,0.0013701873346500272,0.39762611275964393,0.5252225519287834,0.6706231454005934,12.05296359701974,4.954322948790548,0.003976827559202291,0.001073578407401385,43.45339119115994,0.3163800668097552,0.25674950778741623,0.5341246290801187,0.7744807121661721,0.8545994065281899,8.086281217011438,0.31505525266322637,0.6149750721015889,0.7795798499771731
10,low,345,0.3326300040361812,0.255213247073162,0.5739130434782609,0.672463768115942,0.9188405797101449,5.012893724256446,0.0,0.004745472341343976,0.00134882524493994,43.45283899721892,0.49156428805368674,0.411545866349256,0.6260869565217392,0.8521739130434782,0.9391304347826087,5.59151837544828,0.2969329697557559,0.6115396808874601,0.7879284784771313
10,medium,318,0.16184717454868486,0.12325800632710661,0.46540880503144655,0.5849056603773585,0.7955974842767296,7.378211731157841,0.9560805563172323,0.004377113198334316,0.0012220836398462653,43.4530831223014,0.43719736437094364,0.3556682405594955,0.5754716981132075,0.8018867924528302,0.9371069182389937,6.356943611660414,0.305248054671224,0.6247636223669083,0.7956385090287289
20,high,337,-0.0017249231009594933,0.0010613032761602062,0.39762611275964393,0.5252225519287834,0.6706231454005934,12.087321828584619,4.954322948790548,0.003976827559202291,0.001073578407401385,43.45339119115994,0.3157359855244668,0.25633346624432984,0.5341246290801187,0.7744807121661721,0.8545994065281899,8.129638920624723,0.31505525266322637,0.6149750721015889,0.7795798499771731
20,low,345,0.3325309750831628,0.25512764990549963,0.5739130434782609,0.672463768115942,0.9188405797101449,5.052983786203593,0.0,0.004745472341343976,0.00134882524493994,43.45283899721892,0.49167447776810547,0.4115491347413065,0.6260869565217392,0.8521739130434782,0.9391304347826087,5.6316084373954265,0.2965188910808077,0.6105186407359852,0.7865399287552484
20,medium,318,0.16184348082214114,0.12323960895875848,0.46540880503144655,0.5849056603773585,0.7955974842767296,7.378211731157841,0.9560805563172323,0.004377113198334316,0.0012220836398462653,43.4530831223014,0.43717151182343206,0.3556498675424067,0.5754716981132075,0.8018867924528302,0.9371069182389937,6.356943611660418,0.305248054671224,0.6247636223669083,0.7956385090287289
50,high,337,-0.0017249231009594933,0.0010613032761602062,0.39762611275964393,0.5252225519287834,0.6706231454005934,12.087321828584619,4.954322948790548,0.003976827559202291,0.001073578407401385,43.45339119115994,0.3157359855244668,0.25633346624432984,0.5341246290801187,0.7744807121661721,0.8545994065281899,8.129638920624723,0.31505525266322637,0.6149750721015889,0.7795798499771731
50,low,345,0.3325309750831628,0.25512764990549963,0.5739130434782609,0.672463768115942,0.9188405797101449,5.052983786203592,0.0,0.004745472341343976,0.00134882524493994,43.45283899721892,0.49167447776810547,0.4115491347413065,0.6260869565217392,0.8521739130434782,0.9391304347826087,5.631608437395424,0.2965188910808077,0.6105186407359852,0.7865399287552484
50,medium,318,0.16184348082214114,0.12323960895875848,0.46540880503144655,0.5849056603773585,0.7955974842767296,7.3782117311578395,0.9560805563172323,0.004377113198334316,0.0012220836398462653,43.4530831223014,0.43717151182343206,0.3556498675424067,0.5754716981132075,0.8018867924528302,0.9371069182389937,6.356943611660418,0.305248054671224,0.6247636223669083,0.7956385090287289
