horizon,state_count,q_spearman,q_kendall,q_top1_hit_rate,q_top3_hit_rate,q_top5_hit_rate,q_mean_regret,q_median_regret,q_spread_mean,q_safe_std_mean,q_mean_effective,actor_spearman,actor_kendall,actor_top1_hit_rate,actor_top3_hit_rate,actor_top5_hit_rate,actor_mean_regret,random_top1_hit_rate,random_top3_hit_rate,random_top5_hit_rate
5,1000,0.17383408133273107,0.13431153550696787,0.488,0.604,0.81,8.094991485081282,0.26034168170352245,0.004369300842285156,0.0012157632302696583,43.45310271835327,0.4242022063780807,0.3491563597765241,0.594,0.831,0.932,6.515408757953761,0.31310746484081325,0.6276707599069242,0.7977683719014517
10,1000,0.16747213960616067,0.12900112407174974,0.48,0.595,0.796,8.13756839757232,0.515636334620666,0.004369300842285156,0.0012157632302696583,43.45310271835327,0.4162593096738588,0.3424852210361259,0.579,0.81,0.91,6.675658678170523,0.3056843760986923,0.616902621117086,0.7875667803880534
20,1000,0.1673236631801144,0.12886342307625828,0.48,0.595,0.796,8.16297819298145,0.5156363346207229,0.004369300842285156,0.0012157632302696583,43.45310271835327,0.4160767836170094,0.3423431194388825,0.579,0.81,0.91,6.704101295659966,0.30554151895583515,0.6165503622648272,0.7870877307340038
50,1000,0.1673236631801144,0.12886342307625828,0.48,0.595,0.796,8.162978192981448,0.515636334620666,0.004369300842285156,0.0012157632302696583,43.45310271835327,0.4160767836170094,0.3423431194388825,0.579,0.81,0.91,6.704101295659966,0.30554151895583515,0.6165503622648272,0.7870877307340038
