episode,transitions,q_updates,q_loss,q_target_mean,q_target_std,q_pred_mean,q_pred_std,td_error_mean,td_error_std,td_error_abs_p95,q_min,q_max,target_q_min,target_q_max,target_q_mean,target_q_std,trial_id
1,200,4,61.01398468017578,61.708587646484375,24.6980037689209,0.0976320058107376,0.0411858893930912,61.610958099365234,24.691518783569336,111.49668884277344,0.1877713203430175,0.5498420596122742,-0.0092728864401578,0.2194440066814422,0.1041029468178749,0.0377235375344753,0
2,200,4,61.15329933166504,62.110450744628906,23.90998268127441,0.3577031195163727,0.0652067735791206,61.75275039672852,23.918487548828125,110.62850952148438,0.3859604597091675,0.9290950298309326,-0.0068561173975467,0.2295431941747665,0.107642263174057,0.0384043715894222,0
3,200,4,61.74343681335449,62.97404479980469,24.223520278930664,0.6259050369262695,0.0936934724450111,62.3481330871582,24.2363395690918,110.3683853149414,0.5849263072013855,1.322604775428772,-0.0028034877032041,0.2367806434631347,0.1154075041413307,0.0389862693846225,0
4,200,4,57.19557094573975,56.735626220703125,31.33549118041992,0.9007932543754578,0.107803426682949,55.8348388671875,31.35562896728516,109.9244613647461,0.8021805286407471,1.6780107021331787,0.0079156477004289,0.2475191056728363,0.1282292753458023,0.0401656180620193,0
5,200,4,59.17084217071533,60.90436935424805,24.456695556640625,1.2113070487976074,0.1472768783569336,59.69306182861328,24.477548599243164,109.68522644042967,1.0409549474716189,2.0867624282836914,0.0151136238127946,0.2696940898895263,0.1464030295610427,0.0420194081962108,0
6,200,4,59.6850004196167,61.74790191650391,24.941648483276367,1.543046474456787,0.1753284782171249,60.204864501953125,24.953039169311523,109.32498931884766,1.2971776723861694,2.511238813400269,0.0386965274810791,0.3090213537216186,0.1680369526147842,0.0441990122199058,0
7,200,4,59.13780689239502,61.62776947021485,25.564285278320312,1.8631221055984497,0.1851001232862472,59.76465225219727,25.579395294189453,110.43367004394533,1.579816460609436,2.84551739692688,0.0582387000322341,0.3341062366962433,0.1944596618413925,0.046723797917366,0
8,200,4,59.62269592285156,62.44034194946289,23.232267379760746,2.191450595855713,0.2087198346853256,60.24888610839844,23.29031562805176,104.73140716552734,1.8499714136123655,3.187520742416382,0.0807844996452331,0.3746405839920044,0.2240423411130905,0.0498935356736183,0
9,200,4,58.82840061187744,61.87536239624024,23.946496963500977,2.5375173091888428,0.2111348658800125,59.33784103393555,23.99532890319824,108.38011169433594,2.1380741596221924,3.479310750961304,0.0967815220355987,0.4165256023406982,0.2584086954593658,0.0530927255749702,0
10,200,4,56.214720726013184,57.79075241088867,29.811159133911133,2.8357880115509038,0.2154725193977356,54.954959869384766,29.87492561340332,102.75015258789062,2.407599687576294,3.778046607971192,0.1093821004033088,0.4758487343788147,0.2963226735591888,0.05788354575634,0
11,200,4,58.33966636657715,62.13759231567383,24.5972843170166,3.185463190078736,0.2242920696735382,58.952125549316406,24.656553268432617,107.95258331298828,2.711207151412964,4.01337194442749,0.1232244148850441,0.5194989442825317,0.3390292823314667,0.0631895586848259,0
12,200,4,58.39622020721436,62.469215393066406,25.84603500366211,3.46724009513855,0.2146826684474945,59.00197219848633,25.894323348999023,108.5643081665039,2.964834451675415,4.235281944274902,0.1382931768894195,0.5791968107223511,0.38461834192276,0.0689233019948005,0
13,200,4,57.49621772766113,61.82309722900391,23.750856399536133,3.726983308792114,0.2054436951875686,58.09611511230469,23.817890167236328,107.63874816894533,3.2640342712402344,4.460103511810303,0.1545730233192443,0.6535990238189697,0.4343222081661224,0.0745116397738456,0
14,200,4,59.00932693481445,63.62704086303711,25.28873634338379,4.0245890617370605,0.191409483551979,59.60246276855469,25.31355094909668,110.20408630371094,3.494236469268799,4.648108959197998,0.1720692217350006,0.7241950631141663,0.4869756996631622,0.0813800618052482,0
15,200,4,57.04801559448242,61.76689910888672,24.713058471679688,4.269891262054443,0.1827981919050216,57.497013092041016,24.760055541992188,110.89180755615234,3.780718564987183,4.854458332061768,0.1907921433448791,0.8051727414131165,0.5442756414413452,0.0883769616484642,0
16,200,4,53.4201078414917,54.944091796875,32.99835205078125,4.490727424621582,0.1608058363199234,50.45336532592773,33.05664825439453,102.80139923095705,3.988770008087158,5.045549392700195,0.2107482403516769,0.9034745693206788,0.6055170297622681,0.0968156978487968,0
17,200,4,57.46149826049805,62.75700378417969,25.25184631347656,4.716394424438477,0.1617155820131302,58.04059982299805,25.28990173339844,108.27005767822266,4.309276103973389,5.215035915374756,0.2319598495960235,0.9837933778762816,0.6705818772315979,0.1043905094265937,0
18,200,4,56.75888156890869,62.25299453735352,24.090797424316406,4.918542385101318,0.156238704919815,57.33445358276367,24.11509704589844,100.98028564453124,4.521741390228272,5.394263744354248,0.2544581890106201,1.0830968618392944,0.7390555143356323,0.1124765425920486,0
19,200,4,57.13886547088623,62.68999099731445,25.753604888916016,5.1120285987854,0.1486048549413681,57.57796478271485,25.797855377197266,108.22061157226562,4.690685272216797,5.562019348144531,0.2782609760761261,1.1833410263061523,0.8107256293296814,0.122670866549015,0
20,200,4,57.03041744232178,62.38776397705078,25.867206573486328,5.327523231506348,0.1191586181521415,57.06023406982422,25.901241302490234,104.40852355957033,4.89878511428833,5.719397068023682,0.3033933341503143,1.2726048231124878,0.8842619061470032,0.1308669149875641,0
21,200,4,57.112820625305176,63.05027389526367,23.66297721862793,5.502249717712402,0.1156238168478012,57.54802703857422,23.693225860595703,104.20986938476562,5.078770637512207,5.883418560028076,0.3298811912536621,1.3911229372024536,0.9635472893714904,0.1401528120040893,0
22,200,4,55.38182735443115,61.635250091552734,24.056541442871094,5.688236713409424,0.106727696955204,55.9470100402832,24.077884674072266,105.8242645263672,5.316425800323486,6.038811206817627,0.3577446937561035,1.4932048320770264,1.0466232299804688,0.1492953449487686,0
23,200,4,56.26961612701416,62.6738395690918,23.4019832611084,5.84019660949707,0.1149153113365173,56.83363723754883,23.430360794067383,105.49071502685548,5.485450744628906,6.195531368255615,0.3870086967945099,1.6232435703277588,1.131278157234192,0.1593480259180069,0
24,200,4,55.83804988861084,62.422271728515625,24.5307559967041,6.021839141845703,0.1085558235645294,56.40043640136719,24.56640243530273,105.32241821289062,5.693065166473389,6.347180843353272,0.4152475595474243,1.7320399284362793,1.2213857173919678,0.1686726361513137,0
25,200,4,55.32200527191162,60.3189811706543,29.71923828125,6.181581497192383,0.0966732054948806,54.13739776611328,29.74757575988769,109.4854965209961,5.931101322174072,6.501859188079834,0.4445966780185699,1.8749370574951167,1.3131699562072754,0.1792171448469162,0
