horizon,state_count,q_spearman,q_kendall,q_top1_hit_rate,q_top3_hit_rate,q_top5_hit_rate,q_mean_regret,q_median_regret,q_spread_mean,q_safe_std_mean,actor_spearman,actor_kendall,actor_top1_hit_rate,actor_top3_hit_rate,actor_top5_hit_rate,actor_mean_regret,random_top1_hit_rate,random_top3_hit_rate,random_top5_hit_rate
5,100,0.17736384200411234,0.13700401501578788,0.54,0.61,0.79,6.324218805731898,0.0,0.004414176940917969,0.0012106275199039373,0.3442713424533779,0.28200513962945506,0.69,0.82,0.91,4.540395883793167,0.4451389286639287,0.7039613068091328,0.8443981040253924
10,100,0.17876232052785132,0.13694956739861092,0.54,0.61,0.78,6.200072332876752,0.0,0.004414176940917969,0.0012106275199039373,0.34092473078775365,0.2778368933755575,0.69,0.8,0.88,4.60284921553669,0.44211722814222815,0.6976579213057473,0.8373104589600585
20,100,0.17876232052785132,0.13694956739861092,0.54,0.61,0.78,6.200072332876755,0.0,0.004414176940917969,0.0012106275199039373,0.34092473078775365,0.2778368933755575,0.69,0.8,0.88,4.60284921553669,0.44211722814222815,0.6976579213057473,0.8373104589600585
50,100,0.17876232052785132,0.13694956739861092,0.54,0.61,0.78,6.200072332876755,0.0,0.004414176940917969,0.0012106275199039373,0.34092473078775365,0.2778368933755575,0.69,0.8,0.88,4.602849215536691,0.44211722814222815,0.6976579213057473,0.8373104589600585
