episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,55.41563627977146,2.4372138696390118,21.79,0.02,0.98,1.0,0.98,0,4,2.7191299295425413,0.73,0.56565
2,200,59.53317670514435,2.1770512314481585,23.08,0.0,1.0,1.0,1.0,0,0,2.952665829658508,0.75,0.5926500000000001
3,200,58.45159992766332,2.2732950246514516,22.92,0.0,1.0,1.0,1.0,0,0,2.9487995719909668,0.775,0.62385
4,200,61.50580065264651,2.1410451777140636,20.77,0.0,1.0,1.0,1.0,0,0,2.8112077850103376,0.8,0.6605500000000002
5,200,61.745579071097,2.0577352391674237,21.375,0.02,0.98,1.0,0.98,0,4,2.7689161276817322,0.78,0.6258
6,200,58.56122826697349,2.231198968569295,21.485,0.0,1.0,1.0,1.0,0,0,2.840378683209419,0.775,0.62385
7,200,59.33817459352862,2.234255669853285,24.05,0.0,1.0,1.0,1.0,0,0,3.026729881167412,0.735,0.5706499999999999
8,200,52.660861542241015,2.108070638353583,20.085,0.15,0.85,1.0,0.85,0,30,2.4880242094397547,0.625,0.45465
9,200,57.833854706306084,2.296361402698105,24.665,0.0,1.0,1.0,1.0,0,0,3.0658866238594054,0.75,0.5916
10,200,57.239307216605674,2.0689803421405735,18.955,0.09,0.91,1.0,0.91,0,18,2.431144873201847,0.635,0.44475000000000003
11,200,59.24360214301613,2.264685704007498,22.945,0.0,1.0,1.0,1.0,0,0,2.9407581233978273,0.755,0.59775
12,200,59.56962207703739,2.176879715413701,22.15,0.0,1.0,1.0,1.0,0,0,2.8898302707076073,0.715,0.5492499999999999
13,200,57.384677606137636,2.126603341957106,18.99,0.06,0.94,1.0,0.94,0,12,2.5176163241267204,0.685,0.5014000000000001
14,200,57.47747724064677,2.321377671137715,24.475,0.0,1.0,1.0,1.0,0,0,3.0591772013902663,0.695,0.52725
15,200,58.06943207962686,2.074857575197475,20.015,0.08,0.92,1.0,0.92,0,16,2.5860770565271376,0.755,0.6013000000000001
16,200,57.84330251063835,2.3322686901934095,22.17,0.0,1.0,1.0,1.0,0,0,2.865552021563053,0.75,0.5926500000000001
17,200,58.12030110180756,2.2621291688241043,22.115,0.0,1.0,1.0,1.0,0,0,2.8529865470528604,0.755,0.59675
18,200,60.54697178765497,2.169451709973328,20.42,0.005,0.995,1.0,0.995,0,1,2.5809807205200195,0.765,0.61295
19,200,58.41159372024862,2.2983426313992465,18.18,0.0,1.0,1.0,1.0,0,0,2.6163962972164154,0.735,0.57175
20,200,51.86180839456899,2.368941689805409,21.16,0.09,0.91,1.0,0.91,0,18,2.6644198432564736,0.845,0.7256499999999998
